Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
jammu,1524197,1144014,408010,98726,1017505
punch,488741,275552,72038,85863,335260
kathua,623495,398500,141076,59208,423904
rajauri,0,0,0,0,0
badgam,767468,349165,130070,83918,554722
pulwama,551971,295231,94167,93628,365827
srinagar,1240320,760257,330582,79302,830836
kupwara,896082,468564,123849,107029,666228
anantnag,1069740,554530,170001,223085,680737
udhampur,538990,320318,145354,88686,305403
leh(ladakh),135231,96792,59381,17820,58338
doda,389028,214203,72579,68749,248645
baramula,993149,556069,181206,117941,695034
kargil,143153,89302,28139,23585,91951
