Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
bijapur,2345950,1444479,863850,168201,1320443
davanagere,2010986,1431371,736781,177915,1096631
gadag,1104096,770399,438177,73599,592384
bellary,2646809,1649382,1046077,160471,1440280
mysore,3158558,2201765,1151622,254711,1753666
shimoga,1798879,1350181,681202,127797,990453
raichur,2043355,1136028,814607,173214,1063051
kolar,1257308,898556,468880,108999,680035
dharwad,1954123,1450766,737501,92486,1125156
bangalore,11230224,8999446,4682341,518728,6066831
dakshinakannada,2171745,1790770,945404,75896,1153817
haveri,1665876,1204076,632813,125277,908890
bidar,1791003,1178099,612497,158818,1023976
gulbarga,2370105,1482909,785683,212283,1373494
tumkur,2717643,1943232,1089896,280137,1347659
kodagu,556920,429747,263364,20765,272983
chitradurga,1719710,1200152,707999,209841,805608
uttarakannada,1472004,1162501,516621,104486,852285
hassan,1798806,1305991,773176,147116,879276
koppal,1475979,954986,547148,152857,776298
chamarajanagar,1043800,629061,400787,96153,548160
belgaum,5026402,3414564,1820128,384361,2822155
mandya,1822874,1240038,728313,155922,938828
chikmagalur,1136785,859625,502474,84641,552606
udupi,1204463,977277,477479,48174,680850
bangalorerural,766748,577187,304048,49473,414088
bagalkot,1994224,1274143,728673,135591,1133120
