Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nagpur,4780519,3831838,1741153,206331,2839176
sindhudurg,845867,677237,225107,112489,510577
buldana,2663475,1984501,1152229,113101,1398802
akola,1853051,1474070,715102,79575,1058991
solapur,4418022,3041356,1824536,118915,2487301
sangli,2872448,2123111,1101325,123260,1660402
washim,1236073,927684,527430,68613,640670
hingoli,1219570,852379,537496,56488,625794
pune,9943126,7696164,4022610,295565,5632864
nashik,6358040,4641182,2667091,234040,3462670
jalna,2036703,1273872,900667,83104,1056825
osmanabad,1694065,1199991,735589,67675,894142
ahmadnagar,4650926,3275951,2137935,152484,2370859
chandrapur,2231959,1638364,831189,254951,1147303
mumbai(suburban),0,0,0,0,0
latur,2536684,1743799,1024209,75798,1443478
wardha,1313974,1053377,551821,72353,693776
jalgaon,4348757,3006429,1722953,211694,2419244
bid,2679301,1833989,1233338,96305,1356204
yavatmal,2839823,2136518,1251383,159234,1432275
satara,3044281,2295090,1214447,156907,1679086
thane,11761839,8873784,4211795,602489,6948912
raigarh,2728861,2053949,903986,207730,1620981
gondiya,1348311,1048768,442903,241361,664529
nandurbar,1725338,983447,715351,123573,891007
aurangabad,3887160,2683188,1549677,124299,2218258
gadchiroli,1094739,762514,405139,198286,491868
nanded,3467702,2323746,1402498,166021,1908557
mumbai,3037229,2493014,1201224,78234,1759058
amravati,2948243,2340517,1095150,172383,1681771
parbhani,1904860,1233811,803320,63201,1041577
ratnagiri,1599205,1221249,554446,151124,894649
kolhapur,3950700,2928446,1532387,184926,2237905
dhule,2127300,1351483,888364,102048,1145875
bhandara,1213600,928190,424255,185975,603785
