Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
malkangiri,578226,200759,171181,118776,287937
nayagarh,932188,636378,221789,103766,606026
cuttack,2536032,1869055,670458,220269,1644492
khordha,2132163,1604660,582427,136498,1410441
kandhamal,706531,359161,169767,168483,366654
sonapur,0,0,0,0,0
rayagada,924660,351164,234229,207713,479050
debagarh,300462,178283,79084,73313,147313
dhenkanal,1153545,767442,272605,135598,742887
kalahandi,1500201,701565,378337,327662,790139
koraput,1316656,491279,383007,270304,662484
mayurbhanj,2426930,1232848,568532,581035,1265183
kendrapara,1397377,1016705,313372,127384,955143
bargarh,1439417,906810,445486,261331,729094
sundargarh,2010875,1234530,517988,312009,1180199
jagatsinghapur,1112562,840679,276724,103033,731617
jajapur,1763811,1197016,388471,129185,1245002
ganjam,3414217,2017787,875631,563991,1973871
nuapada,585293,260134,145350,140103,299236
kendujhar,1726182,962370,427729,290849,1005927
bhadrak,1452338,1011758,319902,120215,1010160
baleshwar,2227443,1488488,574117,257724,1385282
puri,1637371,1205107,425883,134707,1069519
jharsuguda,557620,375397,159328,69279,328251
sambalpur,1008261,651708,319421,159426,528872
gajapati,559451,232796,173202,114387,271045
balangir,1548503,828890,386346,280229,880266
baudh,419624,240202,118047,85221,215795
nabarangapur,1158782,404534,274741,302043,580955
anugul,1232104,804589,311881,190878,728494
