Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
hoshiarpur,1554086,1152800,412240,91537,1049507
bathinda,1323474,774612,439081,95603,788354
nawanshahr,0,0,0,0,0
sangrur,1751902,1013689,556257,77103,1115397
faridkot,596718,353259,187811,30124,378642
kapurthala,796479,548279,242985,34563,518918
moga,964338,584486,304194,54846,604596
firozpur,1939678,1119601,592369,130114,1217151
amritsar,2658662,1716821,829765,142365,1686265
mansa,744500,385935,241138,71879,430760
patiala,1880315,1220782,575915,90783,1213226
ludhiana,3351911,2390263,1108598,133527,2109023
fatehgarhsahib,580808,400724,189531,22570,368489
gurdaspur,2238216,1541949,607956,131621,1498503
jalandhar,2121607,1536149,661169,82598,1377753
muktsar,862617,480723,280221,47160,534969
rupnagar,792738,569102,240693,39692,509807
