Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dausa,1670075,973014,516089,184686,969502
bharatpur,2598127,1530703,708398,387592,1502410
sawaimadhopur,1359624,769173,424116,166747,769413
churu,2051489,1162056,632629,275259,1143616
alwar,3750348,2267649,1205563,530913,2014994
jaipur,6782106,4454592,2114807,420140,4247843
pali,2060683,1118480,614769,240304,1205721
chittaurgarh,1520562,823311,648282,142763,729566
jhunjhunun,2160766,1394248,603581,305702,1251732
rajsamand,1175080,639348,372625,195966,607865
bikaner,2446903,1345896,780764,245866,1420781
banswara,1830107,867406,544361,401887,890313
jaisalmer,688679,322026,177777,121290,390684
jhalawar,1436558,761144,484038,216756,735976
sikar,2719762,1689979,705599,313701,1700655
sirohi,1056955,489326,320990,107414,628668
dhaulpur,1231458,710838,322439,211331,697796
karauli,1485757,828782,447621,198152,840589
tonk,1444190,778571,503468,158918,782158
dungarpur,1420294,714483,211497,446682,766679
jodhpur,3778544,2121058,1082315,453363,2244020
jalor,1871800,867764,678540,237484,956233
udaipur,3115703,1619715,832883,563702,1720664
hanumangarh,1802635,1061604,659540,199888,944556
nagaur,3366338,1814267,1001366,459401,1907283
baran,1244924,717045,366307,199680,679311
kota,1994055,1336923,596137,177372,1221269
bhilwara,2452022,1307802,896134,276050,1280693
bundi,1126936,602257,367097,166497,593379
ganganagar,1988106,1218902,694891,239844,1055191
ajmer,2627045,1567994,842217,233696,1551437
barmer,2678099,1221534,747777,492329,1442971
