Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
coimbatore,3177724,2521457,1312891,116131,1749126
dindigul,2262449,1622219,1016213,146657,1099773
dharmapuri,1166738,750726,513918,70471,583384
pudukkottai,1686575,1204025,690374,112206,888784
thenilgiris,724959,581483,322538,30185,372840
kanniyakumari,1954279,1656850,597684,143379,1216831
salem,3687886,2552268,1690101,119390,1887295
erode,2131953,1481103,1037678,74609,1021581
viluppuram,3681034,2461354,1319499,503702,1862158
ramanathapuram,1426094,1084788,508985,131369,786695
nagapattinam,1670506,1312212,493540,222588,961947
namakkal,1829747,1306798,868097,54694,912260
kancheepuram,4560516,3584811,1604833,344523,2614399
karur,1120850,803221,536162,29852,558118
virudhunagar,2024392,1519894,875599,103774,1045896
vellore,4136476,3041472,1443346,364790,2330941
sivaganga,1420536,1066092,484222,187473,752292
chennai,4773807,3967917,1726261,252235,2819162
thiruvarur,1304316,1018294,423075,138669,743212
theni,1312432,953104,555212,68033,689577
madurai,3244491,2509071,1277845,200742,1768101
thoothukkudi,1826851,1448382,687192,90821,1049140
cuddalore,2746373,2002379,884584,376920,1488721
tirunelveli,3231040,2480103,1337194,166957,1727345
perambalur,596680,419093,269387,45252,282199
ariyalur,780037,523237,280961,85074,414817
tiruvannamalai,2586085,1781051,1032537,282695,1271561
thiruvallur,4207750,3280072,1454420,346530,2413575
tiruchirappalli,2854298,2206634,1151127,129670,1574924
thanjavur,2486264,1934944,870869,136704,1479585
