Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
jalaun,1849219,1301503,464197,223909,1161371
shrawasti,1083374,502242,185794,186775,728208
mahrajganj,3047143,2001816,416857,706504,1957924
santravidasnagarbhadohi,0,0,0,0,0
rampur,2624309,1467544,640213,260877,1746485
sitapur,5098741,3057243,1088566,600915,3461912
pilibhit,2304675,1413600,538956,200765,1570205
chandauli,2165780,1495586,343116,420249,1425324
ambedkarnagar,2652344,1939962,440272,436346,1791206
muzaffarnagar,4551352,2945987,1215040,173947,3186655
siddharthnagar,2932271,1754517,422688,554584,1993859
ghazipur,4022243,2826208,848925,542462,2639439
budaun,4106578,2107726,946850,296785,2870675
agra,4980007,3345291,1224242,513235,3292212
kheri,4605727,2731773,1038499,435679,3157053
aligarh,4155275,2639995,985707,379227,2794074
varanasi,4043079,2965218,1024401,370157,2655456
allahabad,6663603,4604363,1408597,1035999,4237101
faizabad,2733009,1858487,478685,360322,1915852
ballia,3565539,2516378,612460,585784,2387529
auraiya,1515129,1123370,352784,125013,1037583
balrampur,2488399,1263796,434772,372030,1723557
mirzapur,2757698,1842393,561377,456954,1758513
ghaziabad,5784603,4208798,1640046,397583,3774359
sonbhadra,2152469,1367321,421207,485781,1277623
bijnor,4058889,2681347,930134,304942,2828495
bareilly,5034961,2884026,1170333,464240,3410778
farrukhabad,2103613,1336843,541705,146017,1418745
jhansi,2168180,1569238,624619,314959,1237654
gautambuddhanagar,1991731,1523121,581103,168356,1255522
baghpat,1394334,932145,364551,77580,954304
bahraich,4385360,2182618,818804,607076,3002386
kanpurnagar,4848646,3652642,1358586,463793,3063650
unnao,3382222,2225347,811652,464141,2121114
barabanki,3673170,2289297,908114,435421,2334126
firozabad,2810368,1884675,659190,268026,1900729
azamgarh,5072462,3603168,792795,709410,3586063
santkabirnagar,1920800,1296883,249142,337075,1352288
raebareli,3771901,2567730,635652,726063,2443466
kaushambi,1817298,1113809,480868,253787,1082953
fatehpur,2848826,1868868,720143,488231,1652398
banda,1977640,1276467,531411,225687,1222050
kushinagar,4039984,2786422,494533,735779,2846447
lalitpur,1396205,871461,405201,154781,838075
mainpuri,2053349,1491804,465165,195941,1406986
hardoi,4575968,2905782,1011598,497278,3103382
gonda,3910135,2366130,766357,609304,2574170
saharanpur,3860517,2583401,1021197,175546,2666491
jyotibaphulenagar,2081129,1332740,502206,187526,1395411
sultanpur,4195960,2909573,698177,720636,2807600
gorakhpur,4899881,3445729,780482,729414,3400024
moradabad,5461341,3074938,1177677,424141,3882113
meerut,3742784,2544612,997968,229285,2518379
deoria,3360117,2348963,449438,507136,2416136
mahoba,994921,646364,262293,121232,612523
kannauj,1841399,1274376,469175,102830,1272491
pratapgarh,3535187,2474451,538189,661129,2366489
etah,1352424,967021,314784,123759,920341
hathras,0,0,0,0,0
basti,2724680,1835599,421470,407137,1917279
lucknow,5268108,3937691,1336281,608999,3381530
etawah,1748250,1291592,405581,223184,1144450
shahjahanpur,3320487,1889794,755312,264026,2314572
bulandshahar,0,0,0,0,0
kanpurdehat,1952225,1415372,497840,213388,1243825
chitrakoot,1157752,636226,324535,119506,715759
hamirpur,1142295,775781,302686,163432,676486
mau,2448461,1725641,396182,380371,1686172
mathura,2881021,1899970,631600,254540,2005303
jaunpur,4884572,3427274,967955,623681,3295991
