Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
udhamsinghnagar,1602004,991782,432797,134846,1033803
pithoragarh,481281,340284,143182,71364,266610
rudraprayag,240757,167683,78656,33167,128863
hardwar,1840582,1127041,478751,81767,1279888
nainital,933444,674959,287846,77250,568202
uttarkashi,326398,209001,126945,28007,171388
champawat,255903,172247,62011,36575,157299
dehradun,1649820,1214653,470333,90976,1088181
almora,0,0,0,0,0
tehrigarhwal,617497,400365,167381,110968,338642
chamoli,389426,275903,113149,66022,210156
bageshwar,258835,176109,78807,44138,135685
garhwal,688245,491462,165145,108506,414506
