Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kochbihar,2855543,1904638,900771,244755,1710096
kolkata,4489145,3609418,1571759,238724,2686000
jalpaiguri,3923470,2580661,1167450,368501,2387860
northtwentyfourparganas,10124207,7772178,3102595,534198,6489545
uttardinajpur,3070415,1562627,835983,254758,1980139
haora,4911842,3685096,1526502,337252,3050510
hugli,5569278,4161414,1734515,450635,3385227
murshidabad,7241055,4236909,2060853,598974,4584929
puruliya,2972688,1677407,610276,654158,1710341
nadia,5227528,3577499,1616256,250738,3360589
maldah,4066362,2182083,1059770,499919,2507720
medinipur,0,0,0,0,0
southtwentyfourparganas,8299405,5704396,2039528,1013268,5254068
darjiling,1872438,1351052,538579,158766,1176211
bankura,3639782,2290157,913656,556991,2170873
barddhaman,7804975,5364669,2195124,767550,4844099
birbhum,3555232,2230563,921381,433425,2201438
dakshindinajpur,1694646,1117153,532343,180458,981985
