Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
medak,2919427,1480612,1153137,242702,1523395
vizianagaram,2315492,1160569,940774,220413,1151924
chittoor,4040706,2509996,1604797,271269,2163290
eastgodavari,5077093,3136260,1707005,339391,3030446
nizamabad,2487815,1275784,1030012,199722,1258078
guntur,4756974,2799085,2032415,288121,2434418
anantapur,3943620,2134751,1614199,340645,1988577
cuddapah,0,0,0,0,0
srikakulam,2652354,1405995,916054,347027,1389255
warangal,3430383,1911333,1390664,270809,1767795
khammam,2729962,1511837,1159968,197388,1371265
westgodavari,3896447,2592771,1500789,242970,2152179
mahbubnagar,3883146,1727784,1708493,287200,1882003
hyderabad,3908902,2812462,1076542,215583,2582700
karimnagar,3688583,2026543,1549703,275855,1862914
krishna,4415896,2860334,1692282,292050,2431181
prakasam,3292295,1784122,1414609,235155,1642366
visakhapatnam,4147638,2383448,1426128,371464,2348034
nalgonda,3414743,1869633,1435488,258971,1718430
rangareddi,0,0,0,0,0
kurnool,3888589,1950101,1676136,263415,1948908
adilabad,2662674,1360578,1017655,242358,1401515
nellore,0,0,0,0,0
