Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
tinsukia,1308969,774319,403712,143628,761554
marigaon,0,0,0,0,0
northcacharhills,0,0,0,0,0
bongaigaon,753933,434652,195457,63725,494534
barpeta,1688921,881453,436258,120913,1131629
cachar,1704975,1133338,459346,132703,1112646
kamrup,1596639,1044238,443051,200300,947028
sibsagar,0,0,0,0,0
nagaon,2768179,1646325,716063,234995,1816324
darrang,974401,503937,254236,86731,633389
golaghat,1054165,703346,324498,145408,583959
jorhat,1082575,780348,332856,156607,592755
sonitpur,1898352,1077024,548239,207549,1142360
lakhimpur,1025706,663298,283981,151813,585347
hailakandi,646609,390006,162273,48253,436076
dhubri,1915562,887188,493264,151542,1267722
karbianglong,940948,536650,257442,120303,563159
kokrajhar,888986,477532,251213,89158,548451
dibrugarh,1311482,863846,386409,164552,760291
dhemaji,673756,409360,196217,113174,364279
goalpara,987812,542458,260107,92355,635126
karimganj,1204597,766517,286954,101248,816095
nalbari,802967,543212,204671,72746,525484
