Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
sitamarhi,3774343,1800165,770053,525646,2535374
madhepura,2230910,1086597,423292,422548,1421471
jamui,1929993,1086827,468417,321291,1142705
samastipur,4667363,2692263,934406,564405,3197038
kishanganj,1879735,1053358,394719,209449,1298095
jehanabad,999300,598076,204532,99634,699935
khagaria,1852406,983229,296113,329004,1250953
purbachamparan,5653726,2977252,1178713,846105,3695864
nalanda,3109680,1786022,757988,357971,2002421
pashchimchamparan,4360956,2268335,780959,929575,2727790
patna,6357599,3969498,1465179,665144,4258081
kaimur(bhabua),1784847,1121078,274081,282841,1245428
bhojpur,2950733,1875874,520274,402866,2049550
rohtas,3192067,2112946,541524,496196,2183497
lakhisarai,1093542,622946,192884,160429,754289
saran,4274039,2604308,510286,688734,3152060
nawada,2407786,1318799,508739,394924,1525617
muzaffarpur,5301661,3132543,916158,935639,3554986
gopalganj,2746788,1707801,328396,490097,1981502
bhagalpur,3325235,1912105,516552,547262,2288715
gaya,4823289,2796798,1012140,919964,2974420
saharsa,2084899,1002108,345652,346781,1415053
aurangabad,2787676,1765747,481853,455914,1872168
sheohar,722514,371637,139627,118929,479395
buxar,1845643,1176824,338290,279047,1245788
purnia,3607136,1723447,774006,489695,2384648
siwan,3614434,2401344,443681,638667,2586973
darbhanga,4227730,2168008,719636,628705,2916072
munger,1472279,929388,233287,253814,1001119
madhubani,4914346,2728108,1164598,680401,3080564
araria,3125062,1586570,712634,483367,1954737
vaishali,3864586,2412612,756281,469921,2668592
banka,2235226,1211272,362189,492938,1403484
katihar,3393490,1673617,668943,404489,2338235
begusarai,3262792,1927233,600109,455647,2234578
supaul,2465458,1371549,452763,535038,1521737
sheikhpura,686968,399304,146623,96691,449166
