Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
durg,3711378,2676127,1379518,365518,1978156
korba,1341101,933603,382748,202496,757076
jashpur,924238,567062,310547,244134,376237
dantewada,0,0,0,0,0
rajnandgaon,1712997,1139027,619299,332771,806874
bastar,1481239,789477,387549,367080,730586
raigarh,1650403,1100878,520580,229214,901497
surguja,2628264,1428651,633378,656483,1354106
bilaspur,3164859,2055124,972373,510226,1693750
raipur,4859201,3400236,1480286,671894,2719426
kanker,0,0,0,0,0
koriya,706716,465053,167993,161708,382212
dhamtari,861495,621384,383463,58409,426258
mahasamund,1152439,752169,367234,196356,592030
janjgirchampa,1833418,1255821,495027,640346,792928
kawardha,0,0,0,0,0
