Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kachchh,1924464,1092511,623819,94380,1203826
junagadh,2651061,1700198,892510,190675,1565716
bharuch,1494550,1039115,508753,100750,884823
anand,2018998,1433884,667474,158348,1192384
tapi,0,0,0,0,0
valsad,1611182,1057144,554053,159975,896714
sabarkantha,2319130,1443594,752662,286253,1279748
panchmahals,2274691,1301208,663906,395850,1214392
bhavnagar,2750444,1713936,923472,159946,1665606
ahmadabad,6762880,4962437,2157653,245614,4358947
kheda,2213458,1522297,713699,212426,1285574
narmada,566422,332846,188477,95056,282814
surendranagar,1680157,988619,562999,136664,980141
banaskantha,2921194,1468942,953816,243786,1720098
rajkot,3601851,2496115,1244794,158369,2197337
surat,5732760,4109988,2269341,162487,3295994
patan,1293250,757678,430360,116585,744246
thedangs,214934,123042,81689,28338,104867
porbandar,570419,368617,188610,37383,344174
jamnagar,2079952,1294220,690603,121202,1268104
mahesana,1973788,1400454,688486,126461,1154553
vadodara,4001023,2675021,1311182,327747,2361756
navsari,1298780,943166,493488,83694,721334
dohad,1966160,857041,535644,402857,1025752
gandhinagar,1374309,982770,456535,84175,833020
amreli,1477057,928754,510679,128816,837342
