Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
District - Kachchh  01,1583225,794483,498186,107413,977626
District - Banas Kantha  02,2504244,1037619,830579,261622,1412043
District - Patan  *  03,1182709,599082,395470,137608,649631
District - Mahesana  04,1837892,1188224,665080,163439,1009373
District - Sabar Kantha  05,2082531,1171555,662249,278188,1142094
District - Gandhinagar  06,1334455,879834,467413,86923,780119
District - Ahmadabad  07,5816519,4012140,1799126,210239,3807154
District - Surendranagar  08,1515148,781155,512038,135571,867539
District - Rajkot  09,3169881,2033946,1076436,168370,1925075
District - Jamnagar  10,1904278,1083696,624057,110325,1169896
District - Porbandar  *  11,536835,316172,173594,41540,321701
District - Junagadh  12,2448173,1408878,785530,215312,1447331
District - Amreli  13,1393918,789978,470043,130776,793099
District - Bhavnagar  14,2469630,1368920,781166,163393,1525071
District - Anand  *  15,1856872,1193404,617669,167042,1072161
District - Kheda  16,2024216,1243363,694400,213780,1116036
District - Panch Mahals  17,2025277,1025835,616885,359841,1048551
District - Dohad  *  18,1636433,588074,496410,318180,821843
District - Vadodara  19,3641802,2228008,1202620,316225,2122957
District - Narmada  *  20,514404,259472,176372,82744,255288
District - Bharuch  21,1370656,875519,469551,101142,799963
District - Surat  22,4995174,3206404,1981266,201243,2812665
District - The Dangs  23,186729,89586,68599,24394,93736
District - Navsari  *  24,1229463,819146,457002,88213,684248
District - Valsad  25,1410553,833257,503333,146924,760296
Tapi,0,0,0,0,0
