Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kupwara,870354,439654,123837,105227,641290
Badgam,753745,335649,132003,82863,538879
Leh(Ladakh),133487,93770,57125,17954,58408
Kargil,140802,86236,28941,22932,88929
Punch,476835,261724,73247,88146,315442
Rajouri,642415,364109,130377,160535,351503
Kathua,616435,389204,142847,57584,416004
Baramula,1008039,545149,187959,116241,703839
Bandipore,392232,185979,75173,74144,242915
Srinagar,1236829,748584,330547,76641,829641
Ganderbal,297446,143276,52949,47941,196556
Pulwama,560440,293958,98306,90114,372020
Shupiyan,266215,136500,54703,33018,178494
Anantnag,1078692,545532,176800,212884,689008
Kulgam,424483,209085,77812,82178,264493
Doda,409936,219083,79377,72535,258024
Ramban,283713,124065,52051,35161,196501
Kishtwar,230696,107506,44718,38256,147722
Udhampur,554985,322354,152442,91230,311313
Reasi,314667,150542,88462,56305,169900
Jammu,1529958,1137135,410344,98278,1021336
Samba,318898,228139,74129,18397,226372
Chamba,519080,323842,119632,174403,225045
Kangra,1510075,1152640,313915,361255,834905
Lahul & Spiti,31564,21845,15190,4105,12269
Kullu,437903,307672,193876,75208,168819
Mandi,999777,723747,284154,288517,427106
Hamirpur,454768,358091,126153,115778,212837
Una,521173,399715,134482,80864,305827
Bilaspur,381956,287620,103406,102465,176085
Solan,580320,428578,219235,79502,281583
Sirmaur,529855,362645,193906,86177,249772
Shimla,814010,612642,311770,119156,383084
Kinnaur,84121,60699,46782,9491,27848
Gurdaspur,2298323,1634719,625778,131360,1541185
Kapurthala ,815168,576567,248208,35957,531003
Jalandhar,2193590,1622537,689592,84880,1419118
Hoshiarpur,1586625,1199699,411011,88811,1086803
Shahid Bhagat Singh Nagar ,612310,438459,173507,30822,407981
Fatehgarh Sahib,600163,426033,192845,21938,385380
Ludhiana,3498739,2560225,1138654,146168,2213917
Moga,995746,627889,304880,54292,636574
Firozpur,2029074,1227511,618362,138333,1272379
Muktsar,901896,524848,287205,48121,566570
Faridkot,617508,381285,190415,31140,395953
Bathinda,1388525,844868,452678,97308,838539
Mansa,769751,423560,247175,81337,441239
Patiala,1895686,1266791,570391,89876,1235419
Amritsar ,2490656,1684770,787254,130602,1572800
Tarn Taran,1119627,666162,316310,64392,738925
Rupnagar,684627,502731,194209,39467,450951
Sahibzada Ajit Singh Nagar,994628,736575,316236,39759,638633
Sangrur,1655169,1002077,499792,68966,1086411
Barnala,595527,359831,186434,22897,386196
Chandigarh,1055450,805438,385929,18207,651314
Uttarkashi,330086,215126,128367,28909,172810
Chamoli,391605,280556,115115,65825,210665
Rudraprayag,242285,170933,78950,34082,129253
Tehri Garhwal,618931,407994,165912,114530,338489
Dehradun,1696694,1259506,488161,94607,1113926
Garhwal,687271,494889,164439,109713,413119
Pithoragarh,483439,345550,145481,71009,266949
Bageshwar,259898,179483,78085,45553,136260
"Almora
",622506,436497,201078,97133,324295
Champawat,259648,177726,62698,36868,160082
Nainital,954605,696500,296424,79757,578424
Udham Singh Nagar,1648902,1037839,450762,140696,1057444
Hardwar,1890422,1178354,495152,82969,1312301
Panchkula,561293,405318,182831,28648,349814
Ambala,1128350,818025,319475,52664,756211
Yamunanagar,1214205,832457,339024,50209,824972
Kurukshetra,964655,646893,285904,50876,627875
Kaithal,1074304,646529,290663,83236,700405
Karnal,1505324,978013,411533,104529,989262
Panipat,1205437,786599,339016,73302,793119
Sonipat,1450001,998316,396763,126416,926822
Jind,1334152,832758,385851,137571,810730
Fatehabad,942011,557578,286258,82825,572928
