"Table name
","Statecode
","Disttcode
",Areaname,Total/,Educational level,"Present age
",Total women ,Total ever married women,0,1,2,3,4,5,6,7+,P,M,F
F0324,24,000,State -  GUJARAT,Total,Total,All Ages,28948432,17417263,2558795,2717063,4436724,3308381,2047118,1087402,599368,662412,44007359,23530169,20477190
F0324,24,000,State -  GUJARAT,Total,Total,Less than 15,8163488,106733,70756,8730,27247,0,0,0,0,0,63224,34877,28347
F0324,24,000,State -  GUJARAT,Total,Total,15-19,2719650,551513,397211,92223,31748,14133,16198,0,0,0,262910,141415,121495
F0324,24,000,State -  GUJARAT,Total,Total,20-24,2734595,1890383,753768,619280,359317,107469,29362,8509,4442,8236,1909278,999569,909709
F0324,24,000,State -  GUJARAT,Total,Total,25-29,2511539,2309571,402598,612879,732512,364059,132132,38645,12682,14064,4081456,2147499,1933957
F0324,24,000,State -  GUJARAT,Total,Total,30-34,2303504,2237696,203325,344895,782658,499495,241754,98492,39222,27855,5322646,2816128,2506518
F0324,24,000,State -  GUJARAT,Total,Total,35-39,2082890,2046753,139151,245086,673797,492395,269804,125514,57913,43093,5458030,2902613,2555417
F0324,24,000,State -  GUJARAT,Total,Total,40-44,1871600,1846656,113674,190519,553271,462156,270653,132547,65656,58180,5278696,2828161,2450535
F0324,24,000,State -  GUJARAT,Total,Total,45-49,1602141,1584022,96203,162293,428300,398085,246923,125688,64244,62286,4707493,2543468,2164025
F0324,24,000,State -  GUJARAT,Total,Total,50-54,1287910,1273760,82719,120318,296025,313716,219290,117155,61867,62670,3985638,2163778,1821860
F0324,24,000,State -  GUJARAT,Total,Total,55-59,1016859,1006149,68998,92054,199228,231786,184787,106741,58987,63568,3318409,1796905,1521504
F0324,24,000,State -  GUJARAT,Total,Total,60-64,876493,862897,68034,77154,138449,172568,161136,106605,64747,74204,3028423,1627698,1400725
F0324,24,000,State -  GUJARAT,Total,Total,65-69,620070,608095,50138,50706,80952,105136,111238,83716,55917,70292,2288411,1225911,1062500
F0324,24,000,State -  GUJARAT,Total,Total,70-74,482155,475519,43277,40263,55632,69174,79727,67647,49930,69869,1875909,1003523,872386
F0324,24,000,State -  GUJARAT,Total,Total,75-79,243655,240529,21897,20130,25549,31006,37034,34420,27764,42729,994679,531938,462741
F0324,24,000,State -  GUJARAT,Total,Total,80+,318585,306829,32191,28300,33931,35356,40611,38533,34298,63609,1282252,685021,597231
F0324,24,000,State -  GUJARAT,Total,Illiterate,All Ages,11329947,6915481,647178,676825,1239422,1464012,1182898,737775,445825,521546,22802670,12105814,10696856
F0324,24,000,State -  GUJARAT,Total,Illiterate,Less than 15,4091274,18980,7210,1737,10033,0,0,0,0,0,21803,11734,10069
F0324,24,000,State -  GUJARAT,Total,Illiterate,15-19,306702,120872,70568,25721,10018,5866,8699,0,0,0,98151,52820,45331
F0324,24,000,State -  GUJARAT,Total,Illiterate,20-24,511515,447116,126268,136493,112721,47947,14811,4283,1818,2775,618354,321388,296966
F0324,24,000,State -  GUJARAT,Total,Illiterate,25-29,597655,577498,65541,87342,167936,150228,70557,23440,7281,5173,1358572,706047,652525
F0324,24,000,State -  GUJARAT,Total,Illiterate,30-34,688331,676902,47430,52723,148645,193237,129531,62373,26830,16133,2045371,1060968,984403
F0324,24,000,State -  GUJARAT,Total,Illiterate,35-39,747563,738920,42101,51859,143203,196397,148572,82789,42152,31847,2434296,1268233,1166063
F0324,24,000,State -  GUJARAT,Total,Illiterate,40-44,786316,778993,41977,55380,146597,196419,153999,89665,49201,45755,2655772,1402327,1253445
F0324,24,000,State -  GUJARAT,Total,Illiterate,45-49,740448,735076,39904,56313,133756,177942,142946,85693,48440,50082,2545462,1362695,1182767
F0324,24,000,State -  GUJARAT,Total,Illiterate,50-54,644380,639701,38256,46887,105611,145470,126997,79512,46242,50726,2281646,1230927,1050719
F0324,24,000,State -  GUJARAT,Total,Illiterate,55-59,541240,538013,33775,39354,78781,110484,107583,72328,44053,51655,1996871,1076974,919897
F0324,24,000,State -  GUJARAT,Total,Illiterate,60-64,526512,522332,38509,39694,67064,91633,99599,74720,49583,61530,2009529,1077624,931905
F0324,24,000,State -  GUJARAT,Total,Illiterate,65-69,396949,393574,29793,28248,43480,59696,70945,59520,43079,58813,1605443,859667,745776
F0324,24,000,State -  GUJARAT,Total,Illiterate,70-74,328784,325830,27819,24042,32724,42325,52751,48834,38692,58643,1375642,735324,640318
F0324,24,000,State -  GUJARAT,Total,Illiterate,75-79,161608,160313,13371,11348,14404,18387,23612,23876,20571,34744,713440,381803,331637
F0324,24,000,State -  GUJARAT,Total,Illiterate,80+,222417,217181,20521,16728,19679,23223,28959,28847,26750,52474,976477,521699,454778
F0324,24,000,State -  GUJARAT,Total,Literate,All Ages,17618485,10501782,1911617,2040238,3197302,1844369,864220,349627,153543,140866,21204689,11424355,9780334
F0324,24,000,State -  GUJARAT,Total,Literate,Less than 15,4072214,87753,63546,6993,17214,0,0,0,0,0,41421,23143,18278
F0324,24,000,State -  GUJARAT,Total,Literate,15-19,2412948,430641,326643,66502,21730,8267,7499,0,0,0,164759,88595,76164
F0324,24,000,State -  GUJARAT,Total,Literate,20-24,2223080,1443267,627500,482787,246596,59522,14551,4226,2624,5461,1290924,678181,612743
F0324,24,000,State -  GUJARAT,Total,Literate,25-29,1913884,1732073,337057,525537,564576,213831,61575,15205,5401,8891,2722884,1441452,1281432
F0324,24,000,State -  GUJARAT,Total,Literate,30-34,1615173,1560794,155895,292172,634013,306258,112223,36119,12392,11722,3277275,1755160,1522115
F0324,24,000,State -  GUJARAT,Total,Literate,35-39,1335327,1307833,97050,193227,530594,295998,121232,42725,15761,11246,3023734,1634380,1389354
F0324,24,000,State -  GUJARAT,Total,Literate,40-44,1085284,1067663,71697,135139,406674,265737,116654,42882,16455,12425,2622924,1425834,1197090
F0324,24,000,State -  GUJARAT,Total,Literate,45-49,861693,848946,56299,105980,294544,220143,103977,39995,15804,12204,2162031,1180773,981258
F0324,24,000,State -  GUJARAT,Total,Literate,50-54,643530,634059,44463,73431,190414,168246,92293,37643,15625,11944,1703992,932851,771141
F0324,24,000,State -  GUJARAT,Total,Literate,55-59,475619,468136,35223,52700,120447,121302,77204,34413,14934,11913,1321538,719931,601607
F0324,24,000,State -  GUJARAT,Total,Literate,60-64,349981,340565,29525,37460,71385,80935,61537,31885,15164,12674,1018894,550074,468820
F0324,24,000,State -  GUJARAT,Total,Literate,65-69,223121,214521,20345,22458,37472,45440,40293,24196,12838,11479,682968,366244,316724
F0324,24,000,State -  GUJARAT,Total,Literate,70-74,153371,149689,15458,16221,22908,26849,26976,18813,11238,11226,500267,268199,232068
F0324,24,000,State -  GUJARAT,Total,Literate,75-79,82047,80216,8526,8782,11145,12619,13422,10544,7193,7985,281239,150135,131104
F0324,24,000,State -  GUJARAT,Total,Literate,80+,96168,89648,11670,11572,14252,12133,11652,9686,7548,11135,305775,163322,142453
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,All Ages,3976121,1883560,228794,227890,447894,444555,278572,134756,64794,56305,5076805,2714128,2362677
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,Less than 15,1907254,16058,12097,810,3151,0,0,0,0,0,7112,3911,3201
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,15-19,185969,53387,35643,10281,3696,1894,1873,0,0,0,30847,16685,14162
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,20-24,214017,177983,56954,56007,44021,14923,3814,976,445,843,218022,114042,103980
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,25-29,224418,215181,26868,37312,74873,50817,17977,4688,1337,1309,453541,237895,215646
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,30-34,231173,226883,17399,21317,68823,67637,32947,12084,4201,2475,598899,314696,284203
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,35-39,219171,216510,13222,18231,59660,64656,36162,14960,6094,3525,614700,324898,289802
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,40-44,207133,205014,11882,16721,53141,60493,35792,15812,6633,4540,601811,322288,279523
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,45-49,180479,179051,10189,15628,42790,52104,32539,14701,6347,4753,536324,290889,245435
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,50-54,152058,150830,9224,12155,31770,42159,29763,14304,6443,5012,470724,256488,214236
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,55-59,121736,120835,7648,10045,22152,30980,25461,13122,6290,5137,392920,213604,179316
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,60-64,106378,105120,7800,9077,16362,23314,22357,13348,6814,6048,356372,192724,163648
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,65-69,77915,76851,6073,6602,10048,14709,16042,11117,6325,5935,275071,147589,127482
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,70-74,60861,60201,5310,5487,7225,9684,11646,9034,5818,5997,222943,119571,103372
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,75-79,34504,34138,3079,3168,3816,4705,5896,5235,3832,4407,132303,70483,61820
F0324,24,000,State -  GUJARAT,Total,Literate but below primary,80+,38700,37740,4008,4008,4424,4852,5390,4920,4014,6124,146696,78204,68492
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,All Ages,4988442,2772723,484407,439203,775950,587205,289798,113081,46048,37031,6044044,3235158,2808886
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,Less than 15,1571457,45429,35278,2966,7185,0,0,0,0,0,17336,9643,7693
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,15-19,645224,147503,109617,25258,7210,2823,2595,0,0,0,58527,31258,27269
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,20-24,556526,425737,157322,146092,90007,23232,5226,1370,795,1693,441176,231100,210076
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,25-29,459403,434710,61972,96018,164461,79947,23108,5286,1620,2298,812190,425861,386329
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,30-34,391724,382375,31713,43972,142585,103602,40670,12632,4071,3130,915506,484778,430728
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,35-39,326807,322152,20119,30540,111176,94559,42555,14897,5086,3220,836929,447994,388935
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,40-44,278232,275066,15539,23894,87338,83806,40928,14649,5403,3509,746742,403209,343533
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,45-49,220762,218465,12346,20252,62013,66495,34951,13635,5182,3591,610861,331985,278876
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,50-54,164993,163414,9959,14486,39827,48699,29778,12293,4951,3421,477239,260789,216450
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,55-59,122925,121761,8012,11132,25275,33964,24351,10971,4628,3428,370314,201752,168562
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,60-64,91144,88061,7080,8347,15404,21843,18279,9507,4318,3283,276723,149452,127271
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,65-69,57196,55374,4802,5395,8560,12055,11632,6801,3429,2700,180849,97058,83791
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,70-74,39907,39138,3710,4103,5534,7321,7812,5243,2864,2551,131675,70318,61357
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,75-79,21816,21449,2065,2337,2997,3625,3928,2952,1782,1763,74193,39716,34477
F0324,24,000,State -  GUJARAT,Total,Primary but below middle,80+,23650,21851,2752,2722,3432,3269,3087,2481,1775,2333,73158,38967,34191
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,All Ages,2422485,1331219,278337,263193,429290,229104,85238,27125,9721,9211,2416783,1304494,1112289
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,Less than 15,503151,22023,13738,2732,5553,0,0,0,0,0,13838,7848,5990
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,15-19,543180,83231,65705,12141,3274,1143,968,0,0,0,25990,13952,12038
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,20-24,342358,236079,95914,85465,42671,8322,1813,588,383,923,215223,112970,102253
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,25-29,270269,248948,42016,69650,95051,31233,7360,1710,644,1284,405721,214831,190890
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,30-34,216713,209907,20509,32096,93119,44331,13497,3813,1179,1363,442500,237182,205318
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,35-39,161881,158712,11758,19058,67411,40387,13782,4009,1297,1010,366034,198655,167379
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,40-44,130161,128157,8517,14024,51157,35532,12831,3911,1184,1001,308818,169219,139599
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,45-49,94061,92749,6244,10508,32716,26950,10931,3402,1133,865,231226,127141,104085
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,50-54,58129,57357,4153,6345,16928,17029,8433,2789,997,683,150299,83107,67192
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,55-59,39079,38509,3013,4246,9574,11250,6378,2497,925,626,105534,57817,47717
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,60-64,25932,24596,2218,2715,5224,6638,4520,1984,778,519,69741,37721,32020
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,65-69,13505,12186,1376,1332,2286,2887,2345,1143,503,314,35119,18749,16370
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,70-74,6818,6487,814,835,1165,1351,1129,633,321,239,18697,10084,8613
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,75-79,3201,3054,380,383,525,607,508,289,190,172,9210,4949,4261
F0324,24,000,State -  GUJARAT,Total,Middle but below matric or secondary,80+,5033,4037,719,631,1016,615,444,265,161,186,10055,5420,4635
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,All Ages,3791397,2572514,515544,598714,935426,357710,109405,30739,11126,13850,4311743,2355604,1956139
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,Less than 15,0,0,0,0,0,0,0,0,0,0,0,0,0
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,15-19,927286,115299,92730,13682,5865,1729,1293,0,0,0,35771,19455,16316
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,20-24,696897,383242,192719,132431,46152,7209,2072,745,620,1294,271852,144056,127796
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,25-29,512792,463698,92980,175218,154381,30032,6320,1596,892,2279,630977,339354,291623
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,30-34,431272,418279,41922,92700,207308,56367,12915,3356,1209,2502,772634,423191,349443
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,35-39,349930,342840,26421,59313,173909,61233,15232,3879,1275,1578,691612,382810,308802
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,40-44,262002,257865,18251,39016,126580,53873,14131,3555,1101,1358,545702,302016,243686
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,45-49,205634,202242,14096,30581,91434,46790,13667,3453,1112,1109,441428,243885,197543
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,50-54,146533,144049,10702,20345,56390,37518,13406,3625,1133,930,331703,182348,149355
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,55-59,103012,100893,8240,13822,34103,27679,11639,3506,1125,779,242088,132179,109909
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,60-64,65387,63821,5955,8799,18432,17395,8608,2901,1035,696,158487,85136,73351
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,65-69,36475,33704,3865,4497,8541,8992,4948,1793,623,445,84601,44912,39689
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,70-74,18997,18129,2301,2706,4268,4306,2658,1129,423,338,45618,24442,21176
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,75-79,9103,8651,1280,1296,1821,1827,1277,647,288,215,22152,11730,10422
F0324,24,000,State -  GUJARAT,Total,Matric or secondary but below graduate,80+,10579,9237,1579,1694,2663,1429,879,476,250,267,20788,11038,9750
F0324,24,000,State -  GUJARAT,Total,Graduate and above,All Ages,1282226,1017698,244188,343150,349829,59040,11874,3298,1779,4540,1330905,726639,604266
F0324,24,000,State -  GUJARAT,Total,Graduate and above,Less than 15,0,0,0,0,0,0,0,0,0,0,0,0,0
F0324,24,000,State -  GUJARAT,Total,Graduate and above,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0
F0324,24,000,State -  GUJARAT,Total,Graduate and above,20-24,266961,110228,78182,26622,3889,643,296,155,164,277,41352,22048,19304
F0324,24,000,State -  GUJARAT,Total,Graduate and above,25-29,293222,228095,84894,107679,30107,2744,883,404,378,1006,191904,102916,88988
F0324,24,000,State -  GUJARAT,Total,Graduate and above,30-34,210576,193654,30103,79727,73571,6951,1315,493,360,1134,266652,145626,121026
F0324,24,000,State -  GUJARAT,Total,Graduate and above,35-39,163687,155951,16255,49591,77795,9690,1446,354,182,638,248077,137463,110614
F0324,24,000,State -  GUJARAT,Total,Graduate and above,40-44,111725,107013,10223,29068,56704,8807,1325,314,151,421,180100,99628,80472
F0324,24,000,State -  GUJARAT,Total,Graduate and above,45-49,81882,78602,7377,19168,41656,8310,1299,315,120,357,137785,75294,62491
F0324,24,000,State -  GUJARAT,Total,Graduate and above,50-54,60207,57640,5509,12988,29446,7574,1483,292,117,231,104589,57293,47296
