Area Name,Present Age,Total Women,Total Ever MarriedWomen,Persons
ahmadabad,20-24,320809,216880,207011
ahmadabad,25-29,302079,273585,443166
ahmadabad,15-19,300727,64859,31419
gandhinagar,20-24,66131,49767,45173
gandhinagar,25-29,59140,55387,94199
gandhinagar,15-19,63435,20314,5905
dohad,20-24,84178,68575,93587
dohad,25-29,73268,70357,174975
dohad,15-19,96819,21809,13362
banaskantha,20-24,129507,107672,108551
banaskantha,25-29,112946,109970,238849
banaskantha,15-19,140224,34379,10327
sabarkantha,20-24,102380,77226,77890
sabarkantha,25-29,89161,84980,163661
sabarkantha,15-19,107134,21047,7832
amreli,20-24,67390,38991,39302
amreli,25-29,53237,48503,96714
amreli,15-19,81767,8493,3916
surendranagar,20-24,73347,53216,62383
surendranagar,25-29,64345,60883,130951
surendranagar,15-19,83800,14472,6176
porbandar,20-24,24241,15956,14817
porbandar,25-29,22942,20551,36230
porbandar,15-19,26645,3405,1306
bharuch,20-24,63576,45248,48261
bharuch,25-29,60656,56195,102473
bharuch,15-19,65666,10385,4997
mahesana,20-24,93919,67785,58851
mahesana,25-29,79123,74655,127907
mahesana,15-19,92580,22280,7138
bhavnagar,20-24,123156,83681,94869
bhavnagar,25-29,104572,97845,210357
bhavnagar,15-19,146098,21337,10226
junagadh,20-24,119736,68840,65455
junagadh,25-29,103671,92449,169534
junagadh,15-19,135378,12821,5588
patan,20-24,58882,45186,42143
patan,25-29,49868,47533,91938
patan,15-19,61790,15190,4744
tapi,20-24,0,0,0
tapi,25-29,0,0,0
tapi,15-19,0,0,0
surat,20-24,269693,198649,195972
surat,25-29,270473,255757,436929
surat,15-19,226316,40640,17850
thedangs,20-24,9570,7810,10765
thedangs,25-29,8430,7939,19327
thedangs,15-19,9189,2339,1295
jamnagar,20-24,96560,60516,57584
jamnagar,25-29,84853,77144,138963
jamnagar,15-19,102848,11932,4744
vadodara,20-24,173550,125415,132081
vadodara,25-29,167554,154516,270712
vadodara,15-19,165150,34936,16144
gujarat,20-24,2596475,1853835,1902875
gujarat,25-29,2360622,2197565,4071841
gujarat,15-19,2628420,514267,218296
narmada,20-24,23538,18185,21790
narmada,25-29,21679,20255,42975
narmada,15-19,25915,5227,2710
panchmahals,20-24,95547,78570,93302
panchmahals,25-29,85146,81924,174332
panchmahals,15-19,103962,26182,12311
valsad,20-24,71006,51817,55564
valsad,25-29,69425,64110,115104
valsad,15-19,66187,13569,6842
kheda,20-24,97061,77695,81283
kheda,25-29,86617,82141,151852
kheda,15-19,97228,33246,11925
anand,20-24,90658,68743,70417
anand,25-29,81154,76083,136975
anand,15-19,87431,24528,8993
navsari,20-24,57578,37154,37170
navsari,25-29,53671,48038,79590
navsari,15-19,56617,8139,4018
kachchh,20-24,87908,64420,67716
kachchh,25-29,79128,74824,150487
kachchh,15-19,89566,13277,5230
rajkot,20-24,170583,106817,99150
rajkot,25-29,153578,140359,233264
rajkot,15-19,170015,22382,9777
