Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of home deliveries attended by Non SBA trained (trained TB/Dai),Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
74690.0,10987.0,7610.0,6983.0,2699.0,6063.0,2834.0,3520.0,849.0,38008.0,38857.0,73906.0,0.0,765011.0,14025434.0,610.0,0.0,0.0,2901.0,6762880,4962437,2157653,245614,4358947,118234.0
9696.0,2252.0,3106.0,427.0,128.0,1370.0,219.0,53.0,25.0,7633.0,7658.0,20143.0,0.0,89023.0,2179788.0,1188.0,0.0,0.0,260.0,1477057,928754,510679,128816,837342,34785.0
36071.0,2653.0,1762.0,226.0,1996.0,844.0,342.0,1969.0,168.0,14258.0,14426.0,23457.0,0.0,103401.0,3482367.0,0.0,0.0,0.0,599.0,2018998,1433884,667474,158348,1192384,46106.0
8131.0,989.0,6620.0,27.0,54.0,4945.0,925.0,1.0,237.0,23326.0,23563.0,42382.0,0.0,139055.0,3463834.0,381.0,0.0,0.0,1749.0,2921194,1468942,953816,243786,1720098,65697.0
9114.0,1798.0,4637.0,4146.0,284.0,1793.0,409.0,213.0,14.0,7677.0,7691.0,12223.0,0.0,48956.0,2081639.0,185.0,0.0,0.0,864.0,1494550,1039115,508753,100750,884823,36640.0
10337.0,1252.0,5059.0,142.0,285.0,1925.0,332.0,193.0,1367.0,12950.0,14317.0,24776.0,0.0,119271.0,3606190.0,520.0,0.0,0.0,399.0,2750444,1713936,923472,159946,1665606,59565.0
4916.0,881.0,4068.0,362.0,14.0,1980.0,777.0,159.0,67.0,9617.0,9684.0,21475.0,0.0,224020.0,2917806.0,564.0,0.0,0.0,947.0,1966160,857041,535644,402857,1025752,34542.0
18602.0,2789.0,339.0,585.0,671.0,651.0,631.0,169.0,297.0,10706.0,11003.0,22130.0,321.0,84865.0,2819350.0,20.0,0.0,0.0,617.0,1374309,982770,456535,84175,833020,33044.0
11308.0,743.0,4770.0,272.0,47.0,1268.0,1281.0,108.0,16.0,8282.0,8298.0,24820.0,0.0,127537.0,3019900.0,87.0,0.0,0.0,519.0,2079952,1294220,690603,121202,1268104,42964.0
18780.0,1971.0,3067.0,924.0,226.0,1490.0,1212.0,77.0,974.0,9778.0,10752.0,26586.0,0.0,150191.0,3369217.0,713.0,0.0,0.0,732.0,2651061,1700198,892510,190675,1565716,45471.0
534.0,81.0,6069.0,3.0,1.0,1139.0,273.0,0.0,44.0,6677.0,6721.0,8169.0,0.0,96140.0,2196855.0,577.0,0.0,0.0,488.0,1924464,1092511,623819,94380,1203826,25117.0
8139.0,928.0,0.0,473.0,1954.0,806.0,1059.0,883.0,2724.0,18505.0,21229.0,36951.0,0.0,107307.0,2789827.0,383.0,0.0,0.0,495.0,2213458,1522297,713699,212426,1285574,60168.0
