Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
_Andhra Pradesh,830965,78.7,523691,55.4,333338,55077.0,737140,89514,32.2,36.7,100.8,99.1,5.6,4.5,1392,183509,79472,7.3,2,1,108031,696781,633545,56.1,2,99.4,2.1,0.3
Anantapur,83624,76.3,52678,55.2,29706,,69033,5574,20.6,22.0,103.7,98.9,9.2,2.4,264,21208,8032,25.8,0,0,4769,59140,52813,76.6,0,99.9,1.4,1.2
Chittoor,68891,82.1,64893,50.7,36625,14180.0,60849,8477,30.4,41.5,102.1,99.2,7.2,6.5,112,20493,4126,10.8,0,1,6038,61705,60687,47.7,0,99.8,1.5,0.4
Cuddapah,55105,85.1,44990,25.9,19065,14815.0,52119,4241,32.6,38.6,100.3,98.4,5.6,0.5,212,10063,3912,2.9,0,0,7011,50534,46087,17.0,1,100.1,1.0,0.1
East Godavari,85198,83.1,43889,10.5,37835,0.0,76100,9428,31.2,37.3,99.9,99.6,4.1,2.4,13,5393,6863,0.2,0,0,10040,58077,66116,83.7,0,100.1,3.1,0.2
Guntur,72564,76.5,43299,30.6,24434,,65284,7572,28.0,26.2,99.3,99.4,3.4,0.4,63,22611,11726,3.3,0,0,16186,71995,61739,52.8,0,98.7,2.8,0.3
Krishna,70745,79.8,37704,163.3,19627,0.0,66813,9130,52.3,54.7,102.1,99.3,2.7,3.5,237,13336,8398,0.2,0,0,12682,55716,46255,32.5,1,99.9,2.6,0.1
Kurnool,81290,78.4,47479,77.8,41841,7372.0,72625,7403,20.8,25.0,98.9,98.1,8.2,9.3,97,21953,5504,34.2,0,0,2146,58396,46260,53.6,0,95.6,1.4,1.1
Nellore,42190,76.6,28651,48.0,12728,7889.0,39816,4104,12.1,2.7,100.3,99.4,6.6,3.0,122,2309,4640,2.9,1,0,5083,41248,38850,135.4,0,99.3,1.7,0.1
Prakasam,61902,73.8,27444,27.8,14377,188.0,54337,4210,50.2,57.8,101.8,99.7,3.2,1.2,109,7030,8675,0.0,0,0,11321,50639,40965,6.1,0,99.6,2.7,0.1
Srikakulam,45413,70.7,22997,53.0,16877,6169.0,38924,6208,45.7,52.5,100.3,99.3,3.7,17.0,2,8803,2724,2.1,0,0,8060,37882,28465,32.1,0,100.9,1.1,0.0
Vishakapatnam,68097,68.4,45564,58.2,37361,4464.0,61480,8195,18.8,13.8,99.2,98.8,7.1,6.0,144,25757,4084,12.2,1,0,6019,64242,61837,78.2,0,99.7,2.3,0.2
Vizianagaram,41799,86.0,31017,28.9,21035,,34149,5461,21.5,14.3,103.4,99.5,5.6,10.7,7,5347,1521,0.0,0,0,9207,32414,31666,14.4,0,100.2,1.1,0.4
West Godavari,54147,87.6,33086,65.2,21827,0.0,45611,9511,59.4,73.8,99.7,99.3,4.8,0.7,10,19206,9267,0.0,0,0,9469,54793,51805,59.8,0,100.2,3.0,0.0
