Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
_Arunachal Pradesh,32373,34.7,8192,18.6,14760,1453.0,17010,2640.0,20.1,34.4,99.3,98.9,6.4,2.0,174,6005,160.0,46.3,0.0,0.0,2286,16980,14026,27.5,0,96.5,0.6,1.1
Anjaw,398,38.9,9,,68,,68,,0.0,,100.0,100.0,7.1,0.0,0,17,,,,,16,73,46,3.3,0,89.4,,0.0
Changlang,3136,29.7,1027,50.0,1219,,1219,0.0,0.0,,97.7,99.2,5.7,0.2,0,783,,,0.0,0.0,91,1375,1086,20.6,0,102.7,0.0,0.5
Dibang Valley,170,41.8,5,11.1,46,,46,0.0,0.0,,97.9,97.9,0.0,0.0,0,0,,,0.0,0.0,0,27,1,23.8,0,58.0,0.0,0.0
East Kameng,1572,30.9,144,50.0,701,,701,0.0,0.0,,98.3,98.1,4.3,0.1,1,39,,,0.0,0.0,137,785,382,30.5,0,96.9,0.0,4.8
East Siang,2126,52.9,1082,33.9,1579,62.0,1688,244.0,18.2,57.8,97.9,97.8,7.9,0.8,14,333,52.0,64.8,0.0,0.0,150,1662,1480,10.9,0,97.1,0.0,0.5
Kra Daadi,297,46.1,40,0.0,51,,51,0.0,0.0,,104.9,100.0,5.3,0.0,0,9,,0.0,0.0,0.0,33,154,142,5.0,0,96.8,,0.0
Kurung Kumey,905,61.9,103,0.0,316,,316,0.0,0.0,,99.5,99.5,2.9,0.0,1,154,,,0.0,0.0,35,314,288,9.2,0,97.2,0.0,0.4
Lohit,1785,40.1,535,7.5,901,,901,61.0,6.8,,108.7,98.2,6.3,0.7,18,273,,73.3,0.0,0.0,126,935,857,26.2,0,95.7,0.2,0.4
Longding,943,40.5,85,,410,,410,,0.0,,99.9,98.5,0.1,0.1,0,238,,0.0,0.0,0.0,0,540,493,5.2,0,89.1,0.0,1.3
Lower Dibang Valley,1228,36.6,442,2.9,622,,622,,0.0,,97.9,98.1,8.3,1.9,29,468,,100.0,,,57,680,476,10.7,0,98.7,0.0,0.2
Lower Subansiri,952,39.7,257,31.6,365,,365,11.0,3.0,,93.8,99.2,6.3,1.9,0,213,,50.0,0.0,0.0,150,399,361,37.0,0,97.6,0.0,0.3
Namsai,1670,41.7,520,7.2,702,,702,0.0,0.0,,96.8,99.2,5.9,0.0,33,24,,,0.0,0.0,77,698,551,3.7,0,99.2,2.6,0.5
Papum Pare,9231,19.5,655,11.1,3733,1391.0,5874,2085.0,47.6,33.2,99.3,99.3,9.1,3.3,9,874,108.0,38.3,0.0,0.0,464,6084,5391,50.8,0,97.8,1.0,0.3
Siang,394,20.6,2,,132,,132,0.0,0.0,,96.9,97.9,12.6,0.0,0,19,,,0.0,0.0,17,144,88,6.9,0,84.4,0.0,3.4
Tawang,929,36.3,545,10.0,397,,397,43.0,10.8,,97.3,97.1,5.3,0.6,0,767,,,0.0,0.0,106,412,345,46.8,0,94.4,0.0,0.0
Tirap,988,40.0,320,0.0,440,,440,,0.0,,99.8,99.6,0.0,6.3,0,105,,,,,30,272,167,28.0,0,94.6,0.0,0.4
Upper Siang,626,39.1,279,0.0,271,,271,9.0,3.3,,99.3,99.3,2.8,0.0,20,127,,0.0,0.0,0.0,95,304,293,17.0,0,96.1,0.0,5.8
Upper Subansiri,1094,50.5,512,66.7,786,,786,11.0,1.4,,102.9,99.6,3.4,0.0,0,208,,,0.0,0.0,222,391,207,22.3,0,97.3,0.0,18.2
West Kameng,1990,61.6,468,9.0,871,,871,51.0,5.9,,99.4,98.0,4.4,2.1,49,620,,0.0,0.0,0.0,222,858,776,29.1,0,95.6,0.0,0.5
West Siang,1939,27.0,1162,69.4,1150,,1150,125.0,10.9,,99.1,99.6,4.1,6.0,0,734,,16.9,0.0,0.0,258,873,596,21.8,0,99.8,0.0,11.4
