Indicator,Total number of pregnant women Registered for ANC,Unnamed: 2,Unnamed: 3,Unnamed: 4,TT2 given to Pregnant women (numbers),TT Booster given to Pregnant women (numbers),Unnamed: 7,% Pregnant women received TT2+ TT Booster to Total ANC Registration,Unnamed: 9,Number of Pregnant women given 180 IFA tablets,% Pregnant women given 180 IFA to Total ANC Registration,Unnamed: 12,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,% Deliveries conducted at Public Institutions to Total Institutional Deliveries,Unnamed: 24,% Women getting 1st post partum check-up within 48 hours of home delivery to Total Reported Home Deliveries,Unnamed: 26,Unnamed: 27,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended,Unnamed: 29,Unnamed: 30,% Pregnant women tested positive for GDM to Total ANC Registration,Unnamed: 32,% Pregnant women tested for Syphilis to Total ANC Registration,Unnamed: 34,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis,Total no. maternal deaths,Unnamed: 37,Unnamed: 38,Unnamed: 39,Total Sterlisation (Tubectomies and Vasectomies) conducted at Public institutions,% Laparoscopic sterlisations at Public Institutions to Total Laparoscopic Sterilisations,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Arunachal Pradesh,32159,32373,11243,34.7,14502,3169,4010,54.9,54.3,14431,44.9,38.8,34.8,2.5,788,809,77.9,2250.0,64.6,17010,52.5,34.4,85.0,8823,157.3,469.7,2.0,56.9,3669,11.3,0.5,0.5,39.3,18.5,132.9,5,1.0,69.9,160.0,723.0,89.3,1465.0,15733,14406,4505,63.0,63.9,20.3,21.2,37.2,43.7,1.1,0.8,71078,66991,1323898,1264419,134069,91349,1457967,1355768,4.9,4.9,7878.0,6466.0,11384,10660,40.9,37.8,1374.0,2421.0,17.4,37.4,9.2,6.7,55696,58917,3.8,4.3,2.2,2.3,0.2,0.1,38.5,34.1,0.3,0.6,0.3,0.4,1.1,1.1,0.2,0.3,153,127,13.1,17.3,19.0,7.9,5.2,7.9,3.9,3.9,0.0,0.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjaw,437,398,155,38.9,194,20,26,49.0,47.0,139,31.8,27.4,0.0,0.2,11,9,85.3,,,68,17.1,,100.0,76,37.5,26.3,0.0,,21,5.3,0.0,0.0,11.7,4.3,,0,0.0,100.0,,,,5.0,113,207,0,58.5,64.8,24.4,23.1,50.0,0.0,0.4,0.2,446,484,19815,22968,4823,4472,24638,27440,1.8,1.8,0.0,0.0,90,187,0.0,0.0,0.0,0.0,,,19.6,16.3,651,651,2.6,2.4,0.5,1.2,0.0,,0.5,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changlang,3197,3136,930,29.7,2024,535,544,80.0,75.9,1128,35.3,15.8,54.3,0.7,179,114,42.6,,,1219,38.9,,100.0,413,46.7,98.3,0.2,0.0,145,4.6,0.0,0.0,31.7,25.0,77.8,0,0.0,66.7,,28.0,,125.0,1681,1983,0,68.4,66.5,20.7,20.6,16.7,43.8,0.1,0.4,4500,4297,93376,97760,19020,13195,112396,110955,4.0,3.9,719.0,176.0,967,1049,42.6,14.4,0.0,0.0,0.0,0.0,16.9,11.9,7384,7871,6.6,7.1,2.7,1.9,0.0,0.0,10.4,12.1,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.3,3,6,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,16.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dibang Valley,158,170,71,41.8,3,26,59,18.4,56.5,32,20.3,48.8,,0.0,5,1,100.0,,,46,27.1,,100.0,42,600.0,1800.0,0.0,,38,22.4,0.0,0.0,0.0,0.0,,0,0.0,,,0.0,,28.0,28,22,75,47.9,42.2,34.8,29.7,,,0.0,0.0,112,64,9928,11032,1525,1874,11453,12906,1.0,0.5,0.0,0.0,97,38,0.0,0.0,0.0,0.0,,,13.3,14.5,27,0,0.2,0.0,0.0,31.4,0.0,0.0,28.5,2.4,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Kameng,1619,1572,486,30.9,713,239,257,58.8,63.2,366,22.6,24.5,100.0,0.3,35,73,97.0,,,701,44.6,,100.0,69,104.3,67.6,0.1,,80,5.1,0.0,0.1,2.0,2.5,,1,0.0,98.2,,0.0,,115.0,193,170,185,67.9,62.8,32.8,39.2,100.0,,0.0,0.0,2341,3619,40961,43769,4474,6919,45435,50688,5.2,7.1,0.0,0.0,21,8,0.0,0.0,0.0,0.0,,,9.8,13.7,2546,2115,5.6,4.2,1.8,1.9,0.0,0.0,9.9,15.3,0.0,0.0,0.0,0.0,1.4,4.8,0.0,0.1,6,13,0.0,0.0,0.0,0.0,16.7,15.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Siang,2135,2126,1124,52.9,1191,314,414,70.5,68.2,1324,62.0,41.7,24.2,1.6,60,59,89.6,109.0,56.9,1688,79.4,57.8,96.9,411,474.7,433.3,0.8,107.7,195,9.2,2.0,0.7,51.1,15.7,66.7,1,0.0,96.0,52.0,137.0,84.2,108.0,968,1287,29,64.1,62.1,28.3,29.6,38.3,34.9,1.5,1.3,10000,9874,125170,138204,4510,3193,129680,141397,7.7,7.0,1704.0,1710.0,1437,1375,54.3,55.4,96.0,245.0,5.6,14.3,3.5,2.3,6885,7065,5.3,5.0,2.7,8.6,0.0,0.0,25.3,31.0,0.4,0.0,0.1,0.0,1.4,0.5,0.3,0.5,50,40,24.0,15.0,16.0,25.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kra Daadi,279,297,137,46.1,131,45,30,63.1,52.2,183,65.6,64.3,,1.1,80,78,86.3,,,51,17.2,,100.0,20,42.9,8.0,0.0,,8,2.7,0.0,0.0,21.5,3.0,,0,,100.0,,8.0,,65.0,84,81,0,53.7,58.6,42.2,47.2,,,0.0,0.0,758,398,7509,5821,614,180,8123,6001,9.3,6.6,0.0,0.0,67,95,0.0,0.0,0.0,0.0,,,7.6,3.0,84,90,1.0,1.5,5.2,0.6,0.0,,1.8,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurung Kumey,836,905,560,61.9,231,111,136,40.9,41.3,836,100.0,95.2,,0.7,49,79,87.7,,,316,34.9,,100.0,259,120.0,300.0,0.0,,265,29.3,0.0,0.1,33.1,17.0,,0,0.0,95.5,,0.0,,0.0,326,481,110,59.1,55.4,34.2,34.6,,,0.0,0.0,1800,861,20792,18781,381,270,21173,19051,8.5,4.5,0.0,0.0,361,291,0.0,0.0,0.0,0.0,,,1.8,1.4,363,342,1.7,1.8,1.9,0.8,0.0,0.0,12.2,5.2,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohit,1413,1785,716,40.1,628,81,181,50.2,62.0,573,40.6,59.7,44.1,1.8,8,15,99.2,,,901,50.5,,100.0,351,127.0,163.5,0.7,,171,9.6,0.2,1.0,30.7,15.3,,0,0.0,65.6,,30.0,100.0,63.0,817,623,60,66.8,65.7,16.3,19.2,26.9,27.8,1.1,1.4,2289,2489,59070,76442,5746,5894,64816,82336,3.5,3.0,17.0,52.0,929,900,1.8,5.5,10.0,2.0,58.8,3.8,8.9,7.2,2434,3635,3.8,4.4,3.8,2.9,0.0,0.4,27.7,30.0,0.0,0.2,0.0,0.3,0.3,0.4,0.2,0.4,2,7,0.0,14.3,0.0,0.0,50.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longding,1046,943,382,40.5,836,106,139,90.1,87.8,673,64.3,53.3,0.0,0.1,89,89,94.9,,,410,43.5,,100.0,18,67.9,65.3,0.1,,35,3.7,0.0,0.0,33.7,25.2,,0,0.0,43.5,,0.0,,186.0,3562,126,0,57.0,53.6,15.0,20.6,0.0,33.3,0.4,0.5,528,641,26612,28217,5090,5802,31702,34019,1.7,1.9,0.0,0.0,141,68,0.0,0.0,0.0,0.0,,,16.1,17.1,1020,805,3.2,2.4,2.1,0.6,,0.0,0.6,0.8,0.0,0.0,0.0,0.0,1.0,1.3,0.1,0.1,0,1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
