Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
_Assam,689620,84.8,506595,30.4,442564,8457.0,527006,62993,21.5,59.3,98.2,97.9,14.4,12.0,426,163486,2924.0,62.1,2,20,78193,348685,302569,53.5,5,97.9,0.5,0.1
Baksa,17134,87.9,11238,24.7,8098,66.0,8508,46,0.5,0.0,98.2,98.1,12.3,5.0,0,4723,0.0,99.7,0,1,1571,7142,3637,81.8,1,99.3,0.3,0.0
Barpeta,40813,85.5,29669,2.8,28389,51.0,29720,4759,20.2,93.2,98.8,97.5,14.9,1.4,3,8509,158.0,28.9,0,0,4722,17538,14801,50.2,0,97.1,0.2,0.2
Bongaigaon,15297,86.7,12646,18.8,10032,17.0,13483,1219,27.9,73.6,98.7,98.2,13.7,24.3,0,1558,289.0,41.1,0,0,2894,5597,4562,38.0,0,98.6,0.3,0.0
Cachar,39489,87.7,42870,44.8,32015,760.0,40672,5468,27.2,64.9,97.9,97.3,18.5,6.2,9,14267,72.0,74.9,0,0,2625,27596,23586,55.0,0,98.1,0.7,0.0
Chirang,9906,78.6,5067,7.3,5404,0.0,5793,311,9.0,53.7,99.0,98.4,19.9,3.0,9,2140,0.0,84.2,0,1,1538,4128,2340,31.1,0,97.1,1.0,0.4
Darrang,21282,88.4,12833,25.8,13625,0.0,14538,601,8.7,72.4,98.7,98.4,11.9,18.9,0,4253,0.0,84.9,0,3,3948,10214,9680,47.8,0,97.2,0.1,0.0
Dhemaji,14599,91.2,13101,21.4,14314,92.0,14783,2745,21.3,87.2,99.1,98.1,9.7,4.0,0,8885,,52.7,1,0,3856,9396,8422,62.2,0,98.2,0.4,0.0
Dhubri,54636,79.1,29413,5.1,27493,28.0,28266,1051,5.7,73.2,98.7,98.0,13.2,4.3,19,3405,0.0,67.0,0,0,9059,18865,16503,48.2,0,96.9,0.3,0.0
Dibrugarh,24995,87.1,23395,45.0,17124,54.0,23502,4195,30.9,48.1,98.6,97.5,23.3,40.1,61,2052,0.0,76.8,0,0,2222,19839,15136,65.1,0,99.6,0.0,0.0
