Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,TT Booster given to Pregnant women (numbers),% Pregnant Woman received 4 ANC check ups to Total ANC Registrations,% Pregnant women given 180 IFA to Total ANC Registration,Number of Pregnant Women having severe anaemia (Hb<7) treated at institution,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),% SBA attended home deliveries to Total Reported Home Deliveries,Deliveries Conducted at Private Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),% Pregnant women given 360 Calcium to Total ANC Registration,% Pregnant women tested positive for GDM to Total ANC Registration,Number of pregnant women tested for Syphilis,Total Number of MTPs ( Public) conducted,% MTPs to total Abortions,% MTPs up to 12 weeks of Pregnancy to Total MTPs at Public Institutions,% Post Partum Sterlisations to Total Female Sterilisations,% Post Abortion Sterlisations to Total Female Sterilisations,Total cases of deaths following Male Sterlisation,Total cases of deaths following Female Sterlisation,Total cases of failure following Female Sterlisation,Total cases of complication following Male Sterlisation,IUCD insertions done (pvt. facilities),% PP IUCD Insertions (public) to Total IUCD Insertions (public),% PP IUCD Insertions (public) to Total Institutional Deliveries (public),Total PAIUCD insertions done,Emergency pills distributed,Number of beneficiaries given 3rd dose of Injectable (Antara Program),Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Assam,685229,603179,55253,85.3,98.3,10287,48.6,16737,36852,31.2,90687.0,9781.0,554567,608156,70844,59727.0,12692,591026,580216,942,90.8,1.1,301279,89683,79.1,98.6,43.6,1.8,1,3,29,16,812.0,54.0,20.0,15628,51448,10159,598636,100.0,91,321.0,41892,533826,460490,67.0,65.4,15.0,14.6,40.6,39.4,0.7,0.5,1654100,1549703,34287489,33591800,2948644,2356463,37236133,35948263,4.4,4.3,63625,78997,66969,46114,48.7,63.1,22794,6645,35.8,8.4,7.9,6.6,372615,345516,1.0,1.0,2.0,2.0,1.2,1.5,16.4,9.9,0.8,0.4,1.0,1.0,0.0,0.1,0.0,0.1,12418,11676,8.4,8.0,19.5,15.5,5.9,5.9,0.3,0.3,2.8,2.4,0.1,0.1,53948.0,49880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baksa,16257,14244,563,81.2,95.0,161,71.6,260,87,74.9,128.0,0.0,7980,8327,210,12.0,158,8213,8211,929,88.7,0.0,7236,2516,61.5,97.3,6.6,1.4,0,0,0,0,37.0,49.3,27.4,602,646,65,14548,100.0,0,13.0,541,13634,13439,76.7,76.5,9.7,7.0,39.0,35.9,0.2,0.2,18594,17898,593754,614989,222563,134388,816317,749377,2.3,2.4,1,0,2317,1507,0.0,0.0,18,0,1800.0,,27.3,17.9,5199,4488,0.6,0.6,0.5,0.6,0.4,0.0,10.2,5.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,172,293,0.6,1.7,2.9,0.0,11.6,12.6,0.0,0.7,7.6,3.4,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barpeta,42427,37576,2134,89.5,103.9,312,47.1,3301,2200,60.0,1472.0,99.0,32920,38421,5361,1348.0,935,37077,37476,953,95.5,0.0,17064,4094,64.9,96.4,73.6,0.1,0,0,1,6,70.0,54.5,17.7,1114,2939,347,36307,100.0,2,0.0,2189,31797,26041,69.5,69.0,21.7,20.5,40.3,33.2,0.8,0.4,68847,66384,1324186,1513087,261232,102544,1585418,1615631,4.3,4.1,4861,3426,2566,1240,65.5,73.4,405,275,8.3,8.0,16.5,6.3,14215,8320,0.9,0.5,0.6,0.7,0.5,1.0,14.3,9.0,0.2,0.6,0.3,0.7,0.1,0.0,0.0,0.0,867,728,6.8,6.6,46.8,19.6,2.9,6.2,0.2,0.3,0.6,0.8,0.1,0.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongaigaon,14969,13463,907,80.2,98.9,192,38.2,152,552,21.6,3772.0,24.0,13586,14290,1664,2970.0,270,14102,13960,936,97.2,0.0,3653,4083,94.6,100.0,77.1,8.9,0,0,0,0,1.0,34.2,21.9,768,1262,307,13240,0.0,0,,240,12031,11975,74.6,74.7,4.1,5.1,33.2,34.7,0.9,0.8,22147,19538,748414,704085,52535,35294,800949,739379,2.8,2.6,391,563,397,227,49.6,71.3,74,22,18.9,3.9,6.6,4.8,8314,5006,1.0,0.7,2.6,2.3,6.2,0.8,15.8,13.2,8.2,0.3,7.1,0.6,0.0,0.0,0.0,0.0,255,294,4.7,2.7,6.7,2.0,3.9,10.2,0.0,0.0,3.1,1.7,0.0,0.0,3808.0,3701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachar,40421,35932,6515,87.8,99.4,1086,79.1,677,550,55.2,9901.0,911.0,44137,45364,6199,5951.0,1427,44317,44146,950,97.6,0.0,16485,1614,70.9,100.0,46.8,6.1,0,0,0,0,67.0,60.4,10.9,185,1801,195,39759,0.0,4,,48,32072,23543,73.4,76.5,14.5,25.0,44.6,41.6,1.0,0.2,115952,108355,2158642,1836609,10278,8730,2168920,1845339,5.3,5.9,6927,5418,11693,4406,37.2,55.2,615,674,8.9,12.4,0.5,0.5,20450,21058,0.9,1.1,2.3,1.7,2.5,3.3,18.2,3.7,1.2,1.2,2.0,2.4,0.0,0.0,0.0,0.0,682,967,8.8,11.5,8.1,14.9,4.0,2.0,0.0,0.1,4.3,2.6,0.0,0.0,4351.0,4028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirang,9556,7877,714,74.4,88.1,21,0.8,125,1234,9.2,373.0,21.0,6112,7471,806,215.0,155,7360,7310,973,51.8,0.0,2942,1729,89.9,100.0,37.8,16.3,0,0,0,0,5.0,25.1,11.3,406,607,98,7934,0.0,0,0.0,873,6945,6441,70.1,83.1,8.5,10.6,51.6,7.7,0.2,0.2,17807,8331,457308,353540,39358,2745,496666,356285,3.6,2.3,65,45,366,328,15.1,12.1,51,30,78.5,66.7,7.9,0.8,6036,5848,1.2,1.6,7.2,10.4,0.8,0.2,13.7,7.6,0.2,0.3,0.4,0.3,0.1,0.2,0.1,0.2,155,128,0.0,0.8,1.9,0.8,5.2,3.9,0.6,0.0,8.4,6.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrang,22207,21360,829,93.1,101.4,636,102.3,287,252,53.2,764.0,0.0,18456,18995,1441,631.0,290,18705,18454,971,101.1,0.0,7797,7913,94.3,99.4,36.6,0.0,0,0,3,1,8.0,62.7,47.1,1747,531,408,19834,100.0,8,0.0,399,18681,17431,69.7,66.5,21.1,19.1,44.1,42.7,0.4,0.5,66731,61267,1253952,1032043,88303,75264,1342255,1107307,5.0,5.5,1315,1194,440,534,74.9,69.1,412,68,31.3,5.7,6.6,6.8,11354,9055,0.8,0.8,0.9,1.0,0.7,0.9,13.3,13.2,0.1,0.2,0.2,0.4,0.0,0.0,0.0,0.0,255,218,5.5,4.1,21.2,25.2,7.5,6.9,0.4,0.5,2.4,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhemaji,14553,13634,883,86.3,101.5,447,71.1,24,19,55.8,615.0,0.0,14505,14548,2639,572.0,262,13996,14001,951,94.2,0.0,8302,7899,92.0,97.7,34.5,0.6,0,1,2,0,,56.4,28.7,608,1075,434,12668,100.0,3,0.0,1142,11598,10149,78.7,76.2,13.6,13.7,35.0,30.1,0.5,0.8,21321,18980,803165,615862,50654,51821,853819,667683,2.5,2.8,767,409,271,777,73.9,34.5,333,151,43.4,36.9,5.9,7.8,8154,5092,1.0,0.8,3.3,3.3,0.2,0.3,15.5,12.1,3.2,0.1,1.6,0.2,0.0,0.0,0.0,0.0,273,307,6.2,3.9,9.9,19.9,4.8,2.3,0.4,0.3,5.1,1.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhubri,57127,49538,3653,89.2,98.4,466,45.8,3924,14393,21.4,757.0,113.0,28829,47146,1135,567.0,1038,46475,46211,952,95.9,0.1,11255,4863,79.6,99.8,42.3,0.0,0,0,0,3,96.0,30.0,9.4,676,6687,1482,47411,100.0,7,0.0,413,44774,36685,69.5,67.5,17.8,17.6,44.7,43.6,0.6,0.4,79615,77318,1578957,1636417,265921,299001,1844878,1935418,4.3,4.0,2615,2856,990,941,72.5,75.2,69,50,2.6,1.8,14.4,15.4,31160,24842,1.7,1.3,0.8,0.7,0.7,2.1,7.4,5.6,0.2,0.4,0.4,0.9,0.0,0.0,0.0,0.0,1083,754,6.6,5.2,14.6,15.9,9.1,6.6,0.2,0.5,0.5,1.5,0.2,0.3,196.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dibrugarh,23867,21298,2054,83.5,99.6,390,52.7,5,42,10.6,6326.0,11.0,25266,25313,4646,4500.0,640,24854,24528,946,90.0,0.1,7477,2760,76.6,95.7,13.5,0.4,0,0,0,0,86.0,72.6,31.7,686,1450,102,20551,100.0,14,0.0,1075,18748,14875,56.9,54.9,11.6,10.7,37.9,36.0,2.3,0.2,115680,107906,2806434,2553955,66455,32262,2872889,2586217,4.0,4.2,7135,7737,1564,1005,82.0,88.5,1815,590,25.4,7.6,2.3,1.2,8794,11943,0.3,0.5,1.6,1.7,0.6,0.8,37.2,25.1,0.3,0.6,0.5,0.7,0.0,0.0,0.0,0.0,551,601,15.8,13.6,25.4,15.6,6.0,5.2,0.0,0.0,0.0,1.7,0.0,0.0,4211.0,4149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
