Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
_Bihar,3187592,61.7,900038,26.3,1637400,16562.0,1690902,24710,2.4,29.8,98.1,98.8,9.2,2.5,3824,194821,147231.0,0.3,5,10,291031,1861690,1540373,5.1,92,96.8,0.9,1.1
Araria,100039,52.1,38150,32.8,54931,,54931,29,0.1,,99.1,98.8,15.2,1.2,0,4118,,0.0,0,0,8956,55240,49443,2.2,3,90.8,0.3,0.0
Arwal,15931,61.0,2102,8.3,10128,0.0,10128,35,0.3,,99.5,98.8,6.9,1.3,0,366,0.0,0.0,0,0,1308,10970,10102,0.0,0,98.9,0.3,0.5
Aurangabad,76551,68.2,33162,27.2,33100,13.0,33121,152,0.5,38.1,99.6,99.0,8.9,2.2,120,3863,2675.0,0.0,0,5,9897,39620,31730,2.8,1,98.5,0.7,1.2
Banka,57975,67.0,31626,9.9,36115,,36115,109,0.3,,98.9,98.4,11.9,5.0,0,2667,1118.0,0.0,0,0,5055,36777,32327,2.7,3,99.6,0.1,0.0
Begusarai,98180,67.0,41085,4.6,56789,0.0,56789,65,0.1,,108.3,99.1,8.3,0.3,0,627,9627.0,0.0,1,0,7583,66422,53403,1.9,9,100.0,2.8,11.4
Bhagalpur,91919,46.8,65835,4.5,53744,,53994,2132,4.1,28.4,98.6,98.2,7.5,3.2,37,5772,2961.0,0.0,1,1,5320,53746,44608,3.5,1,99.9,0.9,0.9
Bhojpur,64116,64.8,9761,16.8,39422,,42921,1281,10.5,92.3,88.4,98.7,11.3,1.0,0,2091,5674.0,0.0,0,0,6091,53554,46526,9.5,2,98.8,0.7,0.2
Buxar,44905,63.0,5965,24.4,22103,,22103,89,0.4,,98.0,98.9,13.5,1.4,0,833,251.0,0.0,0,0,2328,24717,19845,1.9,0,98.2,0.5,0.0
Darbhanga,129053,49.8,10562,6.2,52962,365.0,53427,2099,4.1,16.1,100.4,98.8,5.3,0.0,12,2357,12696.0,0.1,0,0,7607,62518,47770,6.6,1,91.1,0.1,0.0
East Champaran,172264,54.7,28598,23.6,66833,5270.0,83334,496,5.1,22.8,86.9,99.3,5.9,1.0,5,5033,11736.0,0.0,0,0,15832,76173,57097,0.0,3,87.8,1.4,0.0
Gaya,134435,67.9,35267,23.1,51382,222.0,51382,1827,3.7,,100.5,98.6,8.6,2.0,30,2939,239.0,0.0,0,1,10763,68134,51372,16.3,0,98.3,0.8,2.2
Gopalganj,97988,57.5,15130,30.9,39650,,40412,458,1.5,17.8,97.7,98.6,8.9,2.7,125,2504,226.0,0.0,0,0,4419,47920,38633,3.6,1,96.3,1.0,0.2
Jamui,50368,54.7,27573,13.5,29453,1553.0,32382,564,2.1,4.1,98.8,98.7,6.2,0.8,63,10296,4505.0,0.0,0,0,3639,32491,30321,88.0,3,99.3,0.3,3.1
Jehanabad,29899,56.4,20141,5.2,14453,0.0,15616,152,3.1,29.1,91.2,98.5,18.5,3.1,11,485,292.0,0.0,0,0,3999,20583,14636,0.0,0,99.5,0.5,1.1
Kaimur Bhabua,48516,67.3,7094,6.8,25132,,25132,193,0.8,,100.4,98.9,14.0,1.1,0,2849,2071.0,0.0,0,0,2407,25126,22730,6.4,2,97.4,0.3,7.6
Katihar,108540,67.8,39349,69.9,61365,770.0,66213,1037,2.5,12.5,96.7,98.7,8.5,1.2,1,2206,6505.0,0.6,0,0,14192,68313,55846,3.4,1,95.1,0.5,0.4
Khagaria,58577,84.2,15193,28.4,37753,,37753,51,0.1,,99.3,98.9,11.5,0.8,0,2041,,0.0,0,0,8855,44066,37029,1.4,7,99.2,1.3,0.0
Kishanganj,59399,54.9,28771,64.3,25386,1462.0,28268,148,5.6,49.9,97.9,98.3,11.8,7.9,28,7045,639.0,0.7,0,0,2862,31145,25444,2.8,1,91.8,0.9,3.9
Lakhisarai,28802,88.7,14538,18.5,15650,11.0,15697,17,0.2,23.4,99.0,98.7,8.1,0.6,0,403,,0.7,0,0,6092,17253,15367,20.8,0,100.1,0.3,0.3
Madhepura,64608,91.0,16127,13.1,46598,1442.0,48348,287,1.2,16.8,99.5,98.7,17.0,13.2,14,5871,1767.0,0.0,0,0,4957,48912,45032,4.3,7,96.1,0.1,0.3
Madhubani,129504,59.9,15393,21.7,60074,0.0,60074,58,0.1,,99.8,99.0,4.9,0.3,346,18391,7661.0,0.0,0,0,10248,62988,49958,1.2,0,95.8,1.0,0.1
Munger,39870,47.1,23086,41.9,21996,1560.0,25025,63,6.1,48.5,87.8,98.1,11.3,4.5,13,9971,632.0,3.2,0,0,1621,22282,18817,0.0,2,99.3,0.4,0.5
Muzaffarpur,139429,41.3,7805,34.8,53828,,53828,1642,3.1,,100.0,98.9,8.1,0.7,10,19,7123.0,0.2,1,0,7535,64212,48540,4.8,15,99.1,3.1,1.0
Nalanda,76948,56.6,36710,41.6,43980,1659.0,48112,1581,8.4,59.8,99.5,98.8,13.6,8.5,118,206,4138.0,0.0,0,0,11962,44453,41753,3.0,4,99.4,0.3,0.0
Nawada,61832,68.7,25212,53.6,32838,,32838,187,0.6,,97.5,98.4,6.8,0.8,424,3843,,0.0,0,0,7761,36711,32386,10.6,4,98.8,0.6,0.2
Patna,163322,72.4,32446,18.9,64109,113.0,66348,4547,7.0,4.1,99.1,98.6,11.5,8.0,60,6521,25280.0,0.0,0,2,13898,83941,64710,12.0,4,98.6,0.5,2.1
Purnia,123771,48.9,35829,62.4,77549,72.0,78099,679,0.9,0.0,101.8,98.5,11.9,2.9,620,9496,1513.0,0.0,1,0,11524,81720,67394,2.2,3,95.1,4.7,0.3
Rohtas,73367,77.3,16807,26.1,28769,,33268,73,1.8,11.5,88.2,98.9,9.2,1.4,1348,3773,3148.0,0.1,0,0,12418,39340,30302,1.9,0,99.6,0.4,0.8
Saharsa,62546,60.4,20200,15.9,39308,0.0,39308,326,0.8,,99.3,98.5,15.2,3.4,0,1309,3165.0,7.2,0,0,3076,43764,39162,1.9,0,96.7,0.4,0.1
Samastipur,127535,75.0,32753,7.6,94554,,94554,367,0.4,,99.3,99.0,8.8,3.4,0,4384,833.0,0.0,0,0,13898,99631,94596,1.1,6,99.6,1.4,0.2
Saran,99771,48.2,17240,23.2,52952,0.0,52952,512,1.0,,98.4,99.0,8.4,1.7,24,3238,7302.0,0.1,0,0,7300,57222,49284,23.8,3,95.6,2.7,0.3
Sheikhpura,20360,61.7,7997,26.5,13861,0.0,14514,39,0.9,13.9,95.7,98.8,10.3,1.2,0,1432,10.0,0.0,0,0,1864,13431,12642,8.9,0,98.9,0.3,0.0
Sheohar,20670,67.1,680,16.7,10669,,10669,3,0.0,,99.7,98.5,8.3,2.9,0,4066,,2.3,0,0,1728,17518,10486,1.9,0,88.3,1.1,0.0
Sitamarhi,109703,77.3,28271,90.7,48657,,48657,68,0.1,,99.0,98.7,7.3,2.0,2,9896,231.0,0.0,0,0,7926,58976,43837,1.2,0,97.8,1.2,0.5
Siwan,101540,67.7,29422,25.0,41949,,42002,991,2.4,0.0,99.3,99.0,6.5,1.7,106,12474,7988.0,0.0,0,1,28212,54820,40837,14.1,0,99.2,0.5,0.0
Supaul,68706,56.5,39884,6.5,48121,0.0,48121,334,0.7,,99.3,98.7,10.4,0.5,307,4126,170.0,0.0,0,0,4960,46864,44250,0.5,1,91.4,0.5,0.2
Vaishali,99490,61.2,32443,19.4,61362,2050.0,64592,1750,4.5,36.5,99.5,99.0,6.1,4.3,0,31382,2066.0,0.0,0,0,8121,65263,59148,7.7,4,99.0,1.1,0.1
West Champaran,137163,56.0,11831,4.5,69875,,69875,269,0.4,,99.1,98.9,4.2,0.2,0,5928,12989.0,0.0,1,0,4817,84874,63010,1.3,1,95.3,0.4,0.0
