Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,TT Booster given to Pregnant women (numbers),% Pregnant Woman received 4 ANC check ups to Total ANC Registrations,% Pregnant women given 180 IFA to Total ANC Registration,Number of Pregnant Women having severe anaemia (Hb<7) treated at institution,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),% SBA attended home deliveries to Total Reported Home Deliveries,Deliveries Conducted at Private Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),% Pregnant women given 360 Calcium to Total ANC Registration,% Pregnant women tested positive for GDM to Total ANC Registration,Number of pregnant women tested for Syphilis,Total Number of MTPs ( Public) conducted,% MTPs to total Abortions,% MTPs up to 12 weeks of Pregnancy to Total MTPs at Public Institutions,% Post Partum Sterlisations to Total Female Sterilisations,% Post Abortion Sterlisations to Total Female Sterilisations,Total cases of deaths following Male Sterlisation,Total cases of deaths following Female Sterlisation,Total cases of failure following Female Sterlisation,Total cases of complication following Male Sterlisation,IUCD insertions done (pvt. facilities),% PP IUCD Insertions (public) to Total IUCD Insertions (public),% PP IUCD Insertions (public) to Total Institutional Deliveries (public),Total PAIUCD insertions done,Emergency pills distributed,Number of beneficiaries given 3rd dose of Injectable (Antara Program),Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Bihar,3394623,2346394,1183992,69.8,77.9,25314,40.0,64167,271703,19.1,218465,99939.0,1871740,2207610,30282,18634.0,23110,1982083,1960534,917,55.9,0.1,314293,3582,72.0,91.7,7.4,0.4,0,4,5,113,10985.0,49.5,11.1,824,307490,54043,2768372,99.6,258,16766,1517596,2601377,522918,76.0,75.4,29.1,28.8,44.2,41.8,0.4,0.5,3976101,4016739,66300825,65139485,10408473,11378638,76709298,76518123,5.2,5.2,259008,272443,1089483,1117317,19.2,19.6,26914,30537,10.4,11.2,13.6,14.9,1827737,1868320,2.4,2.4,2.8,3.0,1.8,1.9,16.9,15.4,1.1,1.6,1.3,1.7,0.7,1.8,0.2,0.2,8913,10625,4.9,4.3,11.5,12.7,3.8,4.2,0.5,0.8,2.0,1.7,0.2,0.1,107467.0,104308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araria,116693,61618,44831,74.6,88.9,1109,62.8,264,14291,1.8,0,0.0,59916,74471,673,0.0,862,72649,72179,953,80.3,0.1,1152,0,0.0,,7.0,0.0,0,0,0,0,0.0,56.0,9.1,0,8028,2210,84217,100.0,0,14,41926,84380,11410,90.2,87.5,7.9,12.7,36.3,32.7,0.2,0.1,71279,73538,1387391,1335223,243095,225045,1630486,1560268,4.4,4.7,8752,6053,20552,13086,29.9,31.6,1613,1577,18.4,26.1,14.9,14.4,41905,44012,2.6,2.8,1.5,1.3,0.5,0.7,8.9,10.9,0.4,0.3,0.5,0.5,0.1,0.2,0.0,0.0,223,72,6.7,1.4,3.6,1.4,1.8,4.2,0.0,2.8,1.8,4.2,0.0,0.0,10146.0,9272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arwal,16543,12062,7145,65.9,78.6,37,58.7,281,932,23.2,5,,10330,11543,65,5.0,116,11115,11243,944,76.8,0.0,418,25,47.2,100.0,11.5,0.0,0,0,0,0,,43.2,5.3,2,2802,354,17259,100.0,0,120,9405,16138,5129,85.1,85.5,14.1,14.9,,,0.0,0.0,19822,19420,382551,367425,121696,160250,504247,527675,3.9,3.7,1778,2078,3383,3701,34.5,36.0,0,0,0.0,0.0,24.1,30.4,10367,6807,2.1,1.3,0.6,7.4,1.3,1.2,17.7,22.1,0.3,0.1,0.7,0.4,2.7,0.0,0.0,0.0,188,184,2.1,1.1,0.0,0.0,2.1,0.0,0.5,0.5,0.5,1.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurangabad,86276,64597,28510,66.8,88.2,1214,71.8,7921,3777,67.7,725,392.0,35568,47266,309,369.0,419,46559,45870,928,86.7,0.0,12479,79,57.2,97.5,8.2,0.5,0,0,0,0,0.0,46.1,23.7,13,8844,1179,68342,99.9,0,63,33412,61989,11617,78.6,77.1,25.7,29.0,51.7,47.8,0.0,0.1,89660,88800,1881110,1805753,444399,458148,2325509,2263901,3.9,3.9,7676,8516,34570,21655,18.2,28.2,3749,44,48.8,0.5,19.1,20.2,109656,102093,4.7,4.5,1.4,2.4,0.9,1.4,13.5,11.5,0.9,1.2,0.9,1.3,0.5,6.5,0.2,0.1,119,93,1.7,0.0,5.9,18.3,0.8,1.1,0.0,0.0,5.0,0.0,0.0,0.0,2656.0,2322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banka,59813,43080,20376,75.9,77.1,1740,91.7,1933,1519,56.0,660,831.0,36657,40109,267,22.0,505,38384,38243,942,59.2,0.0,10695,504,59.0,99.2,18.0,2.1,0,0,1,0,,45.3,8.1,5,5863,720,53059,99.8,2,376,26415,48433,13910,82.6,89.3,30.5,33.2,62.5,33.3,0.0,0.0,100409,100437,1373308,1464137,168928,216407,1542236,1680544,6.5,6.0,8894,8630,18351,31902,32.6,21.3,136,419,1.5,4.9,11.0,12.9,13629,3759,0.9,0.2,1.0,0.8,0.1,5.5,30.8,21.4,0.0,0.1,0.0,1.6,0.3,0.2,0.0,1.0,493,549,3.4,2.2,16.4,19.7,19.9,17.9,0.6,0.9,2.0,1.5,0.0,0.0,5717.0,5331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begusarai,108662,85928,43602,88.5,96.9,1101,72.4,7121,6016,54.2,10199,0.0,66378,79515,221,0.0,632,72412,71087,922,93.9,0.0,822,27,39.1,96.3,2.9,0.0,0,0,0,6,155.0,70.2,18.9,0,9037,1926,85422,99.5,67,854,52204,83888,17468,88.2,86.9,16.4,15.6,29.0,30.5,0.3,0.3,65150,62532,2312277,2105456,214381,190665,2526658,2296121,2.6,2.7,823,299,2237,981,26.9,23.4,301,279,36.6,93.3,8.5,8.3,40122,31082,1.6,1.4,2.1,3.2,3.8,6.8,17.0,11.5,2.7,3.2,3.0,4.4,1.4,7.8,0.3,0.0,128,171,4.7,2.3,0.8,0.0,4.7,2.9,0.8,1.2,0.0,1.8,0.0,0.0,12512.0,11405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhagalpur,87629,51940,29684,52.2,76.6,254,17.6,1257,5824,17.8,4488,,56909,63990,2284,893.0,1001,58102,55212,940,46.0,0.1,15662,442,50.6,74.0,29.4,1.5,0,1,0,27,,73.1,11.4,50,9631,1953,75399,100.0,86,14,37955,73614,15338,73.6,74.3,22.2,25.3,44.0,42.8,2.7,1.5,131894,132281,1724560,1767766,295968,321429,2020528,2089195,6.5,6.3,15783,15893,38233,35174,29.2,31.1,743,1201,4.7,7.6,14.6,15.4,40394,66018,2.0,3.2,3.0,2.0,2.2,3.0,18.0,17.6,1.1,0.9,1.6,1.6,0.1,0.1,0.1,0.1,1625,1673,3.7,3.7,12.1,10.2,6.0,5.9,1.2,1.7,3.8,2.9,0.2,0.1,5867.0,6518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhojpur,60652,46016,23263,79.0,76.2,279,27.1,397,3575,10.0,6412,,45056,49028,1372,1515.0,507,40489,40392,857,30.1,0.0,4664,39,92.2,66.7,3.8,0.1,0,0,0,0,336.0,34.2,8.3,37,6193,996,60867,100.0,0,0,31927,53754,4272,66.5,53.7,11.8,11.8,37.5,50.0,0.1,0.1,91635,114852,1677861,1546498,118945,149806,1796806,1696304,5.1,6.8,4738,3800,72354,68675,6.1,5.2,486,238,10.3,6.3,6.6,8.8,69702,69096,3.9,4.1,2.4,3.1,1.6,1.4,31.9,16.0,0.5,1.4,0.9,1.4,0.1,8.9,0.4,0.0,237,122,9.7,14.8,7.2,7.4,0.8,4.9,0.0,0.0,4.2,1.6,0.0,0.0,3437.0,3199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxar,47977,34414,17128,81.5,85.6,154,7.4,910,1451,38.5,39,39.0,21540,23901,205,,252,22563,23310,915,27.2,0.3,3061,71,90.4,100.0,6.8,0.3,0,0,0,0,118.0,55.1,11.6,48,4186,817,40789,100.0,2,0,22606,37829,6757,90.1,92.1,14.9,15.4,70.8,48.1,0.1,0.2,36072,34514,653789,625939,141044,170000,794833,795939,4.5,4.3,3692,3162,7958,8414,31.7,27.3,150,3,4.1,0.1,17.7,21.4,4559,4864,0.6,0.6,2.7,5.8,1.7,1.4,17.8,14.3,0.6,0.5,1.0,0.8,0.0,0.0,0.0,0.0,177,224,8.5,6.7,16.9,11.6,2.3,1.3,4.0,0.4,5.1,2.2,1.1,0.0,3662.0,3212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darbhanga,142486,83423,42988,54.8,83.9,603,31.4,1658,14775,10.1,9952,4475.0,65807,82240,2768,978.0,1036,77749,78169,888,54.9,1.0,18373,0,0.0,,0.0,0.0,0,0,0,0,0.0,64.7,12.2,50,9107,2424,101652,100.0,0,63,53652,95674,24513,74.0,74.5,32.9,32.7,100.0,,0.0,0.0,154817,159491,3271502,3147745,507404,539342,3778906,3687087,4.1,4.3,8405,5840,33403,29985,20.1,16.3,326,1,3.9,0.0,13.4,14.6,37074,58844,1.0,1.6,1.4,1.7,1.6,0.6,14.9,10.2,0.3,1.6,0.9,1.2,1.4,0.1,0.0,0.0,51,47,3.9,2.1,2.0,0.0,7.8,6.4,0.0,0.0,3.9,4.3,0.0,0.0,5290.0,5185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
