Indicator,Total number of pregnant women Registered for ANC,% 1st Trimester registration to Total ANC Registrations,Number of Pregnant Women having Hb level<11 (tested cases),% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Number of C-section deliveries conducted at public facilities,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries,% C-sections conducted at Private facilities to Deliveries conducted at private facilities,% Live Births to Total Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries,Number of PW tested positive for GDM,Number of pregnant women tested for Syphilis,Total Sterlisation (Tubectomies and Vasectomies) conducted at Private institutions,% Laparoscopic sterlisations to Total Female Sterilisations,Total cases of deaths following Sterlisation ( Male + Female),Total cases of failure following Female Sterlisation,Total Interval IUCD Insertions done,Number of Infants given OPV 0 (Birth Dose),Number of Infants given Hep- B0 (birth dose),% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Deaths),% immunisation Sessions Held to Immunisation Sessions Planned,% Female HIV Positive to Total Females Tested,% Plasmodium Vivax test positive to Total Blood Smears Examined
_Chhattisgarh,634235,89.5,556966,58.9,369853,2583.0,479948,19374,15.7,50.8,98.7,98.1,10.1,15.7,1281,163204,15217.0,20.4,0,12,95494,427856,292953,117.2,0,98.9,0.7,0.8
Balod,13765,91.6,17678,45.5,7462,0.0,10366,1,10.6,37.7,98.7,98.0,18.7,1.0,41,6586,600.0,0.0,0,0,2709,10717,7826,116.7,0,99.3,0.4,0.2
Baloda Bazar,29272,78.3,21589,42.0,18720,923.0,22675,3,9.7,55.3,99.7,98.5,9.7,16.6,87,6094,491.0,0.3,0,0,3168,20204,9807,127.8,0,100.5,0.7,0.2
Balrampur,22570,95.5,22684,44.3,16713,,16713,0,0.0,,98.8,98.0,6.7,0.7,0,2902,,100.0,0,0,2198,8049,4629,96.5,0,99.1,0.1,2.0
Bastar,22409,93.5,14803,70.4,15551,0.0,16856,736,8.0,46.4,97.6,96.8,9.6,5.9,114,2629,111.0,69.3,0,0,4592,15336,9903,141.7,0,98.3,1.1,0.6
Bemetra,17705,81.5,19787,31.1,12391,,12391,20,0.2,,99.1,98.6,9.5,4.8,1,3247,,0.0,0,0,1976,11921,7950,132.7,0,99.5,0.9,0.0
Bijapur,8136,83.0,8514,30.2,4806,0.0,4812,199,4.1,0.0,98.5,98.0,18.2,12.0,9,835,0.0,73.6,0,0,898,4192,3269,117.8,0,86.1,0.2,2.1
Bilaspur,60072,90.5,29895,68.8,27608,105.0,45372,2827,31.2,63.9,99.3,98.4,9.5,36.1,7,6296,1445.0,22.9,0,1,6185,44510,26792,107.2,0,102.7,0.3,0.3
Dantewada,8031,84.8,7579,73.7,4575,138.0,5203,131,7.8,44.1,98.2,97.1,18.9,8.7,0,2885,48.0,15.5,0,0,1448,5675,4194,162.3,0,98.5,0.2,3.3
Dhamtari,16403,95.3,13938,74.8,7974,0.0,14759,314,26.0,52.0,98.4,98.1,10.1,17.5,15,6587,1286.0,0.1,0,0,2915,15163,10240,130.1,0,100.2,0.2,1.7
Durg,38184,85.2,28129,29.2,15990,0.0,32292,1237,31.7,55.1,99.1,99.4,10.9,23.2,223,15522,1914.0,26.4,0,11,4010,25714,22359,78.7,0,100.0,1.4,0.4
Gariyaband,14979,96.6,22237,58.7,7808,186.0,8447,0,5.5,72.6,99.1,97.3,8.7,2.5,11,4017,163.0,86.7,0,0,2128,9062,7750,144.6,0,99.3,0.3,0.3
Janjgir Champa,35789,93.6,48296,57.8,21270,6.0,27103,480,9.4,35.4,98.7,98.5,8.8,16.7,105,4935,1236.0,26.9,0,0,6264,19165,12459,104.1,0,98.5,5.1,0.2
Jashpur,20916,94.9,22908,81.4,12396,1049.0,15698,27,8.4,39.3,97.9,97.5,12.9,9.6,8,4428,60.0,93.3,0,0,3924,11316,7627,125.3,0,98.8,0.1,0.6
Kanker,14746,96.4,14123,61.1,10211,74.0,10951,181,6.4,70.7,98.3,97.7,10.3,5.4,31,7638,300.0,0.0,0,0,3720,11703,9305,146.4,0,99.7,0.2,0.3
Kawardha,19734,91.6,24914,53.2,14709,0.0,16914,30,7.2,53.6,97.9,97.9,12.2,5.9,0,7452,503.0,0.0,0,0,2131,13520,6167,129.1,0,99.3,0.6,0.3
Kondagaon,15117,87.4,15288,54.5,9884,38.0,10912,20,2.0,18.8,97.8,96.3,14.8,3.8,12,1110,0.0,0.0,0,0,2923,8317,5024,138.1,0,96.4,0.4,0.7
Korba,31484,96.0,31354,90.8,17028,0.0,24241,547,11.3,30.5,99.1,98.8,3.9,13.5,167,11703,916.0,0.0,0,0,9935,22314,15239,106.5,0,99.2,0.4,2.1
Koriya,15194,85.5,15441,82.3,10261,0.0,11889,247,11.2,66.4,97.1,97.4,11.3,1.3,3,7227,4.0,15.3,0,0,1475,8178,7058,130.3,0,98.7,0.4,1.2
Mahasamund,20594,94.3,17146,52.3,13302,15.0,17650,306,12.6,44.3,99.3,97.9,6.7,21.5,1,5129,1096.0,13.1,0,0,3496,15847,11880,117.3,0,99.9,0.7,0.1
Mungeli,22315,93.2,16771,98.5,12098,0.0,13232,10,5.3,60.4,99.3,98.6,5.5,3.1,0,4297,377.0,0.0,0,0,3385,13698,7554,137.1,0,99.9,0.2,0.2
Narayanpur,3829,81.1,3755,92.2,1883,0.0,2332,79,7.1,19.4,98.2,97.6,10.2,4.0,148,1143,2.0,0.0,0,0,478,1917,1869,136.5,0,99.2,0.5,2.2
