Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,TT Booster given to Pregnant women (numbers),% Pregnant Woman received 4 ANC check ups to Total ANC Registrations,% Pregnant women given 180 IFA to Total ANC Registration,Number of Pregnant Women having severe anaemia (Hb<7) treated at institution,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),% SBA attended home deliveries to Total Reported Home Deliveries,Deliveries Conducted at Private Institutions,Number of Women Discharged under 48 hours of delivery in private institutions,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),% Pregnant women given 360 Calcium to Total ANC Registration,% Pregnant women tested positive for GDM to Total ANC Registration,Number of pregnant women tested for Syphilis,Total Number of MTPs ( Public) conducted,% MTPs to total Abortions,% MTPs up to 12 weeks of Pregnancy to Total MTPs at Public Institutions,% Post Partum Sterlisations to Total Female Sterilisations,% Post Abortion Sterlisations to Total Female Sterilisations,Total cases of deaths following Male Sterlisation,Total cases of deaths following Female Sterlisation,Total cases of failure following Female Sterlisation,Total cases of complication following Male Sterlisation,IUCD insertions done (pvt. facilities),% PP IUCD Insertions (public) to Total IUCD Insertions (public),% PP IUCD Insertions (public) to Total Institutional Deliveries (public),Total PAIUCD insertions done,Emergency pills distributed,Number of beneficiaries given 3rd dose of Injectable (Antara Program),Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Chhattisgarh,646957,582836,128498,93.8,97.8,15005,89.3,3396,4893,41.0,112811.0,3390.0,477003,485292,21632,51277.0,9602,476287,467479,964,72.0,0.3,242230,10038,33.2,92.9,14.3,1.6,0,1,0,145,686.0,41.2,17.7,3742,18088,2119,586951,99.7,139,6388,134709,518317,337508,61.9,62.9,19.5,20.4,43.8,41.9,0.9,0.7,1616522,1482676,24574718,20313266,1260420,1125463,25835138,21438729,6.3,6.9,34579,36943,106077,96409,24.6,27.7,3862,5075,11.2,13.7,4.9,5.2,613945,413572,2.4,1.9,2.6,3.1,0.8,0.9,29.8,25.4,0.4,0.5,0.6,0.7,0.6,0.6,1.4,1.8,7938,7184,5.9,6.1,10.7,9.6,7.1,7.4,0.4,0.5,1.1,1.1,0.1,0.1,73620.0,74167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balod,13223,12336,1189,88.6,97.5,82,88.2,30,15,66.7,2736.0,0.0,9661,9706,138,1059.0,193,9640,9510,956,71.3,0.0,7960,400,49.0,98.8,15.7,1.3,0,0,0,0,0.0,34.3,18.0,138,495,137,12815,100.0,7,3,3821,11718,8037,63.0,63.9,11.5,14.1,39.4,39.7,0.2,0.3,54970,43783,967739,757219,15894,11910,983633,769129,5.6,5.7,1048,1122,1458,1360,41.8,45.2,189,175,18.0,15.6,1.6,1.5,21321,14054,2.2,1.8,1.1,2.0,0.5,0.6,35.9,19.4,0.3,0.6,0.4,0.6,0.1,0.1,0.1,0.1,189,227,5.3,3.1,10.6,9.3,3.7,1.8,1.1,0.4,0.5,0.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baloda Bazar,29963,26607,5358,89.6,98.3,344,85.1,25,227,9.9,3674.0,67.0,23317,23569,44,2240.0,402,23277,23183,967,84.7,0.4,10269,376,29.6,94.4,7.3,0.9,0,0,0,2,0.0,44.5,15.3,232,735,103,29071,100.0,2,146,6871,26040,16614,71.0,74.7,14.0,11.7,51.2,43.3,0.7,0.6,49598,39799,962939,702996,10688,8218,973627,711214,5.1,5.6,2899,3132,1641,1084,63.9,74.3,304,595,10.5,19.0,1.1,1.2,27475,16721,2.8,2.4,1.8,2.2,0.6,1.7,44.6,38.7,0.2,0.3,0.3,0.8,0.0,0.1,0.0,0.1,261,229,0.8,5.7,2.7,2.6,5.0,7.4,0.0,0.0,1.9,0.9,0.0,0.9,2368.0,2639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balrampur,24119,20535,7393,85.5,90.9,136,70.1,39,59,39.8,,,17079,17177,23,,362,16886,16663,967,80.6,0.0,3603,316,28.2,98.7,1.5,0.2,0,0,0,23,,35.8,11.3,184,1392,90,20053,99.6,0,320,9010,19288,8637,68.4,70.4,21.9,20.8,55.1,45.1,0.3,0.3,43491,39277,636387,584280,57206,64986,693593,649266,6.3,6.0,174,38,4478,2933,3.7,1.3,4,0,2.3,0.0,8.2,10.0,21955,14008,3.2,2.2,0.9,1.7,0.2,0.0,22.6,15.2,0.1,0.0,0.1,0.0,0.7,0.9,0.4,1.4,159,89,1.9,1.1,3.1,5.6,1.3,0.0,0.6,0.0,1.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastar,20352,16036,4746,94.5,97.6,515,90.0,221,184,54.6,1796.0,3.0,18363,18768,1075,721.0,546,18268,17985,956,70.3,0.7,4241,281,37.3,93.6,22.6,4.3,0,0,0,0,18.0,41.4,12.8,104,1161,69,18214,100.0,0,50,4621,16453,7161,61.2,55.1,23.9,21.0,48.5,41.2,0.8,0.6,82175,65512,974111,748181,86153,85021,1060264,833202,7.8,7.9,3440,2179,3355,2136,50.6,50.5,21,86,0.6,3.9,8.1,10.2,22478,14468,2.1,1.7,6.9,4.4,2.5,1.2,40.3,25.0,0.4,1.0,1.5,1.1,0.3,0.4,2.2,3.5,602,388,17.9,7.7,14.1,10.8,9.3,11.3,0.2,0.3,1.0,0.5,0.0,0.0,1986.0,1922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemetra,17066,14531,2504,100.1,97.2,213,89.9,43,160,21.2,344.0,3.0,11755,11958,48,317.0,210,11798,11589,955,61.5,0.1,7216,199,26.9,99.0,3.7,0.8,0,0,0,1,11.0,42.0,12.0,53,267,73,16221,100.0,3,0,3974,15630,10944,79.7,79.6,5.9,4.8,37.5,40.7,0.2,0.1,21938,24196,547429,461436,2025,893,549454,462329,4.0,5.2,30,87,467,645,6.0,11.9,20,13,66.7,14.9,0.4,0.2,15563,14443,2.8,3.1,0.7,0.9,1.4,1.7,13.0,14.7,0.7,0.6,1.0,1.1,0.0,0.0,0.0,0.0,173,92,5.8,6.5,7.5,5.4,4.6,8.7,4.0,1.1,2.3,1.1,0.0,0.0,344.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijapur,8051,6942,1364,84.8,93.7,428,84.8,180,970,15.7,,,4742,5892,193,,114,5638,5573,980,93.1,0.1,356,88,21.6,86.4,0.0,30.7,0,0,0,0,,31.4,9.1,17,444,32,6025,99.9,5,74,3140,5492,2198,58.0,58.1,37.1,37.4,52.9,71.6,1.1,0.8,36487,32275,427361,359609,51677,52540,479038,412149,7.6,7.8,874,977,863,910,50.3,51.8,22,21,2.5,2.1,10.8,12.7,7005,4179,1.5,1.0,8.9,6.8,0.1,0.1,54.0,45.0,0.1,0.1,0.1,0.1,1.3,1.2,10.1,8.1,212,185,4.2,3.2,6.1,9.7,16.0,16.8,0.9,0.0,0.9,1.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilaspur,65244,53616,21838,89.9,94.4,668,88.5,558,206,73.0,18278.0,93.0,45985,46749,2919,4138.0,591,46323,45621,957,69.8,0.0,12565,693,26.4,83.5,27.1,5.8,0,0,0,10,198.0,37.7,12.3,354,540,117,61128,98.8,1,1921,4991,53546,38619,71.7,73.3,16.4,19.5,34.6,35.4,0.3,0.5,57553,53380,1124517,1019544,39444,43424,1163961,1062968,4.9,5.0,449,274,1971,2396,18.6,10.3,46,42,10.2,15.3,3.4,4.1,35548,26144,3.1,2.5,1.8,1.9,1.1,1.3,18.5,19.9,0.3,0.5,0.7,0.9,0.2,0.4,0.2,0.3,277,390,3.6,8.7,2.5,11.5,8.7,6.7,0.0,0.0,1.8,3.1,0.7,0.0,2009.0,957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dantewada,8059,7610,2251,100.5,99.7,367,93.4,183,412,30.8,708.0,0.0,5589,6184,266,322.0,200,6043,5954,1011,89.4,3.0,2441,298,39.2,93.6,52.7,11.7,0,0,0,0,4.0,31.9,15.2,41,266,32,6823,100.0,0,87,3725,6309,2186,56.3,56.3,33.3,34.2,40.4,45.0,0.1,0.2,72406,59976,723308,675359,33763,26233,757071,701592,9.6,8.5,1715,1547,1559,1762,52.4,46.8,622,387,36.3,25.0,4.5,3.7,15984,17284,2.1,2.5,18.0,13.6,0.4,0.5,39.6,40.0,0.2,0.5,0.2,0.5,2.0,3.1,10.3,9.8,308,211,1.0,2.4,5.8,13.3,7.8,9.0,0.6,0.5,1.3,3.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhamtari,15053,14205,4085,93.7,97.3,144,100.0,9,1,90.0,7082.0,27.0,14465,14475,321,3825.0,279,14290,13390,975,85.4,0.1,5864,309,27.8,95.1,18.9,0.7,0,0,0,0,34.0,37.5,22.4,124,0,164,16059,100.0,5,0,4509,13187,8872,58.6,59.3,16.1,18.1,39.1,38.7,0.8,0.7,59498,60295,1086767,904762,25604,27680,1112371,932442,5.3,6.5,3862,4863,9679,11711,28.5,29.3,793,661,20.5,13.6,2.3,3.0,21510,15114,1.9,1.6,2.1,3.6,0.4,0.7,40.3,39.8,0.3,0.2,0.4,0.4,0.1,0.3,0.2,0.4,207,202,4.3,6.9,6.8,7.9,6.8,7.4,0.0,0.5,1.0,1.5,0.0,0.5,6297.0,6268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
