Indicator,Total number of pregnant women Registered for ANC,Unnamed: 2,Unnamed: 3,Unnamed: 4,TT2 given to Pregnant women (numbers),TT Booster given to Pregnant women (numbers),Unnamed: 7,% Pregnant women received TT2+ TT Booster to Total ANC Registration,Unnamed: 9,Number of Pregnant women given 180 IFA tablets,% Pregnant women given 180 IFA to Total ANC Registration,Unnamed: 12,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,% Deliveries conducted at Public Institutions to Total Institutional Deliveries,Unnamed: 24,% Women getting 1st post partum check-up within 48 hours of home delivery to Total Reported Home Deliveries,Unnamed: 26,Unnamed: 27,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended,Unnamed: 29,Unnamed: 30,% Pregnant women tested positive for GDM to Total ANC Registration,Unnamed: 32,% Pregnant women tested for Syphilis to Total ANC Registration,Unnamed: 34,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis,Total no. maternal deaths,Unnamed: 37,Unnamed: 38,Unnamed: 39,Total Sterlisation (Tubectomies and Vasectomies) conducted at Public institutions,% Laparoscopic sterlisations at Public Institutions to Total Laparoscopic Sterilisations,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Andhra Pradesh,803046,858326,697451,81.3,731886,71701,59293,100.1,100.9,802552,99.9,97.6,90.5,1.8,1552,2884,18.7,420611,11.1,742638,86.5,42.0,41.6,595971,104.8,216.2,4.7,56.6,313799,36.6,0.1,0.2,53.2,43.1,12.3,392,160,24.4,69104,112275,53.4,24925,30955,708359,747892,59.8,60.3,16.1,16.0,39.7,44.4,1.2,1.4,3612332,3459643,76695602,76458027,2570537,2657570,79266139,79115597,4.6,4.4,160271,162416,1283642,1177101,11.1,12.1,25979,25038,16.2,15.4,3.2,3.4,1327872,1321536,1.7,1.7,4.0,3.7,2.0,2.0,63.8,62.5,1.7,1.8,1.8,1.9,0.1,0.1,0.0,0.1,9325,8902,12.3,11.5,19.6,16.5,4.4,3.7,0.2,0.2,1.2,1.3,0.2,0.4,474086,460949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anantapur,70871,78452,65194,83.1,66309,4918,4293,100.5,98.5,71181,100.4,91.5,304.4,2.3,98,131,19.9,42529,0.0,68396,87.2,31.4,33.0,42149,100.0,523.0,4.3,109.1,31356,40.0,0.0,0.1,87.7,79.9,0.8,21,16,34.0,5457,7116,50.9,5908,7317,57061,61673,61.1,61.5,14.6,15.2,41.9,40.1,0.4,0.6,393374,387680,8170926,7869346,322489,274587,8493415,8143933,4.6,4.8,8932,8214,86148,74205,9.4,10.0,1122,704,12.6,8.6,3.8,3.4,116984,123736,1.4,1.5,3.3,3.8,2.2,1.3,54.2,55.2,1.4,0.9,1.8,1.1,0.0,0.0,0.0,0.0,1052,933,9.5,10.9,16.3,21.3,3.1,2.5,0.0,0.5,0.4,0.2,0.2,0.0,54253,48331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittoor,69256,75916,63528,83.7,65955,3101,1914,99.7,95.0,69344,100.1,96.5,26.6,3.3,18,15,9.2,23685,44.9,57154,75.3,49.2,51.6,30768,96.4,3071.4,8.6,44.6,39158,51.6,0.3,0.1,72.0,35.5,6.9,17,16,9.1,4345,12194,75.1,0,6806,61671,63062,59.7,60.2,15.5,20.2,36.3,37.7,1.0,0.8,372054,412284,8003295,7709899,386169,400535,8389464,8110434,4.4,5.1,15438,12982,198675,191610,7.2,6.3,1065,1880,6.9,14.5,4.6,4.9,205129,190404,2.4,2.3,4.2,1.4,1.5,2.0,68.5,55.3,1.3,2.0,1.4,2.0,0.8,0.0,0.0,0.1,967,628,24.9,16.6,14.9,21.5,3.9,6.5,0.5,0.2,3.5,2.2,0.1,1.8,5296,4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuddapah,52324,56686,49336,87.0,50324,1988,1211,100.0,103.0,52324,100.0,103.1,30.0,0.4,43,64,19.8,30407,21.6,47293,83.4,40.1,37.1,35255,0.0,314.0,0.3,220.5,8934,15.8,0.6,0.0,17.0,24.3,0.0,23,0,9.1,868,4744,14.9,1613,1305,46394,48182,57.4,57.3,14.6,13.5,38.7,33.8,0.3,0.7,273815,256443,5430289,5539051,300594,332203,5730883,5871254,4.8,4.4,12631,10640,51659,41608,19.6,20.4,4154,3617,32.9,34.0,5.2,5.7,94819,109415,1.7,1.9,12.0,11.0,0.9,1.0,75.4,79.4,0.7,0.7,0.8,0.9,0.2,0.2,0.0,0.0,998,447,9.1,11.4,58.9,12.5,1.0,4.5,0.2,0.0,0.0,0.2,0.0,0.0,32191,33562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Godavari,76731,85432,73364,85.9,74865,1869,2069,100.0,99.5,75932,99.0,100.5,29.1,0.7,10,210,23.9,36101,0.0,72192,84.5,69.5,50.5,103734,100.0,84.0,5.8,24.0,24201,28.3,0.1,0.0,62.9,41.1,50.0,41,0,27.3,8334,13185,,2925,5684,68117,69581,59.5,60.8,16.0,16.4,38.0,43.2,2.1,2.7,369426,327813,7968090,7886123,88251,78184,8056341,7964307,4.6,4.1,15407,14101,157358,124965,8.9,10.1,739,363,4.8,2.6,1.1,1.0,156478,141525,1.9,1.8,2.1,2.1,2.6,2.8,59.8,54.0,2.4,2.5,2.5,2.6,0.0,0.4,0.1,0.3,1009,1245,10.9,8.4,13.8,22.1,8.2,4.3,0.2,0.2,1.3,3.3,0.2,0.0,41288,42415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guntur,76684,78586,58485,74.4,72629,3434,2696,99.2,120.5,76281,99.5,118.1,38.1,2.0,15,29,25.7,52730,0.0,76703,97.6,0.0,31.0,60831,103.0,631.1,0.2,2091.4,18498,23.5,0.0,0.1,31.5,26.5,15.5,44,5,52.9,5723,9894,100.0,4064,1586,66948,72484,60.8,61.6,18.8,18.1,44.5,42.8,2.4,2.2,285878,274981,6053270,5997223,167905,149872,6221175,6147095,4.6,4.5,14019,14632,130083,112257,9.7,11.5,5705,6342,40.7,43.3,2.7,2.4,127913,136739,2.1,2.2,2.5,4.4,2.3,2.3,75.0,75.5,1.9,2.2,2.1,2.2,0.1,0.1,0.0,0.0,767,1175,17.6,15.6,3.0,11.4,8.0,3.1,0.0,0.3,0.9,0.3,0.0,0.0,56102,60715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna,69544,73172,58885,80.5,69267,1774,2611,102.2,99.2,68699,98.8,97.3,75.4,2.5,2,7,16.7,45804,0.0,65194,89.1,55.2,29.3,12366,33.3,277.8,2.3,52.4,41229,56.3,0.4,0.3,34.1,36.0,36.4,38,26,14.5,8188,9486,100.0,0,759,69674,75182,59.1,59.3,12.6,11.7,35.6,36.3,2.4,2.5,200920,198640,5323872,5372943,161241,181114,5485113,5554057,3.7,3.6,13298,15127,150976,108607,8.1,12.2,415,603,3.1,4.0,2.9,3.3,73079,79105,1.3,1.4,2.9,2.7,2.6,2.5,65.9,63.6,2.2,2.2,2.4,2.4,0.2,0.1,0.0,0.0,697,713,19.9,25.0,18.2,16.1,4.4,2.4,0.0,0.0,0.4,0.6,1.6,3.1,46358,48676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurnool,78965,86943,65803,75.7,55480,23348,21647,99.8,93.7,78965,100.0,101.3,136.9,2.6,121,315,32.9,34868,45.8,74923,86.2,41.3,50.9,57345,100.0,695.8,9.8,45.2,13032,15.0,0.1,1.0,50.7,35.7,0.0,61,22,22.5,8649,11252,100.0,3766,3664,63947,67357,61.4,63.0,17.1,16.3,39.2,60.4,2.1,3.2,324478,308053,6518734,6413005,338385,405386,6857119,6818391,4.7,4.5,16658,18752,59315,46720,21.9,28.6,1194,837,7.2,4.5,4.9,5.9,97789,110472,1.4,1.6,7.6,10.3,2.3,1.9,50.4,47.7,1.2,2.3,1.7,2.1,0.0,0.0,0.0,0.0,1272,1237,13.6,14.7,27.3,20.5,2.5,4.6,0.3,0.2,1.0,0.6,0.0,0.0,49005,44741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nellore,46079,49922,42418,85.0,43715,2364,1082,100.0,94.2,46856,101.7,91.5,31.1,1.9,16,38,17.2,28445,14.9,40515,81.2,45.3,30.0,39573,88.6,209.8,1.0,213.2,38819,77.8,0.0,0.0,40.0,24.7,8.8,6,1,34.2,3928,5812,100.0,196,127,39853,43585,55.5,57.8,18.0,15.3,37.3,44.2,1.0,0.8,202565,132867,3834244,3653889,104250,82747,3938494,3736636,5.1,3.6,7380,6994,54326,31116,12.0,18.4,3167,865,42.9,12.4,2.6,2.2,73102,61618,1.9,1.6,4.9,2.4,2.8,2.1,60.4,61.5,2.1,1.7,2.4,1.8,0.0,0.0,0.0,0.0,214,160,2.8,4.4,11.7,12.5,10.7,3.8,0.5,0.0,3.7,0.0,0.0,0.0,31410,32005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prakasam,54546,62544,52765,84.4,52263,3258,1560,101.8,100.5,54546,100.0,93.8,49.0,1.5,3,12,8.6,35637,0.0,50944,81.5,55.8,30.2,58227,250.0,100.0,4.5,89.7,40229,64.3,0.0,0.1,49.1,37.7,90.5,12,3,36.1,7021,6005,100.0,770,0,48329,53330,64.2,61.9,15.9,16.9,40.2,37.0,0.5,0.5,198738,197278,4618610,4855493,106066,131899,4724676,4987392,4.2,4.0,2770,6841,46921,42357,5.6,13.9,480,1345,17.3,19.7,2.2,2.6,72105,66040,1.5,1.3,3.8,7.3,2.3,2.4,74.2,73.7,1.9,1.9,2.1,2.1,0.0,0.0,0.0,0.0,220,311,3.6,0.3,6.4,7.4,2.3,2.9,0.9,0.0,1.8,0.3,0.0,0.0,36425,40216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
