Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jammu & Kashmir,353001,187315,214560,169935,177591,214376,28539,22572,4863,17709,156689,96075,164054,186626,46424,5985.0,181043,3185,13723,143820,913,12895,10485,931,17127,18058,19981,2845.0,258960,2300350,165397,211740,203450,205571,206026,195481,219888,205.0,84983,320888,92.0
Anantnag,26297,20204,15641,12998,11277,15852,3482,355,198,157,15883,11837,15883,16238,3198,,15807,606,1569,15785,938,2350,0,0,1061,1061,593,,19145,64093,15608,16430,14571,14507,14403,13667,13666,0.0,4598,24317,19.0
Badgam,13400,12091,11020,11964,7213,7363,31,259,36,223,4432,2895,4436,4695,707,,4674,20,675,4255,1013,415,0,17,380,397,1229,14.0,18072,153246,5189,5821,11975,12925,13082,12661,11747,0.0,3514,10670,
Bandipora,8082,5036,6377,4985,5224,4513,546,356,158,198,2817,2539,2817,3173,462,,3194,68,246,2973,961,158,10,9,172,181,338,,2336,33700,2260,4021,5720,5762,5574,5526,5214,0.0,910,5847,
Baramula,28653,15560,18578,14302,10566,11068,1680,580,61,519,9459,6273,9828,10408,2088,303.0,9999,121,523,8056,987,1480,229,0,447,447,1681,,24974,152341,9627,12269,15223,15829,15807,15530,15565,135.0,6580,30664,
Doda,7816,6076,3737,4390,3304,2081,220,2534,26,2508,3871,2249,3871,6405,580,,6374,68,158,2652,885,14,236,6,882,888,568,,12112,72069,3700,6725,7597,7420,7002,5968,5917,0.0,1656,15472,1.0
Ganderbal,6299,5511,4690,4380,2772,2908,416,82,6,76,2374,2066,2374,2456,306,,2445,13,12,2428,950,120,0,5,266,271,669,,6912,60917,2764,3189,4787,4961,5093,4380,2123,32.0,1539,8415,
Jammu,81971,24386,49704,15706,11152,42615,3511,694,88,606,22950,14963,22950,23644,7942,,23443,550,2504,16267,855,2329,2897,138,3339,3477,1249,,19792,302525,28129,30142,21979,21608,20751,19268,21669,0.0,9899,42320,
Kargil,2466,1414,1515,1433,1680,1297,112,179,112,67,1081,848,1081,1260,319,,2261,44,229,1584,813,170,3,2,44,46,570,,2150,8000,1938,2388,1984,1857,1910,1893,901,0.0,750,5344,7.0
Kathua,10532,4081,8599,9664,8348,5733,347,3061,9,3052,4885,3273,5195,8256,1265,258.0,8156,122,622,5965,820,417,718,132,1360,1492,888,,18437,292003,4788,10410,11889,11986,12070,11508,11431,0.0,2600,4364,2.0
Kishtwar,5743,2903,2193,4729,3001,479,16,877,0,877,3443,2458,3443,4320,573,,4329,144,197,3396,954,195,450,1,575,576,338,,3879,16323,4038,4333,3729,3854,3729,2982,2924,,1441,11988,5.0
Kulgam,8789,6887,6443,7169,10882,5575,274,595,20,575,3655,3483,3655,4250,226,,4235,44,1128,3863,953,154,21,2,134,136,361,,11093,56027,3528,5261,8322,8749,8812,8179,10926,1.0,4726,6349,
Kupwara,17093,12778,9841,9631,8658,5498,345,1052,748,304,9842,7662,9842,10894,1121,,10646,296,863,9066,966,798,76,2,629,631,2145,,16555,61114,9045,11504,15445,15418,15102,16594,16087,0.0,3639,41668,2.0
