Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jharkhand,724839,166895,474442,568193,322449,110321,3371,176135,36359,139776,326525,335408,435668,611803,5468,25684.0,615607,9241,34305,565938,921,16946,1907,8738,124212,132950,88529,13297.0,833198,4824983,333421,711661,719024,696139,676579,678029,641235,6809,21832,41859,1108.0
Bokaro,50598,11472,33065,32113,11922,3929,135,9078,2430,6648,11598,10853,24547,33625,34,324.0,33617,182,2256,31217,880,3132,0,2888,7902,10790,4031,4149.0,43123,347030,24598,45697,47170,45994,45989,45595,44311,111,97,1822,32.0
Chatra,19957,4196,11938,15400,20104,2283,159,5424,1132,4292,9980,10084,9980,15404,21,,17187,264,687,15741,866,22,0,197,3016,3213,1353,,15678,79830,9104,23754,23834,22138,20961,19679,17386,5,67,0,
Deoghar,26070,7874,16291,22263,13601,1650,27,6127,2463,3664,17637,17179,17637,23764,104,0.0,24017,385,1100,22620,934,393,155,67,7389,7456,4025,0.0,16258,104635,18046,33036,31706,29925,28720,27295,25982,45,74,480,15.0
Dhanbad,60909,17980,43817,54553,24830,3685,97,8527,2959,5568,7716,7180,36175,44702,493,6009.0,45699,71,1874,42976,860,329,142,240,8752,8992,4592,308.0,63486,213751,36395,62063,58557,56595,57910,60268,59784,210,2,459,19.0
Dumka,31198,6877,20212,23699,6438,7403,73,10667,1549,9118,13237,12789,14412,25079,109,526.0,25106,377,2069,22310,926,1185,34,184,4406,4590,2198,557.0,16332,78076,12960,29270,28760,27793,27075,28525,26531,545,2450,1295,23.0
Garhwa,29694,4227,15183,23663,2204,7950,525,5057,689,4368,18261,17846,20011,25068,44,0.0,24569,624,1307,23966,958,45,3,35,13124,13159,1452,0.0,13925,88520,14276,30353,29488,28088,26357,24974,23537,0,729,2279,58.0
Giridih,47229,10612,31900,35049,20978,7738,57,18150,4720,13430,19707,18993,27652,45802,124,1955.0,48648,463,816,34244,897,413,45,520,8785,9305,5157,128.0,24796,126898,14406,63157,60432,58326,56151,59400,57747,708,11,492,11.0
Godda,29320,8251,22212,23988,42140,3374,181,7187,1185,6002,18998,18794,18998,26185,142,,25806,543,1353,25179,932,179,28,321,5308,5629,2837,,36977,184357,7689,28245,30318,28863,26719,26185,24142,1049,615,349,2.0
Gumla,21595,3553,16965,19292,8994,8587,396,4837,743,4094,14197,13543,14974,19811,97,160.0,19484,423,1647,18951,965,1816,326,763,1972,2735,6008,441.0,45516,274136,9691,18949,20721,20522,19969,19893,18674,70,308,1130,98.0
Hazaribagh,37389,9090,19156,28564,4416,7004,227,11226,2266,8960,18856,18262,27172,38398,401,406.0,38379,483,2674,36725,923,513,56,74,8522,8596,3033,51.0,39984,343960,21112,35269,38742,36999,35248,34094,33330,202,404,506,69.0
Jamtara,15211,3408,10904,13060,9955,2125,46,6153,797,5356,8793,7825,8964,15117,9,0.0,15083,484,1334,14239,951,146,5,33,3143,3176,2040,0.0,15541,105708,6205,15090,16706,16733,16506,16031,14869,0,84,165,16.0
Khunti,11706,2200,9211,9786,4533,3547,35,4039,563,3476,5130,5119,5392,9431,25,,9479,146,396,8986,991,297,158,185,910,1095,4097,,9079,64260,7643,11050,11119,10892,10580,11154,10866,68,16,0,43.0
Kodarma,15454,2436,9772,12451,7482,1328,7,2054,822,1232,8513,8280,14124,16178,25,1947.0,16174,336,415,13626,878,144,24,55,5701,5756,1239,0.0,23733,108202,4829,18970,16795,15878,14937,13820,13228,19,0,0,25.0
Latehar,18503,4081,13193,15317,7320,2514,148,8545,1401,7144,8726,7016,8726,17271,10,,17099,252,702,16142,931,214,73,103,1890,1993,1794,,16805,104876,5211,17430,17701,17348,17214,16785,13672,0,637,159,37.0
Lohardaga,10281,1897,7132,8575,7033,3671,91,1493,157,1336,7327,7104,8746,10239,51,620.0,9851,156,1637,9649,913,223,96,227,1428,1655,1312,3.0,21094,114738,6387,10302,10283,10230,9993,10722,10588,214,118,21,14.0
Pakaur,23924,4163,12640,18042,14362,972,1,8204,955,7249,8866,8855,9158,17362,0,45.0,17211,205,925,16434,944,57,0,54,2306,2360,2651,0.0,30405,169760,9383,20488,22953,21825,20410,21452,17075,40,10,11,1.0
Palamu,41393,9953,30181,35756,16170,8976,88,10406,3350,7056,20467,23751,24291,34697,193,2545.0,34528,566,1484,28696,938,220,105,199,10622,10821,5034,8.0,30386,145396,20097,41536,42584,41500,40333,38979,36894,1,2643,1399,
Pashchimi Singhbhum,41982,10525,30469,33681,21794,5292,136,11415,3476,7939,20650,19356,20650,32065,23,,32441,522,1341,30303,942,535,96,636,2056,2692,6196,,50919,221307,12532,32872,36085,35799,35638,34438,32697,1239,118,1365,164.0
