Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1151533,907946,323811,97.2,110.7,31948,61.5,381,549,41.0,349054,15134,900003,900933,144257,145624,8883,866847,829171,938,102.3,1.1,899750,18130,53.2,80.2,23.4,1.5,0,7,68,12,40359,48.5,17.0,7833,20388,8060,1054456,98.1,552
Bagalkote,37802,30509,13949,92.7,81.4,1527,75.8,3,1,75.0,18729,0,36984,36988,3009,7750,192,36396,35764,949,82.1,0.0,15841,180,55.3,65.0,10.7,0.1,0,0,1,0,1743,38.8,10.9,41,244,92,38779,100.0,2
Bangalore Rural,14685,12784,2534,90.9,96.7,71,51.1,1,3,25.0,2687,212,8949,8953,2323,1824,41,8863,8787,901,92.5,0.7,12836,688,57.0,92.6,27.0,2.3,0,0,0,0,177,40.6,21.4,132,340,39,14717,99.2,1
Bangalore Urban,270847,166312,45926,94.4,103.8,5335,48.1,15,24,38.5,76188,3220,133033,133072,19773,23854,1415,128315,121642,903,98.8,1.4,193693,3436,70.3,89.5,23.5,5.9,0,0,0,0,19171,58.0,24.0,3161,2214,806,169630,99.5,348
Belgaum,94375,82000,34602,98.2,112.0,3186,55.8,30,7,81.1,31329,339,68054,68091,8008,12824,533,64654,63790,943,103.0,0.2,60528,822,31.2,82.5,23.7,1.2,0,2,0,0,904,58.4,20.0,172,2174,617,92582,98.8,25
Bellary,53276,48279,15141,99.3,116.7,2769,67.1,15,59,20.3,10126,726,43764,43838,7996,5949,537,43087,40537,941,108.0,1.1,46018,908,44.6,72.7,19.7,1.9,0,0,0,0,267,36.0,11.6,143,1303,209,52407,99.8,0
Bidar,33323,25134,16063,89.9,95.3,928,37.7,9,24,27.3,10585,703,30873,30906,2234,3758,234,25008,23473,945,94.5,0.5,17525,412,63.3,59.0,22.3,0.9,0,0,0,0,1243,86.3,27.1,105,494,877,33431,94.4,1
Bijapur,54338,46440,9973,84.1,90.9,1134,45.5,2,6,25.0,13696,127,42004,42012,4569,2650,344,39738,35857,934,87.3,0.6,32873,314,29.4,79.6,11.2,0.1,0,0,0,0,5095,32.1,7.5,543,743,163,53616,93.7,3
Chamrajnagar,11136,9842,759,98.4,96.7,251,89.6,6,11,35.3,1195,65,8461,8478,2160,740,79,8363,8114,1009,94.3,0.2,6541,370,71.6,72.4,18.3,0.6,0,0,0,0,73,38.6,12.4,91,22,63,10955,100.0,0
Chikkaballapur,17212,15824,1017,97.7,99.6,397,50.8,1,4,20.0,2503,1,14882,14887,5203,1784,108,14476,14648,947,99.7,0.0,19672,260,40.8,83.5,33.0,0.3,0,0,0,0,87,47.7,24.3,82,405,110,17639,100.0,5
Chikmagalur,12907,10998,1903,116.7,107.5,164,46.9,4,9,30.8,3849,1,12628,12641,3566,2797,64,12414,12329,948,94.8,0.3,8800,264,50.5,86.7,42.9,1.1,0,0,0,1,375,40.9,9.5,123,44,189,13952,98.8,2
Chitradurga,26524,22359,8172,101.4,105.5,286,64.4,7,13,35.0,4833,19,19568,19588,5873,3058,191,19400,19014,928,89.7,0.1,21534,798,51.9,92.6,30.8,0.3,0,0,0,0,59,34.5,10.8,100,613,318,26193,98.1,9
Dakshina Kannada,28345,20637,5651,109.3,109.1,242,94.5,7,6,53.8,24578,0,34558,34571,3800,8819,319,34444,31304,929,96.0,7.6,34580,657,59.4,73.7,59.2,3.5,0,0,0,0,987,43.9,13.7,162,40,40,29292,99.9,1
Davanagere,30007,24370,13851,92.8,127.2,705,51.8,7,11,38.9,6987,0,29142,29160,5803,2462,375,26782,24730,934,106.9,0.8,30209,1612,58.4,65.3,28.6,1.5,0,0,0,0,2182,70.0,16.8,196,465,274,32098,99.2,33
Dharwad,32904,27921,13337,102.4,103.0,1212,58.2,3,0,100.0,15388,395,37051,37054,6024,6975,758,36098,34975,957,99.5,2.4,23197,552,61.6,65.6,20.5,1.4,0,0,0,0,425,48.2,18.4,87,1418,299,33374,98.7,11
Gadag,19481,19145,8503,98.1,98.9,568,52.3,32,0,100.0,3803,23,16287,16319,3823,1962,232,16129,16126,950,98.4,0.1,20031,88,17.5,95.5,20.4,0.2,0,0,2,0,591,52.9,37.2,27,517,96,19528,100.0,15
Gulbarga,60197,44782,23914,103.0,126.2,2714,78.1,8,57,12.3,14259,2593,47123,47188,5313,6900,489,46624,45072,953,120.8,0.6,58671,362,52.6,74.0,11.1,0.3,0,0,0,4,569,56.5,12.3,74,1497,162,57948,98.0,9
Hassan,21986,17667,5078,109.5,127.1,363,64.6,7,34,17.1,6207,232,20429,20470,4651,4039,195,18344,18218,943,116.8,1.7,17420,719,59.0,86.5,31.9,0.8,0,0,0,2,223,58.7,21.5,452,298,106,21697,99.4,3
Haveri,27028,24430,12266,100.9,98.8,971,93.5,8,7,53.3,5124,0,19464,19479,3073,2957,186,18876,18146,947,91.0,0.1,12438,434,33.6,85.9,17.5,1.5,0,1,22,0,2006,40.6,20.7,394,516,252,28949,96.7,2
Kodagu,6882,5632,754,118.7,113.1,69,57.5,2,6,25.0,692,21,6393,6401,1274,366,73,6264,6246,922,112.0,1.3,7496,104,21.9,76.9,31.7,0.3,0,0,1,0,44,65.9,31.1,49,415,111,7054,100.0,10
Kolar,21742,18054,4685,112.7,123.4,1109,85.0,15,9,62.5,7017,1515,20580,20604,4574,4688,135,19702,18446,928,119.0,1.6,24638,537,46.3,80.1,25.6,1.0,0,0,0,0,77,40.9,25.4,90,483,181,23448,85.5,3
Koppal,29553,27005,13904,107.3,100.4,2672,84.2,17,96,15.0,4055,12,27211,27324,4327,1479,416,26825,25923,937,81.2,0.1,36806,485,46.8,53.8,13.9,0.1,0,1,26,0,234,70.8,27.7,146,806,139,30059,97.8,4
Mandya,21703,17649,3963,81.6,120.8,146,59.8,3,10,23.1,5130,29,16783,16796,3480,2651,163,16666,14642,898,85.8,1.7,13834,675,47.5,81.6,19.8,0.4,0,1,0,0,138,22.4,12.8,86,170,81,21258,99.8,13
Mysore,37947,31546,3800,99.0,112.2,468,52.7,7,0,100.0,15518,5,39396,39403,6619,9568,316,38469,37024,938,101.0,1.2,33951,581,49.1,78.5,29.0,0.3,0,0,0,0,1148,51.3,11.9,146,1986,509,36968,99.2,4
Raichur,47027,44048,23038,95.4,114.2,2240,87.2,95,35,73.1,14292,942,40646,40776,2150,3584,634,39846,39105,968,104.0,0.6,25370,259,36.5,72.2,16.0,0.1,0,0,0,1,33,47.7,12.8,628,690,744,45282,99.5,5
Ramanagar,13339,10853,3459,90.0,103.9,227,79.1,0,0,,3942,0,8418,8418,1577,1526,16,8400,8373,985,96.9,2.0,11652,418,62.8,84.0,18.9,1.9,0,0,0,0,52,29.8,20.6,44,296,93,13310,98.5,3
Shimoga,23172,19643,7506,111.6,106.5,308,80.0,12,1,92.3,5905,0,24712,24725,7722,2969,275,24147,23881,932,104.8,0.2,24969,480,43.6,80.6,41.0,0.2,0,0,13,0,271,30.0,8.3,148,337,555,24993,99.7,1
Tumkur,35194,29616,9194,86.8,96.8,611,65.2,8,28,22.2,12925,318,29731,29767,8212,9209,166,28989,27090,931,96.7,0.3,34939,576,35.2,84.0,41.3,0.5,0,0,1,0,561,26.6,16.5,184,274,310,38672,99.9,5
Udupi,14187,13971,1828,80.9,97.1,313,81.7,4,10,28.6,7642,4,13817,13831,3002,4646,66,13750,11510,960,91.6,5.5,12355,161,71.9,85.1,76.7,1.0,0,0,0,1,1194,52.3,16.9,80,185,313,13767,98.7,0
Uttara Kannada,19084,15514,5892,112.4,147.1,268,56.4,23,3,88.5,9189,980,19701,19727,3326,3447,148,19016,18145,965,117.9,2.1,17528,701,73.2,93.4,46.7,1.3,0,0,0,0,381,39.8,9.0,122,516,123,19308,99.2,16
Yadgir,35330,24982,13149,94.8,214.0,694,49.0,30,75,28.6,10681,2652,29361,29466,793,389,183,26762,26260,966,180.1,0.1,23805,277,55.3,74.4,4.8,1.4,0,2,2,3,49,59.1,7.0,25,883,189,33550,89.8,18
