Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,546531,398297,456562,462053,382187,71592,2555,1163,135.0,1028,135713,50774,482979,484142,54077,132000,484752,2252,51499,415738,960,18271,5057,2686,102347,105033,50950,8185,148445,5458158,462918,498161,532924,521566,511202,487992,466500,1232.0,168574,174726,1425
Alappuzha,25454,19652,20867,25094,15665,904,7,4,2.0,2,10528,530,20565,20569,5365,5385,20678,51,2020,17042,956,1324,772,199,5753,5952,2914,220,4546,124288,20854,21469,26679,26173,25730,25836,25666,88.0,5062,4531,90
Ernakulam,45099,37164,38084,35416,29063,3437,52,23,,23,7869,2353,38127,38150,4970,16819,38057,95,4116,34533,948,1328,239,447,9208,9655,3923,825,29027,552271,39451,40098,43278,43959,43791,42049,38727,175.0,29221,16598,137
Idukki,16689,14374,17082,14898,17813,3563,151,106,3.0,103,4045,2023,13658,13764,1703,4687,13833,59,1813,12097,947,943,491,209,3740,3949,2166,143,3801,137513,14611,14558,19680,19095,18584,14359,12964,,12946,15434,35
KOZHIKKODE,52320,40705,44772,44907,41140,4466,88,21,11.0,10,19632,4502,52006,52027,6311,10678,51857,447,6013,46346,957,1482,185,108,9779,9887,4430,362,10190,556336,48643,50873,53848,52177,51270,49098,46775,91.0,6462,3872,603
Kannur,44939,33783,32646,39374,19896,2965,324,23,7.0,16,10643,2331,40868,40891,4935,11114,41035,270,4272,27540,946,1075,87,313,8900,9213,4999,258,7653,233512,41252,42100,41686,40748,42168,40938,39668,413.0,11973,7356,80
Kasaragod,23440,16324,19287,20592,9066,1406,33,63,9.0,54,2759,263,20159,20222,641,3844,20328,31,1105,19729,942,836,105,158,2732,2890,2680,309,15202,309537,15595,20379,23637,23725,23095,22519,22318,93.0,1674,1802,76
Kollam,45156,31855,35500,29075,26236,7181,75,44,13.0,31,10433,106,34377,34421,5957,12982,34540,61,2467,34466,971,975,380,202,8691,8893,2982,432,10830,371667,34882,34883,38368,37564,36901,38071,37933,12.0,8535,4563,56
Kottayam,25882,20356,23265,23450,28274,2144,202,9,4.0,5,8469,5854,25204,25213,3707,7983,25274,159,2967,21213,961,1247,410,313,5415,5728,5401,299,6743,416661,26367,26566,29905,28846,29074,28801,27018,34.0,14419,22409,92
Malappuram,86962,59007,65133,76025,75980,19526,246,206,29.0,177,14818,21818,82656,82862,3857,16651,82885,394,8957,71017,960,3367,82,81,10967,11048,4162,2054,14163,513730,65865,83853,82726,76653,71653,64484,59603,34.0,18749,21446,59
Palakkad,45055,31071,33744,40039,19694,2101,182,224,14.0,210,7686,538,37199,37423,2451,8240,37554,97,4469,25671,947,1219,182,155,9137,9292,4835,912,3463,423355,35905,38712,45455,45659,43498,40902,39853,83.0,6537,28340,106
Pathanamthitta,14904,12066,13957,18841,18875,2713,135,19,5.0,14,3547,1327,14443,14462,1781,6029,14541,60,1687,13804,948,586,746,86,3564,3650,2174,382,4088,251347,15763,15830,18228,17807,17223,15735,14624,5.0,11998,10663,8
Thiruvananthapuram,55571,35280,61743,41885,41735,12460,456,45,7.0,38,23278,2353,43540,43585,8178,8748,43492,358,5653,41696,968,2075,921,86,12878,12964,5060,817,18624,909792,44099,44050,48689,47974,47545,46858,45803,29.0,24665,18203,18
Thrissur,49808,34956,36306,41389,23282,3264,123,20,4.0,16,5496,6658,45965,45985,2743,16804,46156,61,3589,38742,983,808,282,185,8729,8914,3909,832,18201,504791,45972,49739,46376,47107,46709,44926,43760,45.0,12474,17128,8
Wayanad,15252,11704,14176,11068,15468,5462,481,356,27.0,329,6510,118,14212,14568,1478,2036,14522,109,2371,11842,986,1006,175,144,2854,2998,1315,340,1914,153358,13659,15051,14369,14079,13961,13416,11788,130.0,3859,2381,57
