Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,504654,435004,15308,100.5,94.3,3296,52.7,166,554,23.1,339989,21770,483836,484556,57853,139843,2028,479167,444365,959,33.9,2.5,184504,2019,44.5,75.8,77.0,0.5,0,0,69,66,6652,9.6,2.3,419,9947,,463420,97.8,141
Alappuzha,24752,21653,581,105.4,129.4,31,46.3,2,11,15.4,8409,115,17117,17130,4260,5006,42,16785,16488,945,45.5,1.7,5935,275,49.0,80.7,84.3,1.0,0,0,2,5,73,11.8,2.3,24,309,,22981,97.6,11
Ernakulam,38707,32109,2385,86.2,78.9,249,53.1,10,17,37.0,33613,6,42069,42096,4308,16747,149,42155,30688,960,42.5,5.0,23467,131,46.8,92.4,78.0,1.3,0,0,3,4,820,10.8,3.2,17,262,,39777,96.8,4
Idukki,13154,11812,591,141.1,149.9,9,23.7,14,58,19.4,7433,31,11370,11442,1979,3671,52,11242,11019,963,76.9,4.2,15481,263,30.2,93.9,82.5,1.6,0,0,0,0,52,4.8,2.0,5,531,,12881,99.5,1
KOZHIKKODE,50915,45441,1381,91.6,101.6,198,77.0,6,16,27.3,31676,116,54763,54785,8456,11885,477,54263,54204,944,8.6,1.3,4595,202,63.7,66.3,84.0,0.3,0,0,6,12,417,27.8,5.1,56,1001,,42502,96.2,63
Kannur,41188,34364,391,90.0,98.0,97,82.9,6,13,31.6,33390,6810,43366,43385,4788,13757,197,43332,31267,956,18.1,0.7,10280,16,54.7,100.0,80.6,0.0,0,0,6,0,57,3.5,0.9,2,577,,38262,93.9,9
Kasaragod,25869,22556,852,101.4,130.5,69,31.9,7,16,30.4,15688,0,19908,19931,1160,3761,43,19349,18724,970,45.0,1.4,8982,30,26.3,56.7,60.7,1.9,0,0,2,6,221,3.8,1.9,0,645,,22965,97.8,1
Kollam,33898,30424,579,114.5,122.9,133,35.5,3,15,16.7,16417,101,26261,26279,4650,9359,29,26351,25859,929,52.7,4.3,19200,98,53.4,99.0,90.6,0.2,0,0,8,5,339,5.5,1.2,48,1090,,31934,98.7,5
Kottayam,20580,17605,642,114.5,120.0,346,90.6,4,8,33.3,14874,1246,23972,23984,3643,7091,142,23938,23368,955,29.0,7.0,10330,283,46.1,66.1,72.4,0.3,0,0,6,2,301,5.1,1.8,23,1297,,21360,97.7,16
Malappuram,100022,84890,2192,81.4,2.3,535,74.1,78,226,25.7,75786,10355,91344,91648,5024,23472,289,91819,89286,961,0.0,0.6,15151,4,39.8,100.0,81.9,0.2,0,0,2,3,2335,8.7,2.2,60,1205,,79157,99.5,12
Palakkad,43642,38183,1090,97.8,106.7,573,83.8,11,40,21.6,26732,1162,35338,35389,3238,9659,70,35467,29901,965,14.3,1.0,11661,166,49.6,66.3,67.9,0.2,0,0,1,5,423,4.1,1.6,23,1618,,40918,99.3,2
Pathanamthitta,12695,10598,309,169.3,175.0,44,39.3,5,18,21.7,10301,103,14753,14776,1884,6227,35,14930,14958,984,119.6,5.3,4532,69,35.9,88.4,80.8,0.7,0,0,0,17,161,27.5,6.6,28,201,,12487,97.2,0
Thiruvananthapuram,42728,36961,2408,115.7,203.1,533,42.6,0,11,0.0,23142,604,44674,44685,8527,11174,288,41520,40797,975,132.4,6.4,37480,411,52.7,61.6,62.2,0.6,0,0,29,6,418,5.0,0.5,59,330,,42712,97.4,2
Thrissur,42524,35281,1087,114.6,86.5,382,26.0,2,25,7.4,33329,1121,44233,44260,4373,14448,126,43186,42999,962,17.7,2.6,8744,38,36.7,76.3,67.7,0.1,0,0,4,0,719,2.6,0.7,65,117,,42432,99.2,15
Wayanad,13980,13127,820,94.3,48.2,97,100.0,18,80,18.4,9199,0,14668,14766,1563,3586,89,14830,14807,977,1.1,0.1,8666,33,14.3,97.0,87.2,0.7,0,0,0,1,316,18.7,3.6,9,764,,13052,97.6,0
