Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Madhya Pradesh,1900801,1166827,1533235,1510765,1926551,1011860,53194,157659,44754,112905,1105102,143593,1211816,1369475,65878,42789.0,1356355,23591,185941,1285630,926,48824,27254,5980,367604,373584,398245,5066.0,3445868,18264455,1109679,1370674,907125,1041923,1163741,1445379,1385258,5486.0,160844,274735,14140
Agar Malwa,13346,8914,11775,12483,13501,5612,211,228,1,227,10530,71,10530,10758,23,,10572,185,993,10336,955,129,165,6,3488,3494,3285,,26773,252158,10166,10911,7042,9009,10297,12331,11928,106.0,0,10,24
Alirajpur,24211,15589,19166,17844,24184,12625,635,6407,919,5488,12153,1556,12449,18856,31,90.0,18764,249,2343,18477,982,422,379,1,3646,3647,6387,,59557,88384,12276,20066,11868,13133,14303,17148,16887,108.0,1018,2609,260
Anuppur,20682,13218,15202,13801,19815,6386,509,1213,276,937,11009,754,11048,12261,179,24.0,12098,298,1269,11938,971,539,100,131,3834,3965,2194,,20659,107888,10233,14229,8887,10041,10987,13698,13345,18.0,395,1387,134
Ashok Nagar,23211,12478,16651,20135,23022,6220,364,3281,89,3192,13747,987,13747,17028,132,,16802,335,1960,16295,967,432,170,22,4130,4152,3691,,21994,138272,13447,17126,11039,12114,13614,17240,15908,20.0,1836,678,220
Balaghat,30983,21761,29257,27169,30707,18852,189,2433,204,2229,22830,2179,25714,28147,3216,1702.0,27727,622,3103,26859,933,339,85,592,9753,10345,7910,,37604,165472,23305,29652,16141,18536,21121,27683,27547,340.0,3773,5113,145
Barwani,44688,28543,36865,34521,44294,38839,1746,15075,5392,9683,23811,3189,24176,39251,1562,226.0,38683,713,4617,37897,922,1980,1360,32,8865,8897,6393,2.0,62971,263310,23974,37016,22813,26172,29350,33930,34516,0.0,4239,8255,375
Betul,32045,21496,27753,27927,31236,22084,387,5479,1458,4021,18254,999,20366,25845,317,1177.0,25526,398,3686,24671,924,1103,484,70,8406,8476,4536,62.0,91832,735972,16657,26541,17040,18999,20653,26116,27116,82.0,6388,7617,460
Bhind,39425,20731,29961,34805,39016,24107,2597,3261,77,3184,23571,909,24953,28214,120,622.0,28879,271,3135,27841,919,493,197,72,6097,6169,11912,0.0,88832,140894,25044,26445,19270,22963,25398,34356,34191,11.0,736,4523,204
Bhopal,59303,38165,54865,48831,70837,51555,2480,1737,624,1113,33656,6721,45664,47401,6789,6098.0,46670,1105,5895,44425,921,7329,1924,464,13474,13938,5947,1762.0,81433,677142,42699,46225,25207,29506,32348,41884,40337,66.0,48430,44916,449
Burhanpur,21532,13273,16974,17666,21305,11383,1011,2034,513,1521,12644,2380,13024,15058,770,256.0,15175,268,3261,14463,970,367,154,89,5104,5193,4697,25.0,73512,141137,11660,17293,9829,10761,12021,16406,16044,208.0,1730,3045,42
Chhatarpur,49066,22215,38401,40206,49413,22365,842,5115,2030,3085,32818,14790,34790,39905,1073,373.0,39350,702,4925,38483,914,207,433,60,8965,9025,13601,7.0,97290,493629,30008,38089,25604,28305,31736,40380,40377,0.0,2696,1329,366
Chhindwada,41460,31382,34627,29516,41577,24617,195,2178,79,2099,29590,7352,29783,31961,2271,110.0,31619,574,3434,30471,936,468,380,208,11477,11685,7229,,59827,257382,26663,31035,22462,25412,27499,33385,32260,3.0,4521,8270,211
Damoh,40660,23142,29630,30837,43461,16017,517,3383,1607,1776,20990,3905,21756,25139,1139,486.0,24866,270,2743,24309,938,834,453,20,7952,7972,16576,34.0,84828,393321,20435,24655,16390,19330,21095,27962,28703,17.0,1895,2646,219
Datia,17919,11505,13239,13925,16960,8736,421,1316,736,580,11515,1639,11515,12831,306,,12802,167,1497,12163,887,251,167,11,4059,4070,3011,,19600,62652,10123,12155,7571,8447,9096,11838,9743,94.0,1124,1801,168
Dewas,35924,22170,28286,31251,35157,18047,1046,906,231,675,23714,1518,26296,27202,1033,1427.0,26896,400,4017,24629,927,582,563,69,8488,8557,6783,,62905,707098,25351,27796,18677,22063,24294,30045,27848,59.0,177,4109,266
Dhar,63412,37438,49121,48700,61238,39566,1058,5199,3371,1828,31228,6735,33305,38504,684,1112.0,37989,606,4877,36818,892,1616,1486,71,14367,14438,14014,33.0,97303,550443,32028,39432,30793,34060,38086,47230,47325,6.0,356,12173,250
Dindori,22500,19826,21914,21738,22984,18725,3694,1097,423,674,12056,95,12056,13153,69,,12897,324,2134,12623,969,1272,262,24,4513,4537,9316,,40124,235089,11556,13118,9567,10966,12524,16575,16531,,97,2547,224
Guna,38874,30417,32880,31410,37864,7070,267,1850,845,1005,24548,2403,25629,27479,901,530.0,27325,404,3126,25488,929,264,413,10,6573,6583,4911,0.0,73772,177790,24975,25796,18037,19841,22031,27284,26633,169.0,3631,2703,435
Gwalior,54756,24306,36442,39656,62130,32698,1754,1734,479,1255,28498,2389,37654,39388,3399,4958.0,38740,809,5483,30430,888,1004,989,113,7227,7340,9211,285.0,56444,313371,32651,39294,25067,27720,30925,35037,34488,28.0,5274,5568,166
Harda,12530,6973,9511,10770,11611,6427,258,1834,592,1242,7658,24,8671,10505,803,734.0,10379,127,1647,10342,959,1620,288,29,2741,2770,3026,,39712,410960,7353,10244,6390,7771,8675,10178,10168,120.0,969,118,232
Hoshangabad,26605,16029,21788,22941,28581,15654,881,955,172,783,17463,870,22513,23468,2388,2518.0,23245,375,3358,22615,908,966,600,74,4374,4448,7176,82.0,122652,1213223,19600,22839,12923,14350,16692,22509,19464,11.0,2169,6065,277
Indore,79767,39279,60605,54626,91836,25478,864,144,123,21,33216,2972,59358,59502,5194,4937.0,59132,510,8544,51465,920,1348,1484,268,21637,21905,14999,1801.0,208923,847880,25032,56412,38902,44467,48459,55701,55159,4.0,2590,3293,8
Jabalpur,53093,27534,48247,35409,57229,51628,1571,1915,693,1222,30222,772,37012,38927,4629,1503.0,38705,408,6944,37221,942,495,996,173,14753,14926,17505,20.0,55802,533059,33020,36246,22361,26357,29524,36227,35335,91.0,4509,4422,525
Jhabua,36859,16125,26367,25951,35949,25311,612,3846,0,3846,26044,5606,27394,31240,244,206.0,30874,561,5386,30346,941,997,722,18,6896,6914,7958,13.0,70564,307557,24647,33479,18163,20735,22958,27000,25021,194.0,603,3457,297
Katni,31563,18380,26596,25401,31005,15325,612,2435,272,2163,19180,958,21701,24136,455,1580.0,23717,465,2233,21437,955,630,300,94,5838,5932,10855,18.0,64287,432091,18665,23563,13533,15899,18327,23452,22661,0.0,611,1782,381
Khandwa,33743,28127,31470,35728,34978,35308,6854,2838,1666,1172,20952,8108,22650,25488,2055,1040.0,25149,440,3576,23573,927,1470,734,105,7349,7454,6493,120.0,68068,140468,21505,30433,18513,19879,26229,31312,25530,244.0,785,2364,308
Khargone,44449,27043,40823,36747,44008,28037,568,5339,2085,3254,29549,3639,30987,36326,2429,978.0,35707,743,4726,34342,931,1003,451,80,11787,11867,8624,30.0,90261,542706,29276,35443,23324,26348,29174,36908,32288,483.0,6186,5563,383
Mandla,21080,17359,18629,17280,21362,8575,124,2486,0,2486,13659,591,14558,17044,256,501.0,16720,359,2290,16251,954,552,187,86,5238,5324,3280,3.0,38779,117504,12259,17217,10890,12207,13714,17343,16064,0.0,3221,3721,63
Mandsaur,28212,18899,23076,24635,28398,14948,298,654,3,651,21750,1425,22562,23216,2091,509.0,22987,529,4289,22185,912,184,471,78,6555,6633,6013,,89291,544753,22088,22050,13715,15411,17689,22904,23698,0.0,2432,6141,257
Morena,54403,32841,45006,47505,53040,37771,1693,1591,59,1532,36089,12855,39141,40732,221,1088.0,40209,799,5814,38543,904,1168,524,34,7956,7990,6625,84.0,75532,324644,38663,41267,26606,28398,32036,40728,39546,55.0,644,1396,718
Narsinghpur,23737,15465,21826,20247,24325,8564,273,1480,674,806,14815,398,17341,18821,1417,1437.0,18723,207,1318,18453,921,348,219,57,7038,7095,7209,,44079,326838,17017,18023,12724,13740,15159,20601,20178,6.0,739,2501,173
Neemuch,16286,9856,12440,14128,15526,7724,676,614,232,382,11802,316,11857,12471,881,6.0,12281,261,1899,11387,913,57,181,158,3072,3230,3997,0.0,55463,164310,12690,13411,8864,9988,10992,13285,12029,5.0,988,1131,242
Panna,34236,30186,26625,23204,33552,8141,547,2341,1526,815,17897,1906,17897,20238,483,,19948,397,3174,19031,900,377,374,21,4827,4848,9434,,37677,419914,16504,20352,13431,15482,17347,22460,22460,359.0,797,949,352
Raisen,34309,25941,30613,27668,35169,20820,975,3405,98,3307,17737,2093,17737,21142,450,,20998,332,2321,20234,925,748,685,35,5576,5611,9532,,113621,371112,19188,21057,17163,19970,22628,29474,28072,112.0,533,2271,178
Rajgarh,36794,23050,29733,32418,36728,18478,663,1856,365,1491,23342,1118,23971,25827,352,206.0,25397,522,4225,23824,945,651,478,21,5719,5740,4869,1.0,137571,943722,22692,24735,20313,23088,25425,31376,30386,314.0,550,4135,387
Ratlam,38453,21952,30446,31008,35983,16106,823,1385,323,1062,26055,741,26435,27820,1224,185.0,27622,352,3971,26166,923,632,553,51,8219,8270,8882,25.0,41649,158377,26659,27554,18146,21229,23328,29580,28781,18.0,1982,4832,374
Rewa,76350,42375,52798,54978,82135,31612,1372,3776,575,3201,37704,4432,37717,41493,1086,0.0,44578,848,2816,41268,896,913,484,305,6908,7213,18528,0.0,89764,410053,34475,46130,34904,41405,45146,55978,48247,16.0,4039,5939,39
Sagar,60927,31351,45997,49495,59459,23187,1133,5449,1292,4157,33979,9083,34628,40077,1546,189.0,39543,706,2833,39012,930,1007,632,141,12070,12211,11570,0.0,71292,724370,35622,45266,26805,33342,38353,46074,44029,55.0,6300,5080,257
Satna,61121,32799,56605,51333,60086,24514,909,5418,1033,4385,31372,2043,33320,38738,1623,771.0,38185,786,6004,35079,925,3573,1609,588,8767,9355,11515,22.0,41675,163139,30344,38041,28343,33226,36943,45442,42591,59.0,9261,23872,670
Sehore,36935,27492,29695,30745,37583,17740,1199,958,490,468,21210,2397,22823,23781,1191,498.0,23475,338,3343,19888,935,1077,1030,257,6900,7157,13249,,174728,225317,21474,22904,20729,25018,28208,32383,31712,3.0,1202,1215,245
Seoni,29482,20095,22420,24854,27830,21280,807,1313,598,715,20631,1569,21957,23270,2184,954.0,22535,458,3790,21485,958,2146,248,52,7445,7497,9634,47.0,49542,156262,19602,21747,14127,16334,18363,23012,22915,61.0,2989,8776,512
Shahdol,27135,16891,22881,20136,25773,20950,1258,2746,2295,451,18651,218,18823,21569,2281,148.0,21164,642,2720,20375,933,755,206,352,4524,4876,7648,,22667,129382,18231,20544,13237,14704,16168,20534,20197,69.0,1141,1445,167
Shajapur,19804,13861,17327,18123,19974,7229,323,364,7,357,15057,689,16342,16706,454,536.0,16577,197,1923,16211,931,360,95,129,3989,4118,2766,,30241,227456,14952,16416,10062,11836,13820,18079,16546,0.0,615,952,318
Sheopur,21411,14168,16072,15977,21374,14804,835,3157,9,3148,11957,2110,11957,15114,473,,14925,248,3756,14664,927,391,45,21,4230,4251,2193,,40817,124360,9111,14333,9597,11393,13031,14603,13471,12.0,513,2983,315
Shivpuri,55366,33729,46000,42150,52311,23199,1504,5304,122,5182,31860,2609,32190,37494,1410,101.0,36959,572,5682,35693,915,1152,814,33,7814,7847,4413,96.0,92693,536163,32430,35311,26532,30542,33560,42667,39511,54.0,542,2541,358
Sidhi,42117,24279,31108,30764,40953,25308,1300,7608,2503,5105,20174,2127,20645,28253,423,243.0,27985,554,4658,26997,922,1173,848,246,3934,4180,4767,3.0,19179,126517,18349,28886,16562,19799,22072,26320,24372,2.0,416,8764,86
