Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Maharashtra,2185798,1502299,1888448,1826382,1370670,1600975,23182,15282,9334,5948,940173,228145,1667346,1682628,140591,146254,1674748,18001,210748,1568169,922,209231,57866,13835,437099,450934,355181,89202,3133303,17076653,1627163,1936250,9175,14255,20961,1911474,1864806,3257,328292,349957,12410
Ahmednagar,79449,62638,72034,71717,49329,70321,224,236,182,54,27576,6165,77770,78006,3569,10373,77637,571,6104,76669,895,8334,2068,53,20343,20396,26862,2567,197031,568889,57781,81403,0,0,0,77511,77503,6,6781,8198,330
Akola,34459,27338,32269,32054,19356,28044,741,175,147,28,25189,1511,35025,35200,9526,1467,34782,692,5177,33766,905,1825,1047,381,7153,7534,8002,1966,42922,118807,34782,34782,0,0,0,29718,29689,1,8873,2224,1025
Amravati,45681,36556,44066,39224,20130,38556,377,1746,831,915,28717,9688,41848,43594,4168,6535,43740,781,7932,40619,967,7310,665,636,10484,11120,5709,1304,25906,166433,35831,50539,0,95,336,43839,41815,14,11943,10802,544
Aurangabad,86558,70530,81226,81870,46940,48070,1198,221,141,80,38486,9894,75461,75682,2757,4439,75372,502,7777,74673,930,9042,989,47,13426,13473,8758,5163,75277,530286,52428,75553,4,318,703,73246,66038,17,627,7721,113
Bhandara,18189,16826,17426,17106,7647,18823,75,42,20,22,14149,80,17078,17120,4513,1772,17046,235,3544,16968,944,836,505,1117,4419,5536,6146,72,30126,166956,13193,16772,99,76,75,18024,18029,98,10406,7278,280
Bid,51943,40321,46473,42116,37339,35935,989,86,51,35,30306,3698,45234,45320,6292,1347,45064,400,3241,42431,927,4087,3464,50,13429,13479,16629,1596,110764,305980,45309,45415,605,934,1680,45214,43331,1,10507,18526,254
Brihan Mumbai,256077,85417,175950,179805,216998,65711,2014,5,1,4,74578,11394,164313,164318,32047,10150,161897,2112,20793,131266,940,35668,16922,720,20682,21402,22894,26379,335958,5454081,176954,186279,180,206,444,183602,182957,22,77810,33059,1097
Buldana,49525,41401,45933,43865,34975,36597,143,305,290,15,18097,5329,37239,37544,736,2092,37391,333,3352,36671,915,1958,344,140,10642,10782,6422,455,55815,336222,39360,46937,0,0,0,47064,46926,15,3865,6081,292
Chandrapur,32349,27579,36746,29875,17649,32744,220,156,123,33,20394,2125,28828,28984,3015,1227,28761,506,6618,27349,958,4491,595,1090,10741,11831,10308,1578,45316,239533,23869,31623,10,15,42,35002,34635,67,10354,12850,550
