Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttar Pradesh,"5,804,938","3,456,991","4,479,512","5,689,521","4,792,844","564,299","112,405","2,290,658","1,518,222","772,436","2,162,510","1,314,154","2,218,954","4,509,612","87,104","29,467","4,173,768","45,925","1,094,224","2,631,553",909,"28,976","65,916","12,378","456,789","469,167","1,521,748","23,247","8,515,882","64,028,542","2,271,043","5,693,227","5,606,459","5,427,658","5,490,843","5,330,048","5,355,581",824.0,"396,707","209,347","3,290"
Agra,"134,510","26,279","72,993","111,856","106,502","2,197",697,"38,491","21,398","17,093","37,977","24,541","37,996","76,487",668,1,"93,427",824,"18,678","54,672",864,"1,832",919,28,"10,013","10,041","34,390",127,"208,932","2,204,848","49,040","120,178","121,720","118,045","117,212","116,213","112,348",,"2,452","2,552",34
Aligarh,"90,335","72,189","75,167","88,462","102,580","12,051",805,"36,659","22,312","14,347","28,457","25,792","40,014","76,673",80,,"50,254",366,"24,508","29,097",944,"2,415","2,022",139,"4,108","4,247","25,754",,"30,185","744,000","29,927","100,093","73,066","68,853","96,536","90,620","89,894",,841,"2,841",
Allahabad,"157,604","89,275","126,376","150,034","149,755","33,849","1,366","46,634","25,909","20,725","59,846","47,448","59,846","106,480",833,7,"115,493",655,"36,571","68,447",935,574,820,247,"17,379","17,626","18,734",897,"296,325","898,240","28,061","149,177","148,260","141,598","144,090","142,238","141,008",,"5,699","22,440",
Ambedkar Nagar,"76,049","77,461","64,055","74,933","58,582",625,,"41,344","34,178","7,166","21,443","21,443","21,443","62,787",28,,"47,918",,"19,670","52,466",864,,"5,000",37,"3,295","3,332","20,450",,,"156,792","50,087","66,459","75,651","70,200","67,534","67,472","65,555",,,,
Auraiya,"33,770","16,015","32,549","41,053","34,351",,,"12,291","10,784","1,507","14,236","13,566","14,236","26,527",,,"26,125",18,"11,509","15,261",934,2,,10,"2,440","2,450","17,834",,"86,342","705,800","7,091","39,157","39,710","39,911","38,836","38,706","38,169",,,48,
Azamgarh,"143,674","56,174","84,174","128,345","72,808","2,810",85,"41,073","29,912","11,161","50,545","34,608","50,695","91,768",502,29,"92,107",363,"16,293","91,750",981,37,290,85,"9,390","9,475","13,618",,"129,126","887,658","50,393","147,230","140,656","136,331","138,793","133,399","133,399",,"245,804","5,671",
Bagpat,"37,675","35,251","33,935","45,992","22,606","6,473","1,400","12,924","6,765","6,159","12,819","12,467","12,975","25,899",13,,"27,261",154,"11,947","28,523",808,12,26,36,"4,906","4,942","11,869",,"64,138","495,456","12,663","38,807","38,606","39,002","38,677","36,315","34,275",,368,578,
Bahraich,"92,116","100,200","88,136","91,534","71,629","22,186","12,243","31,565","21,111","10,454","33,512","32,445","33,978","65,543","14,613",203,"34,576",33,"12,458","29,223",857,280,"1,145",3,"3,458","3,461","7,952",,"2,960","313,700","25,200","72,838","91,116","90,521","74,070","72,755","72,655",,495,794,
Ballia,"92,909","10,241","73,490","83,782","36,436",,,"30,600","18,487","12,113","38,986","6,163","39,367","69,967",82,,"70,297",124,"9,851","25,511",771,12,15,315,"7,586","7,901","19,382","1,137","50,208","393,390","27,946","92,594","98,681","93,258","92,676","92,401","91,604",,,482,
Balrampur,"63,884","40,628","48,164","61,925","56,589","13,051",,"50,982","33,565","17,417","14,554","13,889","14,554","65,536",159,,"56,328",374,"19,295","44,340",918,56,37,9,"2,135","2,144","17,833",,"55,041","380,319","34,330","55,852","56,241","54,351","55,759","54,528","54,448",,159,"1,178",
Banda,"46,178","23,418","33,970","45,989","48,859","6,965",219,"5,838",,"5,838","31,196","22,624","31,196","37,034",19,122,"38,047",661,"1,952","35,327",981,590,528,93,"4,369","4,462","18,526",,"123,783","1,080,329","53,024","50,808","47,429","46,607","52,316","51,549","51,549",,"5,005","2,369",457
Barabanki,"102,037","67,753","71,022","97,592","90,771","3,586",517,"71,826","52,780","19,046","50,008","50,008","50,008","121,834","1,058",1,"75,974",642,"29,146",,851,"1,621","2,186",625,"7,309","7,934","22,579",,"65,537","693,842","41,950","96,867","93,738","91,612","91,983","90,549","90,549",,,,
Bareilly,"108,527","97,235","77,572","114,387","94,165","3,633",598,"61,478","51,073","10,405","37,630","4,691","37,949","99,427","1,339",74,"71,893",352,"35,400","12,288",824,399,900,392,"5,448","5,840","20,287",177,"215,442","1,049,851","30,147","114,290","133,641","127,938","125,330","151,247","228,566",,"2,751","2,035",1
Basti,"85,177","85,177","75,053","69,124","49,169","9,546",666,"23,115","16,654","6,461","35,214","4,934","36,601","59,716",158,,"62,137","4,919","14,802","59,137",923,28,,59,"2,553","2,612","19,474",,"75,925","882,700","27,836","71,403","75,556","71,423","69,583","69,488","64,341",,"7,117","3,830",75
Bijnor,"99,596","42,668","87,652","114,304","86,211","18,980",,"51,093","31,029","20,064","19,499",,"20,752","71,845",687,,"94,023",237,"45,594","55,099",829,"2,157",702,25,"3,177","3,202","50,072",,"331,389","2,365,040","46,900","100,890","103,376","107,501","101,507","84,287","90,974",,,,
Budaun,"104,669","98,226","39,571","92,539","79,451","64,200","16,009","29,305","16,931","12,374","47,309","46,932","47,309","76,614",464,47,"82,778",420,"10,603","56,427",942,"3,838","2,412",109,"3,622","3,731","26,613",,"192,124","849,107","57,590","106,351","97,895","90,770","90,895","101,029","108,641",18.0,"3,584","1,423",
Bulandshahar,"91,155","63,207","65,289","88,312","71,925","19,825","2,252","33,952","27,947","6,005","34,609","24,884","34,609","68,561",297,,"67,311",391,"18,876","42,713",902,73,"1,220",193,"5,656","5,849","43,064",,"172,483","1,179,780","53,342","103,074","97,189","92,346","97,305","97,120","97,120",,"1,534","8,823",62
C S M Nagar,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
