Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Rajasthan,"1,911,370","948,364","1,381,515","1,583,663","1,694,193","778,475","36,787","111,253","45,149","66,104","977,333","812,754","1,338,323","1,449,576","50,381","48,131","1,451,962","26,770","431,204","1,190,186",906,"37,674","10,883","5,173","311,133","316,306","371,625","21,116","5,864,010","64,891,654","841,937","1,451,079","1,485,828","1,434,982","1,434,784","1,369,154","1,335,456",495,"102,229","193,920","10,891"
Ajmer,"88,358","40,057","60,424","63,753","85,413","54,566","2,818","2,102",119,"1,983","41,661","31,579","56,532","58,634","4,856","2,901","57,830","1,675","15,384","45,403",917,"1,993",354,166,"11,224","11,390","10,415",716,"164,294","1,574,321","42,352","66,919","60,040","58,087","55,654","53,295","49,905",2,"8,573","23,234",601
Alwar,"101,744","42,657","66,644","84,839","74,060","29,336","1,713","10,098","2,682","7,416","47,809","44,704","62,167","72,265","2,539","1,981","72,536","1,353","22,170","59,479",886,"2,035",184,380,"16,145","16,525","19,548",833,"327,520","2,746,965","34,756","70,832","76,157","73,321","72,796","68,951","67,507",0,"7,586","4,632",507
Banswara,"56,115","27,527","44,261","55,333","50,051","31,015","2,142","2,061","1,142",919,"39,032","30,087","41,802","43,863","1,930",0,"42,705","1,313","18,449","40,140",923,"1,015",302,24,"8,511","8,535","11,935",0,"108,786","987,840","34,180","41,460","46,990","46,472","46,072","42,489","42,015",0,"6,500","12,530",505
Baran,"38,753","19,033","24,465","30,983","33,383","14,961",533,335,153,182,"22,104","17,072","23,485","23,820",664,172,"24,071",462,"14,597","23,338",921,524,223,140,"6,278","6,418","4,468",137,"131,479","1,499,856","21,004","23,899","27,742","27,402","27,364","25,831","25,708",2,"2,180",905,301
Barmer,"66,964","24,828","44,348","63,891","69,115","14,898",242,"16,135","5,113","11,022","36,531","29,449","43,419","59,554",178,"1,638","58,399","1,401","16,918","51,417",885,989,24,119,"9,136","9,255","15,805",0,"473,633","4,947,166","18,482","65,821","63,150","60,285","62,156","57,715","59,640",0,"1,773",827,251
Bharatpur,"68,678","40,263","48,690","66,720","53,112","11,099",624,"8,266","7,179","1,087","42,735","30,847","50,763","59,029","1,290","2,659","59,248",621,"45,686","51,127",882,"1,376",880,38,"10,273","10,311","14,794",960,"287,953","3,449,043","35,323","50,834","57,609","56,176","56,486","52,261","51,785",54,"2,127","2,906",215
Bhilwara,"62,406","43,976","47,771","59,060","55,307","34,221",720,"1,859",993,866,"37,358","32,345","45,434","47,293","1,044",800,"46,653","1,038","11,993","37,475",909,933,381,100,"9,438","9,538","14,994",258,"195,819","1,892,170","22,827","51,740","50,601","49,965","50,700","47,614","46,781",9,"4,826","7,645",270
Bikaner,"73,798","24,334","45,398","57,206","88,398","23,686",299,"9,938","4,695","5,243","33,733","24,261","43,341","53,279","2,373","1,212","52,692","1,110","19,041","46,586",891,670,94,242,"10,647","10,889","10,491",280,"209,180","2,553,357","21,414","54,432","57,346","52,529","51,240","52,569","51,415",5,"1,442","6,673",176
Bundi,"25,363","16,945","22,919","23,849","25,956","17,641","1,893",106,50,56,"19,908","15,483","20,874","20,980",360,177,"20,583",486,"4,986","18,689",922,574,388,35,"5,410","5,445","5,956",0,"126,631","1,160,489","18,153","20,387","22,205","21,733","21,891","21,249","20,856",321,"1,396","7,038",150
Chittaurgarh,"34,655","21,880","28,834","33,916","32,202","20,543",455,"1,448",210,"1,238","25,643","23,079","28,726","30,174","1,587",11,"29,572",763,"16,602","26,167",944,"3,070",405,311,"9,677","9,988","12,194",513,"169,670","1,579,435","16,740","25,154","29,567","29,019","29,216","28,180","28,137",1,"3,008","5,101",126
Churu,"50,191","37,237","42,392","48,128","56,339","21,214","1,269","2,159",158,"2,001","28,515","23,627","36,376","38,535",320,544,"38,506",555,"3,664","34,690",899,675,353,753,"8,677","9,430","12,523",0,"178,337","2,039,122","15,055","35,650","43,781","42,416","40,940","39,124","38,968",2,"3,312","4,943",154
Dausa,"36,632","16,600","24,925","33,456","32,461","14,310",215,"2,650","1,818",832,"18,930","17,975","30,407","33,057",29,608,"32,828",514,"6,749","27,198",913,280,136,21,"8,060","8,081","7,208",114,"164,992","2,007,590","26,604","29,051","33,642","32,357","32,139","30,629","30,219",4,480,"1,126",207
Dhaulpur,"31,256","15,941","19,171","28,346","26,807","8,076",393,"2,580",747,"1,833","23,139","18,625","25,202","27,782",527,0,"27,560",485,"5,011","27,235",893,419,190,28,"5,128","5,156","6,296",0,"89,965","908,037","18,394","26,137","27,658","26,787","26,758","25,681","24,818",0,"1,131","1,471",167
Dungarpur,"39,377","20,564","30,497","36,940","42,701","30,700","1,096","1,415",552,863,"24,836","24,069","31,710","33,125",670,307,"32,535",731,"6,185","26,072",909,"1,308",962,7,"5,650","5,657","8,205",0,"149,800","1,434,169","17,635","33,561","31,841","31,590","31,412","29,158","28,900",2,"4,486","4,719",310
Ganganagar,"47,109","29,757","42,229","35,621","37,749","29,597",540,"1,564",439,"1,125","23,582","15,789","34,656","36,220",615,"1,046","35,689",799,"8,411","32,200",889,676,41,166,"9,284","9,450","14,385",315,"135,497","1,317,586","18,177","36,181","36,566","35,709","35,811","35,755","35,755",1,"2,222","6,696",544
Hanumangarh,"44,837","30,682","35,466","39,448","38,870","28,047","1,224","1,031",559,472,"17,532","16,372","35,739","36,770",805,"1,172","36,356",591,"12,656","26,051",952,654,169,310,"9,871","10,181","10,774","2,583","92,504","494,393","18,647","37,889","37,915","37,604","37,356","37,679","37,548",1,"1,544","6,999",409
Jaipur,"249,206","96,349","172,458","133,587","185,008","94,028","8,201","2,607","1,113","1,494","76,005","65,252","144,010","146,617","14,023","12,775","151,830","1,806","41,724","102,163",893,"4,869","1,674",650,"29,918","30,568","19,947","10,564","351,387","3,701,119","102,001","153,670","137,292","129,935","127,926","120,375","117,737",2,"17,573","23,668",813
Jaisalmer,"14,888","5,961","9,679","13,854","16,588","4,406",233,"5,202","2,287","2,915","9,800","8,618","10,387","15,589",54,53,"15,615",501,"8,111","13,855",875,913,196,20,"2,655","2,675","3,235",0,"52,287","814,097","9,005","15,826","14,048","13,443","12,873","10,982","10,346",19,360,375,63
Jalor,"52,264","23,804","41,317","46,343","45,674","9,594",657,"5,057","2,008","3,049","21,401","15,474","39,609","44,666",31,800,"43,946","1,137","13,049","36,109",892,722,95,20,"10,313","10,333","11,852",269,"169,451","2,301,009","7,999","42,425","41,524","40,142","40,869","39,141","38,451",5,"1,589","2,204",203
Jhalawar,"31,986","21,590","29,107","29,670","30,513","18,739",457,"1,309",691,618,"26,728","25,609","29,418","30,727","1,499",811,"30,024",771,"9,797","27,411",916,"1,067",114,24,"7,666","7,690","8,905",7,"132,297","1,963,701","22,748","26,031","28,151","27,729","27,894","26,169","26,058",4,"3,640","12,503","1,402"
Jhunjhunun,"43,926","26,703","34,759","40,880","41,190","21,009","1,342",332,221,111,"12,137","11,069","30,878","31,210",21,"2,228","31,278",290,"3,516","24,174",870,765,251,305,"10,266","10,571","12,696",373,"283,757","4,961,917","13,414","37,466","40,520","39,763","40,459","38,133","37,904",2,"3,147","3,919",76
Jodhpur,"111,964","40,709","74,256","88,864","97,291","13,451",393,"11,147","4,744","6,403","57,385","40,346","70,745","81,892","1,661","3,974","86,529",570,"27,941","55,851",932,270,243,171,"13,217","13,388","16,188",517,"214,427","2,402,634","57,031","81,620","83,386","78,305","77,256","79,395","71,552",2,"3,011","11,895",85
Karauli,"46,206","24,581","34,219","38,131","37,023","11,682",696,"1,956",781,"1,175","24,000","23,643","30,303","32,259",251,641,"32,055",453,"3,332","28,252",918,609,225,23,"7,514","7,537","7,466",97,"107,228","1,155,621","21,253","27,909","33,551","32,865","32,570","31,408","30,779",0,543,"6,203",223
Kota,"46,632","28,055","36,379","37,706","29,535","5,867",155,912,543,369,"22,869","21,653","35,286","36,198","3,994","4,014","35,882",768,"6,987","28,956",898,641,206,260,"9,676","9,936","8,852",25,"74,326","656,382","31,222","37,731","37,420","35,723","35,427","35,115","34,724",15,202,"1,332",89
Nagaur,"77,525","43,744","57,462","71,088","83,073","35,213",511,"2,634","1,189","1,445","42,551","36,427","57,476","60,110",588,"1,879","61,074",761,"8,124","53,550",888,"1,261",37,206,"12,991","13,197","18,546",140,"69,030","659,277","24,759","66,372","64,989","62,523","63,618","60,524","54,585",0,"3,938","2,624",154
Pali,"44,927","21,696","31,312","42,724","53,544","23,551",575,"2,092",482,"1,610","29,402","25,276","37,154","39,246",507,287,"41,713","1,100","28,123","36,181",903,621,354,116,"6,949","7,065","13,588",,"166,876","1,802,050","25,447","42,190","41,652","40,115","40,084","36,856","36,413",8,"2,856","4,316",347
Pratapgarh,"23,140","9,787","19,017","21,352","23,782","14,691",600,600,181,419,"18,111","16,333","18,616","19,216",135,0,"18,829",543,"5,947","15,766",916,457,52,49,"4,914","4,963","5,198",0,"58,227","686,272","15,023","20,295","17,679","17,645","17,572","15,969","15,698",8,"1,136","1,305",135
Rajsamand,"36,588","18,701","27,256","32,381","34,337","20,735",315,"3,250",429,"2,821","17,364","16,993","27,304","30,554",111,"1,743","30,446",396,"7,351","26,778",925,"1,032",336,79,"3,973","4,052","7,868",506,"106,949","1,113,322","25,458","30,032","33,050","31,675","30,135","29,137","28,041",0,"1,286","3,358",295
Sawai Madhopur,"32,203","18,556","22,604","30,928","24,043","13,488",708,"1,342",607,735,"19,653","16,095","30,729","32,071",643,0,"32,087",361,"8,560","19,496",925,413,178,23,"5,795","5,818","8,559",0,"153,163","1,893,940","21,162","28,058","29,677","28,594","28,979","26,148","26,144",4,"2,001","1,612",106
Sikar,"62,437","33,732","42,547","53,139","49,456","25,476",619,838,343,495,"24,501","21,804","52,296","53,134",524,"1,241","53,237",450,"10,798","48,540",900,601,437,145,"13,197","13,342","14,172",639,"275,150","3,141,840","14,928","53,296","51,783","50,824","52,638","48,562","47,312",7,"2,294","4,642",89
Sirohi,"27,865","16,402","22,205","28,556","28,460","18,090",222,713,89,624,"16,305","13,948","23,693","24,406",72,705,"23,685",730,"5,982","20,350",921,346,196,53,"5,261","5,314","8,123",0,"112,283","1,139,554","7,872","24,034","25,006","24,688","25,118","23,113","22,339",3,"1,286","6,945",416
Tonk,"33,350","22,669","28,531","31,748","29,626","23,446",441,417,251,166,"19,875","19,498","28,500","28,917",705,536,"28,525",548,"5,838","25,929",948,"1,530",144,46,"7,926","7,972","9,417",84,"91,418","1,100,544","18,891","28,241","30,347","29,581","30,652","28,575","28,510",0,"3,950","6,710",680
Udaipur,"110,027","43,044","69,973","81,223","83,126","41,099","4,486","7,098","2,581","4,517","56,198","39,353","61,286","68,384","5,775","1,216","67,444","1,688","7,522","53,558",924,"4,366","1,059",143,"15,493","15,636","17,022","1,186","439,694","4,806,836","43,981","65,936","72,943","69,980","72,723","71,372","68,906",12,831,"2,864",822
