Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Tamil Nadu,"1,159,164","995,382","1,059,868","1,129,817","742,807","1,192,793","24,354","1,693",655.0,"1,038","689,515","320,710","1,049,039","1,050,732","214,883","103,889","1,015,218","10,238","106,535","685,722",924,"69,640","20,773","1,524","315,208","316,732","316,179","17,678","393,224","7,920,413","1,013,104","1,018,830","19,857","19,672","19,610","1,047,325","1,029,323","9,746","226,988","1,093,666","13,264"
Ariyalur,"13,273","10,956","11,856","12,855","6,694","13,220",371,6,1.0,5,"8,035","1,768","11,575","11,581","4,356",1,"11,477",133,895,"8,564",872,"1,129",266,6,"2,963","2,969","4,751",,"3,751","52,885","11,273","11,327",,,,"11,628","11,628",146,"3,610","33,113",138
Chennai,"75,819","73,895","71,646","71,959","74,804","30,037",111,48,42.0,6,"57,263","29,861","80,651","80,699","22,536",,"68,656",103,"1,921","18,088",929,"2,832","5,834",315,"26,792","27,107","32,164","4,728","30,418","1,316,942","67,890","72,115",,,,"72,366","71,539",,"2,692","2,384",510
Coimbatore,"52,502","40,760","47,264","51,410","35,582","53,039",650,63,9.0,54,"21,054","9,185","46,027","46,090","11,330","5,074","46,697",285,"3,307","31,688",960,"2,906",457,52,"13,126","13,178","13,703",670,"18,533","492,570","46,639","46,632",,,,"47,369","45,881",8,"4,253","11,249",662
Cuddalore,"41,172","37,780","35,021","39,404","27,643","39,854","1,161",15,10.0,5,"25,453","10,339","33,978","33,993","9,415","1,084","33,663",313,"5,235","25,805",827,"1,890",851,71,"10,345","10,416","16,252",299,"20,719","421,110","36,303","36,303",,,,"38,493","38,365",110,"14,953","57,184",279
Dharmapuri,"28,617","25,410","24,066","28,827","15,213","40,526",296,81,4.0,77,"20,515","11,929","26,363","26,444","2,306","2,837","26,308",244,"3,755","19,256",835,"2,147",313,12,"8,208","8,220","10,325",204,"13,060","141,090","25,736","25,825",,,,"26,004","25,669",7,"2,219","14,607",503
Dindigul,"35,637","33,083","33,230","34,419","24,401","34,335","1,022",63,8.0,55,"20,154","19,139","31,850","31,913","2,616","4,889","31,654",512,"2,168","23,180",929,"2,640",172,51,"10,758","10,809","10,727","1,663","16,416","366,430","30,985","31,020",,,,"30,623","30,054",26,"8,253","24,871",409
Erode,"31,514","27,526","27,938","30,830","20,524","32,350","1,436",37,20.0,17,"15,226","6,227","43,388","43,425","3,224","9,730","27,907",255,"2,873","25,373",931,"2,543",208,84,"11,103","11,187","8,753",593,"7,791","199,705","27,559","27,574",,,,"27,503","26,425",405,"10,001","16,644",219
Kancheepuram,"58,831","48,013","54,472","57,313","40,823","66,505",514,9,,9,"41,552","13,150","52,449","52,458","16,788","5,629","52,061",397,"4,228","35,056",908,"3,395",495,41,"14,523","14,564","10,288",195,"17,965","247,493","51,641","51,689",,,,"52,238","51,103",,"9,593","54,973",484
Kanniyakumari,"25,123","21,005","21,127","25,008","19,952","22,519",108,1,,1,"7,233","4,060","23,349","23,350","3,960","7,531","23,289",133,"1,474","13,507",959,990,340,23,"11,124","11,147","4,928",188,"7,805","189,409","23,289","23,290",,,,"23,697","23,669",7,"4,791","8,920",263
Karur,"15,688","13,730","13,250","15,613","9,012","15,032",82,16,6.0,10,"7,713","3,093","13,771","13,787","3,626","2,074","13,658",170,"1,068","8,431",900,"1,163",328,28,"4,208","4,236","5,879",371,"10,740","102,790","13,513","13,510",,,,"14,375","14,375",1,"5,703","15,717",307
Krishnagiri,"30,788","23,219","25,819","29,928","9,189","29,101",474,248,2.0,246,"20,976","15,978","27,786","28,034","3,933","1,647","27,723",382,"4,303","21,581",894,"1,302",239,14,"8,752","8,766","10,282",380,"10,115","137,640","27,291","27,527",,,,"28,408","27,307",24,"14,214","32,952",601
Madurai,"54,727","47,539","52,472","54,227","36,259","55,428",841,19,2.0,17,"33,211","13,684","48,879","48,898","11,096","5,340","48,244",480,"4,824","35,700",937,"3,453","1,219",89,"13,624","13,713","9,059",901,"12,147","236,875","47,950","47,727",,,,"49,794","49,794",,"5,114","37,643",623
Nagapattinam,"24,958","22,049","19,806","23,255","13,907","25,029",522,12,5.0,7,"13,628","2,693","21,231","21,243","9,389",,"20,966",213,"2,448","12,796",955,"1,892",455,81,"5,369","5,450","7,656",358,"10,232","128,618","21,331","21,709",,,,"22,357","21,834",351,"12,532","38,031",393
Namakkal,"24,374","20,398","26,394","23,901","15,783","28,379",520,28,1.0,27,"12,030","2,958","21,249","21,277","6,206","2,322","21,090",219,"2,777","11,913",868,"1,742",632,38,"7,043","7,081","9,130",64,"10,736","210,010","21,052","21,048",,,,"21,611","21,003",28,"7,368","31,681",351
Nilgiris,"8,997","8,233","8,637","8,687","7,191","12,748",183,81,60.0,21,"5,275","2,035","7,857","7,938","1,267",725,"7,966",78,"2,032","6,066",893,734,67,31,"2,796","2,827","3,608",363,"9,165","164,765","7,965","7,956",,,,"8,590","8,112",950,"3,160","6,379",209
Perambalur,"9,773","8,270","8,864","9,349","4,506","10,056",68,11,,11,"5,214","1,254","8,385","8,396","3,336",217,"8,329",89,"1,038","5,463","1,014",650,92,3,"1,905","1,908","2,764",,"4,991","42,200","8,305","8,355",,,,"8,786","8,786",1,"3,573","11,307",157
Pudukkottai,"27,923","23,012","26,501","27,282","17,146","27,746",888,17,1.0,16,"17,189","2,550","24,725","24,742","8,098",395,"24,514",331,"2,366","15,692",921,"1,627",219,17,"5,861","5,878","8,199",149,"7,909","190,534","24,912","25,014",,,,"22,952","24,988","1,823","8,324","31,127",445
Ramanathapuram,"23,467","19,792","21,999","22,485","16,596","25,905","1,129",,,,"12,394","5,933","20,443","20,443","6,894",605,"19,813",206,"2,094","13,765",929,"1,722",213,36,"6,150","6,186","8,350",282,"8,122","171,375","19,907","19,903",,,,"20,985","19,502",910,"8,974","29,431",326
Salem,"59,263","50,096","53,798","57,839","28,118","56,596","1,170",212,59.0,153,"32,379","20,044","53,692","53,904","4,469","10,091","54,067",450,"5,179","40,160",907,"4,292",509,15,"15,036","15,051","12,359",6,"17,598","341,054","54,181","54,231",,,,"53,105","51,853",124,"6,203","34,905",798
Sivaganga,"21,383","18,380","18,935","20,584","13,684","21,476",238,7,1.0,6,"12,166","7,279","18,625","18,632","3,334","2,408","18,012",180,"1,855","12,045",907,"1,250",306,45,"6,076","6,121","7,316",204,"8,292","168,680","19,177","19,447","19,857","19,672","19,610","20,298","17,712",64,"3,825","12,820",313
Thanjavur,"39,082","33,088","40,098","38,560","12,457","49,199",383,23,7.0,16,"21,618","6,434","34,338","34,361","7,415","6,005","33,914",447,"3,785","22,205",940,"3,016",577,51,"11,107","11,158","13,411",254,"20,703","151,379","33,576","33,537",,,,"34,922","34,963","1,419","4,355","74,797",383
Theni,"20,263","15,626","17,631","18,524","15,283","18,326",445,65,22.0,43,"13,853","7,437","17,592","17,657","2,238","2,638","17,660",197,"2,547","12,455",924,938,383,16,"6,259","6,275","4,633",176,"6,570","146,570","17,093","17,072",,,,"18,103","17,136",,"3,809","30,034",59
Thiruvallur,"55,697","48,755","56,600","55,819","37,827","59,655",570,38,15.0,23,"38,224","13,526","49,346","49,384","9,675","4,391","49,289",462,"5,536","34,973",951,"3,240",476,38,"12,391","12,429","10,240",424,"12,885","226,930","48,947","49,008",,,,"52,312","51,734",1,"9,564","39,747",522
Thiruvarur,"20,997","18,778","16,545","20,401","13,020","20,344",227,2,,2,"11,326","3,724","16,750","16,752","3,271",,"17,940",180,"1,020","11,396",980,"1,438",216,80,"4,819","4,899","8,523",34,"9,751","163,940","18,037","17,996",,,,"18,362","18,000",46,"3,396","48,615",190
Tiruchirappalli,"45,718","37,943","48,296","44,592","17,055","62,051",930,38,2.0,36,"25,085","4,008","40,546","40,584","4,125","3,428","39,746",466,"4,550","27,527",916,"3,093","1,131",61,"9,640","9,701","10,152","1,103","13,158","256,415","40,417","40,350",,,,"40,040","39,737",637,"4,134","58,433",612
Tirunelveli,"51,113","44,907","45,112","49,437","26,375","49,322",473,24,8.0,16,"19,555","10,336","42,950","42,974","6,518","8,831","42,865",403,"4,997","23,902",942,"2,795",593,23,"14,476","14,499","12,712","1,271","7,531","146,250","42,903","43,103",,,,"45,799","44,277",149,"6,333","19,666",609
Tirupur,"35,158","27,281","32,439","34,261","22,600","38,591","1,106",4,1.0,3,"16,951","4,737","32,265","32,269","9,166","3,941","32,179",264,"2,746","22,446",953,"1,840",409,34,"7,656","7,690","5,566",350,"7,414","142,140","30,914","31,098",,,,"30,933","30,933",19,"8,975","33,845",238
Tiruvanamalai,"45,223","39,936","41,922","44,463","27,000","49,197",712,300,291.0,9,"33,728","18,406","39,315","39,615","4,105",68,"38,455",642,"4,982","31,303",929,"2,763",940,23,"10,581","10,604","10,940",,"19,483","171,766","39,935","40,012",,,,"41,265","39,786",22,"5,584","26,099",237
Toothukudi,"25,529","22,035","19,429","24,868","14,986","26,432",940,23,2.0,21,"13,832","6,974","23,009","23,032","6,756",,"22,034",186,"1,716","15,226",994,703,210,27,"8,083","8,110","8,751",928,"8,599","73,992","21,648","21,659",,,,"22,853","21,923",,"8,391","52,403",254
Vellore,"62,514","49,958","55,948","61,952","68,744","75,359","2,077",108,5.0,103,"41,513","26,923","54,985","55,093","10,865","9,196","54,474",619,"8,069","43,111",918,"3,426","1,298",30,"21,173","21,203","10,910",718,"14,544","455,975","52,165","52,223",,,,"56,549","56,549",889,"15,650","118,038",774
Viluppuram,"63,317","54,982","56,042","62,044","34,653","70,474","2,495",80,71.0,9,"47,444","25,904","54,443","54,523","3,773",351,"53,721",802,"7,156","40,263",895,"4,273",987,61,"11,750","11,811","15,310",,"15,435","414,661","53,721","53,721",,,,"57,797","57,797","1,395","7,165","57,368","1,006"
Virudhunagar,"30,724","28,947","26,711","29,721","15,780","33,962","2,212",14,,14,"17,726","9,142","27,227","27,241","8,797","2,441","26,847",397,"3,591","16,786","1,021","1,816",338,28,"11,511","11,539","8,538",802,"10,646","248,220","26,849","26,849",,,,"27,208","26,889",184,"10,277","28,683",390
