Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttar Pradesh,"5,710,191","3,146,639","3,993,203","4,747,403","5,159,290","742,715","63,852","964,026","484,099","479,927","2,323,226","1,851,789","2,409,939","3,373,965","62,012","4,597","3,769,318","52,571","540,157","3,169,083",888,"45,012","49,130","8,375","262,758","271,133","1,075,874","19,524","4,183,531","52,906,904","2,573,487","4,785,784","4,972,195","4,717,162","4,692,571","4,828,228","4,965,499","3,113","308,542","301,947","1,116"
Agra,"113,587","63,853","88,881","117,908","365,762","16,218","1,750","18,817","8,219","10,598","51,392","40,730","51,392","70,209",688,,"92,585","1,786","18,007","74,084",868,"2,451","1,534",188,"5,108","5,296","35,924",60,"98,322","1,817,136","68,683","113,165","121,585","115,265","112,364","117,394","112,141",154,"5,379","4,339",2
Aligarh,"79,729","74,220","56,538","87,047","32,536","16,529",882,"14,919","3,713","11,206","35,708","35,457","45,309","60,228",197,328,"61,279",381,"13,349","59,052",892,694,"1,754",678,"3,826","4,504","26,297",,"102,064","1,445,509","47,018","90,123","85,505","81,495","87,765","88,303","94,483",,"3,453","2,171",
Allahabad,"140,979","80,040","88,897","124,840","87,948","12,453","1,637","19,253","11,060","8,193","64,373","53,662","64,373","83,626","1,571",,"83,136",484,"12,241","74,286",910,390,292,7,"12,772","12,779","20,115",360,"51,879","264,655","43,741","117,071","133,375","128,908","126,950","131,593","110,962",6,"2,489","6,937",42
Ambedkar Nagar,"49,333","27,919","42,393","48,634","38,152","3,259",268,"10,451","2,491","7,960","26,086","22,805","27,386","37,837",396,0,"37,657",183,"6,609","35,158",809,32,43,4,"1,933","1,937","12,418",0,"19,661","124,698","25,080","49,503","51,583","48,577","48,070","47,508","47,508",0,"2,621","2,245",13
Auraiya,"39,214","25,536","33,729","35,826","19,205","1,774",909,"5,604","3,106","2,498","17,642","15,430","17,642","23,246",2,,"25,641","1,000","2,791","23,406",865,264,44,109,320,429,"14,034",,"69,884","1,423,494","17,119","33,224","33,819","34,111","34,292","33,003","62,285",142,4,246,12
Azamgarh,"108,210","48,172","70,412","80,699","52,772","6,236",453,"13,040","8,855","4,185","48,284","35,712","48,284","61,324",621,0,"85,021","1,209","9,082","68,576",855,116,251,247,"4,721","4,968","23,305",0,"64,129","695,700","31,831","108,150","99,556","94,096","105,052","116,746","116,542",41,"16,735","2,769",4
Bagpat,"28,375","18,213","21,161","24,428","25,810","1,584",176,"7,412","1,828","5,584","11,189","4,352","18,293","25,705",17,0,"25,955",77,677,"22,913",890,45,5,8,894,902,"6,217",0,"3,625","227,905","13,637","29,369","28,927","27,157","27,200","31,287","31,121",0,244,"1,099",6
Bahraich,"96,248","52,844","62,206","93,730","78,975","20,118","3,159","20,014","13,028","6,986","52,825","48,816","52,825","72,839","1,291",,"70,599","1,029","17,464","60,803",904,"1,294","1,029",45,"2,022","2,067","14,081",,"6,885","40,405","29,580","82,591","87,708","73,756","83,893","85,416","81,412",51,"2,025","1,332",
Ballia,"81,374","35,985","57,824","71,108","156,960",766,21,"13,231","8,836","4,395","34,747","19,910","34,747","47,978",221,,"52,016",509,"2,009","32,408",880,16,4,3,"1,443","1,446","9,597",181,"33,493","663,154","27,537","77,335","85,500","82,212","77,991","76,789","68,155",338,"1,073",978,
Balrampur,"66,396","28,952","45,236","54,411","39,513","7,220","1,024","26,708","14,049","12,659","26,531","16,098","26,904","53,612",552,,"55,176",661,"5,797","41,468",899,84,321,3,716,719,"12,885",,"36,482","355,853","32,170","51,168","52,884","47,643","45,145","49,281","48,904",0,"1,093",883,4
Banda,"51,048","26,852","27,699","38,849","42,586","57,063","1,045","4,551","1,682","2,869","32,258","30,661","32,258","36,809",223,132,"39,904",717,"5,529","35,879",896,957,531,27,"2,823","2,850","7,814",0,"36,180","544,525","33,161","35,403","42,112","40,988","40,095","39,110","43,911",76,"3,137","3,965",50
Barabanki,"95,655","59,623","68,180","88,394","108,400","26,246","2,533","10,291","5,280","5,011","51,063","37,573","51,083","61,374","2,815",,"70,832","1,535","11,476","63,035",900,"1,285","1,185",100,"3,176","3,276","29,116",90,"137,862","867,750","43,437","86,271","86,379","80,313","82,368","83,174","82,118",50,"7,752","6,901",81
Bareilly,"96,814","73,779","60,994","85,966","51,044","9,299",347,"31,445","14,008","17,437","31,903","20,175","31,903","63,348","1,210",,"67,372",529,"12,150","51,146",845,470,556,817,"4,724","5,541","26,533",365,"100,629","2,072,127","44,432","95,102","100,681","97,174","90,219","100,212","104,264",3,"4,352","3,701",
Basti,"67,694","35,853","62,980","62,547","14,834","9,277",440,"11,509",0,"11,509","42,781","29,114","42,781","54,290","1,464",,"53,865",425,"9,429","49,859",901,159,10,49,"1,929","1,978","4,170",,"66,914","544,791","26,649","61,819","58,247","56,859","60,844","63,538","63,810",0,"5,346","4,254",31
Bijnor,"92,571","39,329","73,565","75,517","51,845","15,259","1,658","31,174","23,101","8,073","30,380","25,613","30,816","61,990","1,282",0,"70,390","1,451","7,002","54,926",858,"1,847",205,56,"2,094","2,150","28,030",0,"82,540","1,252,721","50,134","78,494","83,274","80,582","77,060","78,635","73,514",0,"3,594","4,277",24
Budaun,"91,204","55,902","69,832","84,776","107,611","5,377",645,"24,034","13,148","10,886","34,113","27,917","34,113","58,147",684,,"62,476","1,167","14,376","46,045",877,"1,838","1,072",6,"1,164","1,170","4,360",,"14,773","251,523","52,485","79,526","87,099","80,891","78,782","82,010","64,244",18,253,"2,723",
Bulandshahar,"94,588","52,682","57,313","87,707","142,754","15,933","1,132","23,005","17,801","5,204","33,340","25,730","33,340","56,345",352,,"60,411","1,238","7,393","57,090",859,"1,308","1,292",82,"4,721","4,803","42,924",,"115,448","1,890,410","49,512","83,880","95,684","91,499","90,960","91,255","90,201",1,"4,156","7,376",1
C S M Nagar,"58,054","4,592","47,431","50,767",57,"1,529","2,278","2,865","2,086",779,"34,326","18,902","34,350","37,215",123,,"37,854",651,"4,112","37,239",957,77,25,12,"1,763","1,775","22,483",,"55,710","80,235","25,730","50,840","54,512","53,772","51,915","51,290","51,263",4,"8,748",709,
Chandauli,"51,957","33,042","34,290","41,702","59,994",182,147,"7,639","6,042","1,597","22,273","12,966","22,273","29,912",14,0,"42,301",840,"3,675","37,836",900,45,0,78,"2,918","2,996","5,863",0,"46,522","722,105","19,033","48,588","49,629","46,754","45,506","46,720","41,930",12,"1,857","3,705",
Chitrakoot,"22,608","17,685","19,003","19,905","13,967","2,877",254,558,349,209,"18,465","17,955","18,465","19,023",7,,"18,862",135,"4,339","18,630",955,9,3,9,"3,033","3,042","3,304",,"16,968","307,849","18,560","22,020","23,430","22,504","22,329","20,654","20,475",2,"2,171","2,911",
