Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttarakhand,"215,549","127,101","171,694","193,839","79,947","114,228","4,744","34,301","14,390","19,911","98,520","54,640","124,015","158,316","10,141","3,784","156,845","2,466","11,299","141,571",903,"9,768","6,368",979,"19,475","20,454","86,810",0.0,"403,696","5,390,317","113,361","183,632","138,454","154,500","169,295","176,822","171,065","6,532","26,159","32,678",546
Almora,"12,873","6,411","8,892","9,600","3,223","4,893",107,"2,608","1,879",729,"5,489","3,725","5,986","8,594",365,359,"8,480",157,782,"8,034",908,612,497,183,"1,358","1,541","8,218",0.0,"37,594","485,368","7,789","9,911","7,376","8,304","8,995","9,689","8,531",48,638,648,15
Bageshwar,"4,419","2,865","4,029","4,382","1,341",17,0,"1,385","1,164",221,"2,204","1,497","2,204","3,589",10,,"3,581",12,186,"3,565",936,503,503,107,736,843,"2,788",,"12,257","115,402","1,316","4,101","3,250","3,633","3,929","4,340","4,340",147,728,220,2
Chamoli,"7,533","4,566","6,189","7,409","1,858",487,54,"1,945","1,505",440,"3,759","2,887","3,759","5,704",180,,"5,690",85,358,"5,506",882,239,209,110,"1,751","1,861","3,881",,"11,952","66,473","5,107","6,779","5,232","5,635","6,237","7,193","6,482",0,712,490,16
Champawat,"4,932","2,607","4,052","4,517","1,493","2,099",31,913,616,297,"2,398","1,794","2,398","3,311",7,,"3,265",67,104,"3,214",887,141,116,5,703,708,"1,130",,"3,501","168,171",729,"4,315","3,227","3,505","3,798","4,116","4,091",1,26,894,21
Dehradun,"34,725","25,444","35,966","32,807","9,960","44,600","1,599","1,634",155,"1,479","19,239","6,233","24,885","26,519","3,584","1,250","26,206",539,"4,056","24,254",907,"2,619","1,680",112,"3,218","3,330","10,701",0.0,"67,025","1,017,116","19,825","30,210","23,061","26,079","28,441","30,184","26,649",10,"9,629","7,731",218
Garhwal,"13,570","6,820","10,916","9,718","9,310","8,365",637,"2,056",963,"1,093","8,170","6,120","8,518","10,574","1,224",,"10,522",184,830,"9,762",876,887,733,50,"1,538","1,588","5,314",,"33,060","423,900","8,450","11,361","7,737","8,552","9,249","10,190","13,634",1,"4,408","8,281",25
Hardwar,"46,614","23,391","31,745","40,479","26,728","20,169","1,232","9,695","2,118","7,577","12,247","1,162","22,268","31,963",680,"1,605","31,712",422,"2,032","22,136",912,914,597,73,"1,324","1,397","10,566",,"54,455","652,951","20,043","38,719","29,239","33,287","35,767","35,162","35,109","5,113","1,536","1,809",159
Nainital,"19,462","12,788","16,185","18,374","6,607","6,079",168,"2,901","1,873","1,028","12,095","6,447","13,712","16,613","2,919",385,"16,546",262,511,"16,500",945,"1,847",864,116,"1,782","1,898","8,992",,"42,066","491,030","11,733","16,161","12,918","14,079","15,380","15,624","15,287",1,"5,631","7,427",18
Pithoragarh,"8,544","6,008","7,940","8,572","4,431",448,47,"1,822","1,685",137,"5,632","4,667","5,991","7,813",381,97,"7,696",113,460,"7,449",881,345,167,15,"1,609","1,624","7,475",,"21,737","249,045","7,070","7,936","5,821","6,273","6,953","7,827","7,811",0,597,"2,609",28
Rudraprayag,"4,676","2,203","3,686","4,110","2,251","1,871",16,"1,027",850,177,"1,754","1,630","1,754","2,781",48,,"2,781",30,291,"2,722",891,39,39,17,362,379,"2,484",,"10,738","163,077","3,371","3,441","3,394","3,662","3,828","4,036","1,216",56,201,367,8
Tehri Garhwal,"11,922","5,386","8,919","10,915","3,653","4,398",9,"2,560",486,"2,074","4,027","3,950","4,224","6,784",15,88,"6,709",108,480,"6,316",937,380,238,3,"1,172","1,175","3,737",0.0,"26,067","298,113","4,556","9,078","7,877","9,004","9,886","10,120","10,139","1,118",86,181,19
Udham Singh Nagar,"40,174","25,673","28,700","37,159","8,275","9,763",637,"4,659",984,"3,675","17,833","12,336","24,643","29,302",718,0,"28,978",375,924,"27,537",883,995,584,122,"2,827","2,949","19,558",0.0,"68,162","1,079,106","19,808","36,109","25,149","27,765","31,587","32,983","32,403",16,"1,403","1,312",8
Uttarkashi,"6,105","2,939","4,475","5,797",817,"11,039",207,"1,096",112,984,"3,673","2,192","3,673","4,769",10,,"4,679",112,285,"4,576",864,247,141,66,"1,095","1,161","1,966",,"15,082","180,565","3,564","5,511","4,173","4,722","5,245","5,358","5,373",21,564,709,9
