Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Telangana,"1,381,510","800,973","1,224,469","1,020,916","1,301,670","429,463","21,814","5,979","2,992","2,987","291,060","157,294","587,572","593,551","104,439","153,557","619,924","6,215","32,375","450,897",941,"6,481","1,999","5,021","124,521","129,542","29,721","12,074","811,073","4,567,390","634,322","772,956","23,273","16,700","19,194","922,324","858,658",88,"166,579","444,800","1,271"
Adilabad,"58,966","40,569","52,167","48,418","58,656","27,674","4,088","1,428",713,715,"17,165","8,881","38,939","40,367","4,527","17,667","40,228",563,"2,335","37,819",967,390,112,187,"1,751","1,938",827,,"13,584","57,637","35,500","39,262",958,927,917,"44,352","44,125",0,"6,028","13,746",44
BHADRADRI KOTHAGUDEM,"17,648","15,770","16,246","16,148","42,755","6,700",702,178,58,120,"8,632","4,629","8,632","8,810","3,204",,"9,242",160,483,"8,948",959,43,17,51,"4,767","4,818",499,,"31,575","131,287","9,943","14,785",46,54,58,"17,907","19,636",0,"7,400","18,161",90
Hyderabad,"214,675","74,618","235,026","108,189","210,044","49,023","2,688",,,,"60,310","34,087","98,123","98,123","22,138",,"113,057","1,242","8,315","65,326",970,902,707,406,"15,061","15,467","11,814",,"79,272","402,611","93,076","111,941","3,043","2,203","2,270","78,112","69,543",3,"43,305","90,864",5
JAGITIAL,"23,109","17,146","13,706","19,226","21,871","6,525",539,0,0,0,"3,169",982,"3,169","3,169","1,800",,"6,190",76,283,"2,430",907,59,33,475,"1,428","1,903",762,,"5,095","13,463","5,550","5,814","1,495","1,523","1,609","16,543","19,375",0,"2,651","5,608",7
JANGOAN,"7,415","5,405","7,878","7,075","9,015","2,880",0,5,3,2,"1,609",638,"1,609","1,614",982,,"2,101",10,268,"2,076",922,12,22,35,115,150,8,,"12,539","79,183","2,561","4,401",55,9,36,"7,002","6,312",0,241,173,3
JAYASHANKAR BHUPALPALLY,"11,626","8,708","9,820","9,247","11,736","2,528",212,2,0,2,"2,311","1,546","2,311","2,313",806,,"2,530",32,282,"2,217",994,10,0,179,242,421,193,,"9,623","17,892","4,229","6,475",65,35,144,"9,669","12,733",0,"4,368","6,821",11
JOGULAMBA GADWAL,"20,641","11,709","14,145","13,416","15,378","5,161",277,331,0,331,"2,850","2,237","2,850","3,181",271,,"3,242",23,217,"3,162",934,33,27,0,678,678,10,,"11,206","246,241","10,401","10,541",122,26,22,"12,341","12,054",0,207,"7,323",28
KAMAREDDY,"18,007","13,959","20,758","16,725","17,542","8,745",243,3,3,0,"4,655","2,185","4,655","4,658","1,431",,"5,020",49,382,"4,475",890,22,7,0,"1,446","1,446",298,,"14,005","28,789","6,243","7,111",106,32,69,"16,531","16,562",1,985,"11,593",20
KOMARAM BHEEM,"9,438","6,796","10,196","8,658","10,268","5,130",315,790,371,419,"2,810","1,678","2,810","3,600",0,,"3,617",68,278,"3,361",929,51,0,0,142,142,14,,"2,469","8,091","8,581","8,563",321,303,316,"8,334","8,406",0,0,192,18
Karim Nagar,"86,516","58,460","57,722","66,743","74,086","21,311",997,0,0,0,"12,352","4,692","45,075","45,075","6,913","26,266","17,635",160,972,"9,693",940,133,76,"1,872","8,336","10,208","1,956",0,"18,534","71,510","42,739","43,209","2,716","2,102","2,510","62,491","51,644",0,"9,080","22,847",30
Khammam,"41,337","37,236","47,089","39,920","83,860","15,764","2,042",211,84,127,"14,921","7,771","29,172","29,383","6,159","9,631","29,592",189,"1,164","24,090",988,116,75,58,"10,666","10,724","1,354",5,"89,346","582,164","25,755","36,879",639,514,450,"42,330","44,007",0,"28,128","41,557",139
MAHABUBABAD,"12,319","9,652","11,802","11,950","12,687","2,479",0,0,0,0,"1,503",743,"1,503","1,503",999,,"1,906",14,148,"1,274",882,13,0,114,349,463,74,,"13,078","39,254","6,581","8,439",125,129,94,"11,995","6,556",0,"1,956","2,816",27
MANCHERIAL,"19,991","11,584","15,664","13,853","19,793","7,245","1,607",135,66,69,"2,472","1,624","2,472","2,607",543,,"2,635",68,130,"1,984",861,32,1,0,58,58,43,,"2,249","23,908","4,731","5,046",302,320,270,"11,366","11,514",0,677,725,18
MEDCHAL MALKAJGIRI,"50,683","26,003","47,973","49,020","53,227","3,884",130,0,0,0,"2,000","1,509","2,000","2,000",119,,"2,000",10,167,"1,948",969,22,23,3,"3,197","3,200",928,,"24,407","71,972","23,324","20,940",163,171,182,"50,288","47,029",0,95,"7,700",
Mahbubnagar,"113,880","63,254","93,345","82,561","84,447","36,998",716,"1,117",603,514,"20,651","14,711","61,960","63,077","3,567","23,849","64,120",768,"1,811","22,185","1,006",407,75,5,"6,715","6,720",896,,"75,338","913,641","55,860","99,433","2,043","1,176","1,809","77,425","70,476",23,"3,612","31,747",125
Medak,"134,081","63,658","59,069","53,941","82,766","49,854","1,135",1,0,1,"26,094","15,264","38,580","38,581","8,502","7,984","38,671",226,"1,910","33,413",956,124,74,83,"4,531","4,614","1,570",,"22,523","139,132","23,334","24,025","2,903","1,860","1,894","49,658","43,494",12,"13,606","19,552",127
NAGARKURNOOL,"21,321","11,607","14,849","15,401","15,333","5,331",79,11,7,4,"3,089","1,556","3,089","3,100",729,,"3,360",91,156,"3,278",937,80,0,2,998,"1,000",113,,"18,593","222,314","6,538","13,979",133,120,105,"14,027","13,867",0,655,"21,820",27
NIRMAL,"12,760","9,854","11,137","11,121","12,664","5,470",191,258,152,106,"2,964",949,"2,964","3,222","1,741",,"3,400",44,295,"2,964",946,73,80,162,211,373,583,,"2,210","4,698","7,880","10,073",137,110,123,"10,180","9,719",0,"1,288","4,577",2
Nalgonda,"68,299","43,080","78,677","70,791","54,546","11,888",709,611,255,356,"11,982","4,493","43,192","43,803","6,681","18,041","52,673",646,"2,255","46,622",878,"1,470",61,3,"10,559","10,562","1,765","4,916","123,828","529,113","47,503","50,811",948,726,853,"53,198","47,928",14,"5,402","16,402",175
Nizamabad,"54,920","38,395","60,344","44,761","50,320","14,392",270,8,8,0,"15,540","7,287","43,092","43,100","5,465","23,007","43,091",693,"1,897","37,345","1,035",605,8,23,"18,314","18,337",559,3,"30,792","80,081","41,085","42,684",200,67,118,"45,617","44,623",1,"5,412","27,119",57
PEDDAPALLI,"23,919","13,212","16,956","15,919","18,635","7,536",329,0,0,0,"2,588",890,"2,588","2,588","1,669",,"3,261",14,210,"2,601",970,22,0,143,784,927,326,,"4,101","18,865","2,700","2,762",166,109,170,"12,390","9,761",0,"1,698","6,109",22
RAJANNA SIRCILLA,"8,861","7,780","8,009","8,609","9,179","2,807",0,0,0,0,"2,065",938,"2,065","2,065","1,049",,"2,190",5,166,"1,122",943,11,0,76,156,232,412,,"2,829","8,634","1,358","1,834",41,30,29,"8,850","8,405",0,"1,737","1,639",
Ranga Reddy,"114,006","62,573","118,763","111,147","117,537","16,111",713,497,459,38,"12,323","7,087","65,293","65,790","2,757","11,387","65,304",121,776,"56,757",824,90,24,27,"19,230","19,257","1,477","7,150","41,858","167,757","62,963","80,995",663,695,831,"107,139","98,573",0,"3,108","27,910",21
SANGAREDDY,"62,571","38,590","27,914","27,102","38,207","25,634",576,1,0,1,"13,499","9,734","13,499","13,500","2,833",,"13,533",57,962,"11,102",938,77,69,21,"1,420","1,441",585,,"9,736","58,269","13,800","14,462",791,629,726,"24,806","20,573",4,"6,055","10,755",71
SIDDIPET,"42,775","19,606","24,736","18,558","36,126","12,513",295,8,8,0,"8,649","3,528","8,649","8,657","4,515",,"9,015",22,302,"7,351",920,27,8,178,691,869,596,,"7,752","31,823","8,355","8,801","2,016","1,107",957,"16,317","15,475",17,"1,837","6,704",27
SURYAPET,"18,233","14,616","36,450","32,573","15,808","3,385",31,167,95,72,"2,775","1,203","2,775","2,942","1,078",,"15,083",317,"1,000","14,279",858,601,14,2,704,706,618,,"53,138","109,856","14,008","15,564",795,612,662,"16,116","15,265",0,"1,936","6,661",34
VIKARABAD,"19,817","12,484","20,949","20,398","19,340","7,355",111,58,24,34,"5,768","3,795","5,768","5,826",936,,"5,783",44,362,"5,285",952,20,0,0,"3,064","3,064",63,,"6,399","37,859","14,147","18,345",0,0,70,"17,290","17,088",0,"1,140","4,154",18
WANAPARTHY,"10,873","6,864","9,526","9,781","9,642","2,694",219,77,22,55,"1,703",862,"1,703","1,780",264,,"2,161",39,184,"1,577",877,80,3,0,223,223,129,,"11,744","87,381","6,716","8,746",112,83,126,"9,111","7,554",2,210,206,17
WARANGAL RURAL,"11,242","8,517","15,804","9,223","13,666","3,722",234,18,16,2,"1,768",851,"1,768","1,786",906,,"1,961",60,208,"1,435",853,34,56,58,283,341,150,,"8,164","28,174","2,571","3,448",437,277,294,"8,998","9,312",1,713,"3,263",25
Warangal Urban,"55,552","39,834","56,333","48,587","70,670","56,946","2,329",32,26,6,"19,990","10,174","44,414","44,446","10,068","15,725","45,533",331,"4,151","23,435",959,584,414,858,"7,579","8,437",722,,"45,002","210,961","34,301","41,413","1,727",750,"1,453","51,562","47,068",10,"12,075","23,625",61
YADADRI BHONAGIRI,"16,029","9,434","11,416","11,855","11,866","1,778",37,32,19,13,"2,853",770,"2,853","2,885","1,787",,"11,790",73,306,"11,343",879,338,13,0,823,823,377,,"20,084","144,830","11,989","12,175",5,1,27,"10,379","9,981",0,974,"2,431",22
