Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Rajasthan,"1,884,090","1,182,552","605,007",21.3,50.8,"32,565",55.8,"12,471","29,013",30.1,"307,116","45,205","1,369,023","1,410,507","89,504","57,990","24,815","1,336,357","1,258,476",945,21.6,0.0,"313,742","13,943",21.6,88.3,9.2,0.4,0,3,330,97,"6,954",48.7,18.1,"1,049","94,984",,"1,431,520",3.3,196
Ajmer,"79,051","46,383","27,619",22.9,58.3,"3,889",77.2,93,597,13.5,"10,443","1,821","60,784","61,474","7,730","2,602","1,223","56,001","52,061",961,27.3,0.0,"29,363",562,20.2,97.0,16.9,0.8,0,0,21,2,519,40.8,11.5,31,"3,393",,"56,700",19.7,0
Alwar,"101,300","56,395","38,590",17.8,47.3,"2,038",41.2,"1,690","2,111",44.5,"16,768","3,919","68,976","72,777","2,504","4,417","1,249","70,530","65,293",919,8.7,0.0,"20,311",418,20.7,93.8,7.0,0.3,0,0,5,1,"1,451",52.3,17.8,68,"5,939",,"69,680",6.0,39
Banswara,"53,976","35,186","24,371",16.2,42.3,748,38.0,166,424,28.1,"2,883",0,"43,912","44,502","2,196",4,980,"40,676","40,898",988,20.7,0.0,"4,443",298,18.3,92.6,14.1,0.1,0,0,1,0,0,41.2,14.4,2,"5,573",,"42,296",2.8,5
Baran,"34,396","24,768","11,886",44.1,32.7,613,56.9,68,75,47.6,899,28,"22,651","22,794","1,214",152,417,"22,018","22,001",935,34.8,0.2,"6,895",680,40.5,95.0,4.5,0.0,0,0,19,19,0,59.0,19.3,6,711,,"23,934",-3.6,1
Barmer,"89,907","50,092","42,069",14.3,51.9,556,43.2,"2,598","5,474",32.2,"6,283","1,253","57,172","65,244",676,929,923,"59,646","58,791",967,11.9,0.0,"12,567",155,8.6,95.5,2.1,0.1,0,0,5,0,68,44.1,10.0,53,"4,520",,"70,602",8.9,13
Bharatpur,"64,146","41,517","10,564",22.0,58.0,"1,755",55.1,"1,400",606,69.8,"9,104","1,749","54,431","56,437","1,090","4,043",628,"54,987","50,299",958,10.2,0.0,"18,426",383,33.7,96.3,1.8,0.0,0,0,6,11,0,48.4,17.3,136,"2,028",,"48,833",2.5,3
Bhilwara,"52,306","46,706","17,614",32.8,67.4,425,54.9,241,250,49.1,"5,666","1,090","45,664","46,155","2,420","2,121","1,087","43,134","41,614",933,26.6,0.0,"12,881",616,31.2,90.1,13.4,0.9,0,0,20,3,270,46.3,15.3,26,"3,642",,"47,108",-1.6,5
Bikaner,"65,889","32,494","25,571",14.4,47.2,903,46.0,46,"2,178",2.1,"6,584",117,"51,908","54,132","3,873","1,164","1,087","51,438","52,121",952,18.4,0.0,"3,544",92,40.8,90.2,6.9,0.0,0,0,46,0,232,47.0,13.0,6,"4,508",,"53,948",7.5,2
Bundi,"23,987","18,095","9,043",40.9,63.1,776,93.3,2,2,50.0,786,0,"17,972","17,976",567,442,282,"17,218","16,544",928,33.8,0.0,"7,084",129,11.1,93.8,3.1,0.4,0,0,4,0,0,50.6,22.9,11,"2,319",,"22,761",-31.1,0
Chittaurgarh,"34,714","26,846","7,692",24.7,56.0,655,82.2,45,136,24.9,"1,509",957,"27,199","27,380","2,351",18,431,"25,981","23,207",955,29.0,0.0,"3,930",595,21.9,73.6,19.1,0.1,0,0,0,0,0,49.1,18.1,17,"2,199",,"29,264",-8.0,1
Churu,"45,388","33,095","15,867",26.2,34.5,525,50.6,9,669,1.3,"4,831",806,"35,333","36,011",703,612,500,"34,880","34,844",990,30.6,0.0,"7,604",470,23.8,94.3,1.8,0.0,0,0,5,5,0,57.1,32.7,0,"2,212",,"40,971",2.8,1
Dausa,"33,542","22,307","14,331",16.6,51.4,222,35.1,42,60,41.2,"10,402","3,095","31,742","31,844",579,600,370,"30,580","28,669",928,23.3,0.0,"3,268",241,28.9,91.3,2.1,0.0,0,0,0,0,98,68.1,24.2,58,"1,493",,"31,213",0.1,3
Dhaulpur,"33,652","20,074","15,249",18.5,59.7,603,54.1,160,652,19.7,"1,681",0,"29,718","30,530","1,062",0,404,"29,685","29,396",949,18.9,0.0,"3,984",159,17.0,98.1,5.2,0.0,0,0,4,0,0,57.1,14.0,41,988,,"27,477",9.2,0
Dungarpur,"38,744","28,687","13,678",22.5,29.8,306,36.3,604,"1,146",34.5,"7,147",411,"30,760","32,510","1,179",723,679,"31,641","31,143",915,25.8,0.0,"5,899",633,17.5,97.3,15.1,11.0,0,1,5,0,24,57.5,26.0,107,"3,004",,"30,772",10.5,1
Ganganagar,"40,149","28,357","13,650",34.0,19.6,"1,228",66.2,45,536,7.7,"9,799",267,"32,888","33,469",888,"1,610",702,"29,106","26,694",953,30.8,0.0,"24,100",151,16.8,91.4,1.8,0.1,0,0,9,0,27,43.9,32.2,52,"3,535",,"37,681",-7.2,23
