Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_West Bengal,"1,640,352","1,437,959","1,369,986","146,510","1,456,168","1,330,099","8,759","28,588",403.0,"28,185","265,452","4,839","1,294,541","1,323,129","256,650","205,141","1,313,809","20,758","251,497","1,066,825",944,"81,346","34,907","2,504","172,118","174,622","614,695","2,520","10,126,550","32,829,569","1,171,608","1,373,411","2,151","1,920",598,"187,979","1,391,491","73,526","361,371","562,796","23,432"
Alipurduar,"24,409","21,978","19,054","1,982","21,283","29,595",263,595,5.0,590,"3,491",100,"22,236","22,831","4,504","2,999","22,714",432,"5,319","20,487",935,"1,720",506,40,"1,550","1,590","9,445",70,"112,278","390,518","18,670","20,938",7,7,56,"2,412","20,290","6,614","1,049","3,671",434
Bankura,"57,823","54,477","47,184","5,294","50,240","38,286",3,"1,064",0.0,"1,064","2,744",0,"48,385","49,449","11,201","2,627","49,045",829,"12,072","39,074",926,"2,251",704,32,"10,036","10,068","17,448",0,"816,538","2,500,423","43,228","51,389",29,1,8,"5,246","50,766","2,756","16,814","21,533","1,359"
Birbhum,"66,091","61,755","55,671","5,299","54,883","40,594",49,624,1.0,623,"4,702",0,"57,962","58,586","8,536","2,051","58,085",697,"12,654","54,942",955,"2,505","1,577",14,"9,068","9,082","18,325",5,"476,325","946,667","56,820","62,848",2,0,0,"9,722","58,378","10,579","11,465","16,471","1,303"
Dakshin Dinajpur,"29,371","25,724","21,795","2,966","24,090","21,988",15,227,0.0,227,"1,276",,"24,007","24,234","4,322","1,123","23,830",421,"5,085","22,057",950,"2,994","1,820",11,"2,660","2,671","8,469",,"195,789","684,024","22,804","23,392",2,2,0,"2,142","24,222",305,"4,478","4,732",437
Darjiling,"25,215","20,482","19,810",840,"27,623","14,463",159,157,1.0,156,"4,976",,"26,481","26,638","6,863","3,975","26,216",489,"3,563","20,388",951,938,773,8,"4,028","4,036","9,236",,"81,243","374,784","27,282","27,339",0,0,0,"5,122","25,442","2,546","13,724","21,147",938
Haora,"72,352","64,613","72,068","4,330","71,616","37,707",291,499,0.0,499,"12,686","2,564","41,949","42,448","8,990","9,794","42,420",548,"8,681","37,901",956,"3,929","2,106",28,"5,610","5,638","27,358",166,"536,028","1,698,673","43,236","54,282",0,0,0,"8,934","60,881","15,004","22,107","18,961",651
Hugli,"80,015","69,967","68,255","2,850","67,050","41,656",141,139,3.0,136,"25,893",,"64,780","64,919","13,474","23,478","64,091",762,"8,935","61,976",949,"4,655","2,272",40,"14,316","14,356","30,384",21,"620,414","1,563,277","54,373","62,629",0,0,0,"5,613","68,790","3,345","16,799","24,901",626
Jalpaiguri,"38,114","35,119","31,043","2,377","33,577","35,924",496,190,0.0,190,106,86,"26,958","27,148","7,282",0,"27,149",447,"6,314","25,680",952,"2,251","1,439",68,"2,695","2,763","21,187",0,"202,080","802,454","27,679","29,144",18,19,0,"4,308","34,024","7,691","2,513","2,244",468
Jhargram,"18,599","18,281","17,086","1,340","16,581","15,194",34,108,15.0,93,886,121,"17,330","17,438","3,312",732,"17,208",266,"4,783","15,932",964,"1,247",900,13,"3,956","3,969","16,868",0,"116,558","466,751","16,534","17,102",0,0,0,"2,860","17,083","1,792","6,243","15,912",297
