Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttar Pradesh,"6,745,784","3,886,259","5,158,335","1,362,988","6,423,906","3,699,024","123,133","489,648","68,383","421,265","1,008,443","274,063","3,605,433","4,095,081","114,865","194,155","4,071,547","45,556","435,122","3,697,955",927,"30,863","31,774","5,700","303,507","309,207","984,086","34,464","3,687,426","40,527,698","3,075,801","5,405,864","41,964","25,197","22,471","321,466","5,460,112","20,022","267,809","430,400","11,409"
Agra,"123,167","64,981","86,927","38,320","168,247","97,622","3,931","3,502","1,663","1,839","51,811","2,259","103,267","106,769","3,978","1,018","107,909",718,"8,999","99,945",916,748,904,219,"10,150","10,369","39,087","1,564","61,061","2,056,798","65,296","116,054","1,578",886,"1,502","8,013","129,485",33,"5,162","3,698",97
Aligarh,"95,212","53,776","62,540","33,233","61,267","55,716","1,763","8,099",517,"7,582","17,657","15,926","65,899","73,998","2,916","3,242","73,424",591,"7,671","71,485",886,432,"2,201",48,"4,359","4,407","24,009","1,708","42,651","763,246","48,945","88,589","1,384",986,816,"1,388","100,327",0,"5,499","2,851",332
Allahabad,"181,440","94,594","139,637","34,691","145,058","81,676","3,239","6,549",2,"6,547","36,054","1,888","106,180","112,729","4,787","14,025","112,141","1,110","7,878","107,442",929,754,812,634,"16,387","17,021","24,648","2,225","82,759","530,875","54,002","162,533",48,39,23,0,"151,667",0,"10,044","33,523",168
Ambedkar Nagar,"63,908","44,001","44,541","10,565","59,795","40,779","1,584","2,804",745,"2,059","12,011","4,746","36,973","39,777",886,33,"39,537",321,"3,107","39,048",962,183,18,25,"2,007","2,032","12,699",73,"57,883","464,299","41,502","56,887",0,1,0,189,"63,407",0,"3,763","16,967",206
Auraiya,"50,707","28,327","39,410","10,096","47,432","22,545",382,"1,869",47,"1,822",1,1,"17,782","19,651",0,0,"19,698",260,"2,494","19,111",960,172,52,8,"1,592","1,600","14,369",0,"30,050","415,774","18,152","34,129",23,16,34,"1,473","36,284",599,0,297,92
Azamgarh,"203,919","119,001","134,929","32,645","135,855","71,724","1,654","5,191","2,711","2,480","9,086","5,899","54,481","59,672","1,722",27,"61,213",383,"5,793","59,438",911,64,0,23,"7,442","7,465","10,041","8,616","60,289","817,801","68,558","153,081",352,53,495,"43,979","147,651",869,"8,215","4,836",89
Bagpat,"39,623","31,402","36,218","11,316","35,177","19,631","1,570","2,369",3,"2,366","18,654","3,273","32,101","34,470",562,457,"34,362",226,"3,506","33,648",892,471,136,195,"1,304","1,499","4,426",314,"23,796","333,509","28,156","37,360",90,47,41,0,"34,006",0,"1,093","2,431",77
Bahraich,"151,615","105,404","122,304","39,870","132,541","92,306","8,718","15,616","1,248","14,368","11,221","3,138","85,743","101,359","2,177",620,"99,655","1,857","11,013","98,282",932,755,435,50,"3,549","3,599","9,531",121,"53,196","150,828","71,003","112,487","5,046","2,955","2,101","5,662","106,448",947,"6,055","5,904",281
Ballia,"107,223","55,368","70,942","12,466","116,734","30,126",568,"8,434","4,329","4,105","1,170",236,"40,742","49,176",421,141,"50,374",792,"3,289","48,882",916,712,113,1,"4,551","4,552","3,096",0,"12,381","307,053","29,613","77,174",651,104,72,"23,370","76,125",0,"1,231","4,150",61
