Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Gujarat,"13,49,576","11,29,103","11,46,788","9,47,723","12,86,293","8,90,992","64,104","6,721","3,877","2,844","4,22,055","2,01,671","11,32,387","11,39,108","55,694","1,31,979","11,37,636","12,186","1,39,542","10,21,512",918,"27,423","10,180","1,802","3,20,863","3,22,665","4,96,757","99,987","24,91,713","2,58,71,476","10,73,338","12,17,163","11,394","9,161","10,123","5,47,207","11,56,814","14,923","1,40,823","4,27,729","19,181"
Ahmedabad,"1,57,204","1,20,776","1,51,181","1,05,368","1,57,301","66,974","4,503",183,59,124,"48,384","8,960","1,43,641","1,43,824","13,670","20,612","1,41,787","1,068","17,166","1,26,493",935,"2,988","1,234",166,"50,789","50,955","78,450","9,405","4,84,808","55,69,651","1,39,091","1,50,278",22,15,9,"60,979","1,37,821",507,"28,817","37,399","1,349"
Amreli,"31,994","23,830","24,641","23,338","29,673","21,704",820,394,245,149,"10,143","6,657","20,122","20,516",930,"1,421","20,329",110,"2,136","18,662",906,556,19,0,"5,463","5,463","15,356",0,"68,529","6,76,736","25,572","27,309",9,0,0,"15,754","28,334",142,"2,776","4,818",297
Anand,"38,921","32,898","32,376","21,377","38,375","32,170","2,038",16,5,11,"14,912","10,543","34,181","34,197","1,437","5,397","34,046",465,"4,581","33,459",930,511,140,26,"11,532","11,558","10,935",227,"23,328","4,35,388","28,213","34,031",0,0,0,"12,935","32,978",99,"5,105","8,141",686
Aravalli,"24,851","21,483","21,162","19,715","24,391","20,836","1,515",10,6,4,"3,724","2,404","20,229","20,239",27,875,"20,085",276,"1,964","19,876",956,"1,208",12,43,"11,578","11,621","12,818","11,304","31,064","2,76,937","19,358","20,921",198,160,169,"8,949","23,378",4,"3,383","2,962",355
Banas Kantha,"81,382","71,009","68,930","55,797","76,116","68,157","10,129",140,63,77,"19,601","13,330","73,091","73,231",732,"7,653","72,768","1,043","9,841","69,817",932,"1,634",476,2,"23,610","23,612","16,039",908,"63,978","6,75,312","53,623","70,278",2,0,0,"34,233","70,328","6,830","1,288","9,660","1,528"
Bharuch,"39,396","28,427","29,283","20,190","31,938","17,880",665,6,4,2,"7,274","4,442","24,289","24,295",332,"4,380","24,213",245,"4,700","23,593",981,844,23,2,"5,347","5,349","13,689",615,"49,034","4,53,632","25,351","31,505",0,0,0,"11,893","28,562",325,"1,115","3,908",278
Bhavnagar,"55,716","48,592","45,308","29,037","48,021","30,502",747,325,162,163,"17,930","12,796","46,289","46,614","2,265","3,166","49,783",426,"3,841","41,427",894,"1,090",178,55,"11,193","11,248","15,208","3,862","65,168","7,12,826","39,783","54,908","1,928","1,688","1,682","19,533","47,163",466,"5,255","7,709",546
Botad,"15,523","12,708","14,819","8,079","14,825","8,531",258,43,41,2,"4,571","3,470","13,339","13,382",219,792,"13,384",32,"1,440","13,354",866,316,96,1,"3,194","3,195","6,116",535,"32,713","2,28,200","13,380","13,265",0,0,0,"7,471","15,773",28,699,"6,061",75
Chhotaudepur,"26,003","22,673","22,670","19,265","26,466","23,574","2,322","1,176","1,173",3,"13,022","7,365","15,779","16,955",731,121,"16,861",361,"2,548","16,844",921,527,30,3,"3,702","3,705","6,635",0,"25,978","1,80,654","14,797","19,010",0,0,0,"15,235","21,711",12,828,"6,046",280
